id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e594161c-8fd1-11eb-924d-9cd76263cbd0,genus,Lasiacis,,,"(Griseb.) Hitchc.",0,1910,,"Contr. U.S. Natl. Herb. 15: 16 (1910)",,Q51510993,,,,urn:lsid:ipni.org:names:294721-2,wfo-4000020633,2702848,,
56dfaade-8fcd-11eb-924d-9cd76263cbd0,species,acuminata,Lasiacis,,Swallen,0,1957,,"Mem. New York Bot. Gard. 9: 267 (1957)",,,,,,urn:lsid:ipni.org:names:135687-2,wfo-0000877529,4144690,,
56dfd8ce-8fcd-11eb-924d-9cd76263cbd0,species,anomala,Lasiacis,,Hitchc.,0,1919,,"J. Washington Acad. Sci. 9: 37 (1919)",,Q96057606,,,,urn:lsid:ipni.org:names:135688-2,wfo-0000877530,4144673,,
56dff700-8fcd-11eb-924d-9cd76263cbd0,species,compacta,Lasiacis,,Hitchc.,0,1911,,"Bot. Gaz. 51: 302 (1911)",,Q55758630,,,,urn:lsid:ipni.org:names:135689-2,wfo-0000877531,4140581,,
56e011e0-8fcd-11eb-924d-9cd76263cbd0,species,divaricata,Lasiacis,,"(L.) Hitchc.",0,1910,,"Contr. U.S. Natl. Herb. 15: 16 (1910)",,Q51510993,,,,urn:lsid:ipni.org:names:135690-2,wfo-0000877532,2702852,,
bbb5f74e-1d4c-11ec-82c2-f14daa6f2d93,variety,divaricata,Lasiacis,divaricata,,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77168819-1,wfo-0001096163,,,
56e04818-8fcd-11eb-924d-9cd76263cbd0,variety,leptostachya,Lasiacis,divaricata,"(Hitchc.) Davidse",0,1978,,"Ann. Missouri Bot. Gard. 64: 375 (1978)",,Q55764926,,56e14ac4-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:135692-2,wfo-0000877534,4140520,,
56e063fc-8fcd-11eb-924d-9cd76263cbd0,species,excavata,Lasiacis,,"(Henrard) Parodi",0,1943,,"Notas Mus. La Plata, Bot. 8: 92 (1943)",,,,,,urn:lsid:ipni.org:names:135693-2,wfo-0000877535,4140500,,
56e07e32-8fcd-11eb-924d-9cd76263cbd0,species,glabra,Lasiacis,,Swallen,0,1955,,"Ceiba 4: 28 (1955)",,Q103981652,,,,urn:lsid:ipni.org:names:135694-2,wfo-0000877536,4140480,,
56e099da-8fcd-11eb-924d-9cd76263cbd0,species,globosa,Lasiacis,,Hitchc.,0,1913,,"Contr. U.S. Natl. Herb. 17: 251 (1913)",,Q95371308,,,,urn:lsid:ipni.org:names:135695-2,wfo-0000877537,4140455,,
56e0b5c8-8fcd-11eb-924d-9cd76263cbd0,species,grisebachii,Lasiacis,,Hitchc.,0,1911,,"Bot. Gaz. 51: 302 (1911)",,Q55758630,,5a365444-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:135696-2,wfo-0000877538,2702849,,
bc18895e-1d4c-11ec-82c2-f14daa6f2d93,variety,grisebachii,Lasiacis,grisebachii,,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77171643-1,wfo-0001096700,,,
56e0cf40-8fcd-11eb-924d-9cd76263cbd0,species,guaranitica,Lasiacis,,"(Speg.) Parodi",0,1943,,"Notas Mus. La Plata, Bot. 8: 95 (1943)",,,,,,urn:lsid:ipni.org:names:135698-2,wfo-0000877539,4140399,,
56e0f236-8fcd-11eb-924d-9cd76263cbd0,species,harrisii,Lasiacis,,Nash,0,1913,,"Torreya 13: 274 (1913)",,,,,,urn:lsid:ipni.org:names:135699-2,wfo-0000877540,2702860,,
56e1159a-8fcd-11eb-924d-9cd76263cbd0,species,lancifolia,Lasiacis,,Swallen,0,1934,,"Publ. Carnegie Inst. Wash. 436: 349 (1934)",,,,,,urn:lsid:ipni.org:names:135700-2,wfo-0000877541,4140360,,
56e14ac4-8fcd-11eb-924d-9cd76263cbd0,species,leptostachya,Lasiacis,,Hitchc.,0,1920,,"Contr. U.S. Natl. Herb. 22: 19 (1920)",,Q95371460,,,,urn:lsid:ipni.org:names:135701-2,wfo-0000877543,4140341,,
56e16752-8fcd-11eb-924d-9cd76263cbd0,species,liebmanniana,Lasiacis,,"Hitchc. ex Chase",0,1911,,"Proc. Biol. Soc. Washington xxiv. 145 (1911).",,,,505a0740-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:406839-1,wfo-0000877544,4140320,,
bd111c6c-8fd1-11eb-924d-9cd76263cbd0,species,liemannianum,Lasiacis,,E.Fourn.,0,,,,,,,,,,wfo-0001248621,7949856,,
56e1837c-8fcd-11eb-924d-9cd76263cbd0,species,ligulata,Lasiacis,,"Hitchc. & Chase",0,1917,,"Contr. U.S. Natl. Herb. 18: 337 (1917)",,Q95371626,,,,urn:lsid:ipni.org:names:135703-2,wfo-0000877545,2702851,,
