id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9d0c756e-9bad-11eb-a8a2-19ed5c03f8d3,genus,Lasiobelonium,,,"Ellis & Everh.",0,1897,,"Bull. Torrey bot. Club 24: 136 (1897)",,,Q13548538,9d0c756e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,2645," "
caaff654-9bac-11eb-a8a2-19ed5c03f8d3,species,aquilinellum,Lasiobelonium,,Höhn.,0,,,,,,,caaff654-9bac-11eb-a8a2-19ed5c03f8d3,,,,,235759," "
f41b48f0-9bab-11eb-a8a2-19ed5c03f8d3,species,badium,Lasiobelonium,,"(Rehm) Raitv.",0,1993,,"Biblthca Mycol. 150: 208 (1993)",,,,b9a9e80a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,360456," "
892b9304-9bad-11eb-a8a2-19ed5c03f8d3,species,barbatum,Lasiobelonium,,"(Kunze ex Fr.) Raitv.",0,,,,,,,cf3282fa-9bac-11eb-a8a2-19ed5c03f8d3,,,,,477240," "
2bcde05a-9bac-11eb-a8a2-19ed5c03f8d3,species,belanense,Lasiobelonium,,"(Svrcek) Raitv.",,1980,,"Scripta Mycol., Tartu 9: 109 (1980)",,,,f40fca2e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,112985," "
2c025182-9bac-11eb-a8a2-19ed5c03f8d3,species,boreale,Lasiobelonium,,"(Ellis & Holw.) Raitv.",0,1980,,"Scripta Mycol., Tartu 9: 105 (1980)",,,,4400f3be-9bad-11eb-a8a2-19ed5c03f8d3,,,,,113260," "
2bce1700-9bac-11eb-a8a2-19ed5c03f8d3,species,cazenoviae,Lasiobelonium,,"(Ellis & Everh.) Raitv.",0,1980,,"Scripta Mycol., Tartu 9: 114 (1980)",,,,00009616-9bac-11eb-a8a2-19ed5c03f8d3,,,,,112986," "
2bce5076-9bac-11eb-a8a2-19ed5c03f8d3,species,corticale,Lasiobelonium,,"(Pers.) Raitv.",0,1980,,"Scripta Mycol., Tartu 9: 106 (1980)",,,,975d6be2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,112987," "
37f61ffa-9bac-11eb-a8a2-19ed5c03f8d3,species,crosslandii,Lasiobelonium,,"(Massee) Spooner",0,1987,,"Biblthca Mycol. 116: 582 (1987)",,,,8a92dbb8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,130975," "
65fb4c6c-9bad-11eb-a8a2-19ed5c03f8d3,species,diervillae,Lasiobelonium,,Raitv.,,1980,,"Scripta Mycol., Tartu 9: 122 (1980)",,,,65fb4c6c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,124336," "
10004858-9bad-11eb-a8a2-19ed5c03f8d3,species,dumontii,Lasiobelonium,,Korf,0,1976,,"Trans. Mycol. Soc. Japan 17(3-4): 207 (1976)",,,,10004858-9bad-11eb-a8a2-19ed5c03f8d3,,,,,316353," "
2bce7b78-9bac-11eb-a8a2-19ed5c03f8d3,species,fuscum,Lasiobelonium,,"(E. Müll. & Dennis) Raitv.",,1980,,"Scripta Mycol., Tartu 9: 119 (1980)",,,,fd864628-9bac-11eb-a8a2-19ed5c03f8d3,,,,,112988," "
cac3b1c6-9bac-11eb-a8a2-19ed5c03f8d3,species,globulare,Lasiobelonium,,Höhn.,0,,,,,,,cac3b1c6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,235848," "
5a1ebff0-9bad-11eb-a8a2-19ed5c03f8d3,species,guangxiense,Lasiobelonium,,"W.Y. Zhuang",,1998,,"Mycotaxon 69: 370 (1998)",,,,5a1ebff0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,447088," "
686b006e-9bad-11eb-a8a2-19ed5c03f8d3,species,hooglandii,Lasiobelonium,,"(Dennis) Spooner",,1987,,"Biblthca Mycol. 116: 584 (1987)",,,,18c27f3e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,130976," "
2bcea15c-9bac-11eb-a8a2-19ed5c03f8d3,species,karatalicum,Lasiobelonium,,"(Raitv.) Raitv.",,1980,,"Scripta Mycol., Tartu 9: 116 (1980)",,,,0a75d024-9bad-11eb-a8a2-19ed5c03f8d3,,,,,112989," "
cfff25e4-9bac-11eb-a8a2-19ed5c03f8d3,species,lachnoides,Lasiobelonium,,Rehm,0,,,,,,,cfff25e4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,248208," "
6cba321c-9bac-11eb-a8a2-19ed5c03f8d3,species,lanceolatum,Lasiobelonium,,Raitv.,,1980,,"Scripta Mycol., Tartu 9: 120 (1980)",,,,6cba321c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,112990," "
6cba676e-9bac-11eb-a8a2-19ed5c03f8d3,species,lonicerae,Lasiobelonium,,"(Alb. & Schwein.) Raitv.",0,1980,,"Scripta Mycol., Tartu 9: 115 (1980)",,,,c590e688-9bac-11eb-a8a2-19ed5c03f8d3,,,,,112991," "
1e856dd6-9bad-11eb-a8a2-19ed5c03f8d3,species,miniopsis,Lasiobelonium,,"(Ellis) Dennis",0,1962,,"Persoonia 2(2): 185 (1962)",,,,cbaaef3c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,332970," "
06f2c2b4-9bac-11eb-a8a2-19ed5c03f8d3,species,mollissimum,Lasiobelonium,,"(Lasch) Spooner ined.",0,,,,,,,616f877c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,438574," "
6cbae432-9bac-11eb-a8a2-19ed5c03f8d3,species,nazarovae,Lasiobelonium,,Raitv.,,1980,,"Scripta Mycol., Tartu 9: 123 (1980)",,,,6cbae432-9bac-11eb-a8a2-19ed5c03f8d3,,,,,112992," "
37f650ce-9bac-11eb-a8a2-19ed5c03f8d3,species,nidulum,Lasiobelonium,,"(J.C. Schmidt & Kunze) Spooner",0,1987,,"Biblthca Mycol. 116: 576 (1987)",,,,5067b67a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,130977," "
75ea7c84-9bac-11eb-a8a2-19ed5c03f8d3,species,ningxiaense,Lasiobelonium,,"W.Y. Zhuang & Spooner",,2000,,"in Zhuang, Mycologia 92(3): 594 (2000)",,,,75ea7c84-9bac-11eb-a8a2-19ed5c03f8d3,,,,,467427," "
2c027e6e-9bac-11eb-a8a2-19ed5c03f8d3,species,parksii,Lasiobelonium,,Raitv.,,1980,,"Scripta Mycol., Tartu 9: 117 (1980)",,,,2c027e6e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,113261," "
2f6e8976-9bac-11eb-a8a2-19ed5c03f8d3,variety,album,Lasiobelonium,parksii,Raitv.,,,,,,,,2f6e8976-9bac-11eb-a8a2-19ed5c03f8d3,,,,,117779," "
4c412a6c-9bad-11eb-a8a2-19ed5c03f8d3,variety,parksii,Lasiobelonium,parksii,Raitv.,,1980,,"Scripta Mycol., Tartu 9: 117 (1980)",,,,4c412a6c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,417782," "
892c056e-9bad-11eb-a8a2-19ed5c03f8d3,species,relicinum,Lasiobelonium,,"(Fr.) Raitv. ined.",0,,,,,,,97f82218-9bac-11eb-a8a2-19ed5c03f8d3,,,,,477241," "
29d370d0-9bac-11eb-a8a2-19ed5c03f8d3,species,stipitatum,Lasiobelonium,,Raitv.,,1981,,"Folia cryptog. Estonica 12: 6 (1981)",,,,29d370d0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,109922," "
ba989b94-9bad-11eb-a8a2-19ed5c03f8d3,species,subflavidum,Lasiobelonium,,"Ellis & Everh.",0,1897,,"Bull. Torrey bot. Club 24: 136 (1897)",,,Q13548538,ba989b94-9bad-11eb-a8a2-19ed5c03f8d3,,,,,248292," "
29d3a7ee-9bac-11eb-a8a2-19ed5c03f8d3,species,subfuscum,Lasiobelonium,,Raitv.,,1981,,"Folia cryptog. Estonica 12: 7 (1981)",,,,29d3a7ee-9bac-11eb-a8a2-19ed5c03f8d3,,,,,109923," "
e5ee7ac6-9bac-11eb-a8a2-19ed5c03f8d3,species,torrentium,Lasiobelonium,,"Ade & Rehm",0,1923,,"in Ade, Hedwigia 64: 313 (1923)",,,,e5ee7ac6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,280416," "
6cbb1858-9bac-11eb-a8a2-19ed5c03f8d3,species,variegatum,Lasiobelonium,,"(Fuckel) Raitv.",0,1980,,"Scripta Mycol., Tartu 9: 116 (1980)",,,,f890cd96-9bac-11eb-a8a2-19ed5c03f8d3,,,,,112993," "
