id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
0b1eb17c-9bac-11eb-a8a2-19ed5c03f8d3,genus,Lasiosordaria,,,Chenant.,,1919,,"Bull. Soc. mycol. Fr. 35: 77 (1919)",,,,0b1eb17c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,2653," "
ae9d9034-9bac-11eb-a8a2-19ed5c03f8d3,species,ambigua,Lasiosordaria,,"(Sacc.) Chenant.",Q707840,,,,,,,954b52d8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,445703," "
0840e30c-9bad-11eb-a8a2-19ed5c03f8d3,species,bombardia,Lasiosordaria,,"(Fr.) Chenant.",Q15405,1919,,"Bull. Soc. mycol. Fr. 35: 78 (1919)",,,,8cd4dc46-9bac-11eb-a8a2-19ed5c03f8d3,,,,,502683," "
03288b68-9bad-11eb-a8a2-19ed5c03f8d3,species,botryosa,Lasiosordaria,,"(Penz. & Sacc.) Chenant.","Q3887349,Q707840",1919,,"Bull. Soc. mycol. Fr. 35: 78 (1919)",,,,4a86ee4c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,502684," "
f6d67c86-9bab-11eb-a8a2-19ed5c03f8d3,species,brassicae,Lasiosordaria,,"(Klotzsch ex Berk.) Chenant.","Q67003,Q662338",,,,,,,,,,,,465706," "
00ca5938-9bac-11eb-a8a2-19ed5c03f8d3,species,coprophila,Lasiosordaria,,"(Fr.) Chenant.",Q15405,1919,,"Bull. Soc. mycol. Fr. 35: 78 (1919)",,,,7e2484f8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,433706," "
10024662-9bad-11eb-a8a2-19ed5c03f8d3,species,indica,Lasiosordaria,,"Tilak & Gaikwad",,1978,,"Revue mycol., Toulouse 42(1): 45 (1978)",,,,10024662-9bad-11eb-a8a2-19ed5c03f8d3,,,,,316361," "
aa10b76c-9bac-11eb-a8a2-19ed5c03f8d3,species,lignicola,Lasiosordaria,,"(Fuckel) Chenant.",Q66899,1919,,"Bull. Soc. mycol. Fr. (1919)",,,,05950814-9bac-11eb-a8a2-19ed5c03f8d3,,,,,431764," "
1fb8d0cc-9bac-11eb-a8a2-19ed5c03f8d3,species,lutea,Lasiosordaria,,"(Ellis & Everh.) Chenant.",Q6206643,1919,,"Bull. Soc. mycol. Fr. 35: 78 (1919)",,,,53d36a7a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,502685," "
f8e09cf0-9bab-11eb-a8a2-19ed5c03f8d3,species,luticola,Lasiosordaria,,"(Feltgen) Chenant.",,1919,,"Bull. Soc. mycol. Fr. 35: 78 (1919)",,,,06c2516e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,502686," "
1e85f2b0-9bad-11eb-a8a2-19ed5c03f8d3,species,manihotis,Lasiosordaria,,"(Fernier) C. Moreau",,,,,,,,f07a16bc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,332973," "
1e8641f2-9bad-11eb-a8a2-19ed5c03f8d3,species,musae,Lasiosordaria,,"(Maire) C. Moreau",Q2661320,,,,,,,5889f1ba-9bac-11eb-a8a2-19ed5c03f8d3,,,,,332974," "
f8e7433e-9bab-11eb-a8a2-19ed5c03f8d3,species,natalitia,Lasiosordaria,,"(Speg.) Chenant.",Q648013,1919,,"Bull. Soc. mycol. Fr. 35: 78 (1919)",,,,a07543d0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,502687," "
1e868202-9bad-11eb-a8a2-19ed5c03f8d3,species,oryzeti,Lasiosordaria,,"(Sacc.) C. Moreau",Q707840,,,,,,,ccef5130-9bac-11eb-a8a2-19ed5c03f8d3,,,,,332975," "
f8f79900-9bab-11eb-a8a2-19ed5c03f8d3,species,striata,Lasiosordaria,,"(Ellis & Everh.) Chenant.",Q6206643,1919,,"Bull. Soc. mycol. Fr. 35: 78 (1919)",,,,4d10a0cc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,502688," "
fbb4f412-9bab-11eb-a8a2-19ed5c03f8d3,species,vagans,Lasiosordaria,,Chenant.,,,,,,,,fbb4f412-9bab-11eb-a8a2-19ed5c03f8d3,,,,,232919," "
