id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a65e1028-9bad-11eb-a8a2-19ed5c03f8d3,genus,Lasiosphaeria,,,"Ces. & De Not.",0,1863,,"Comm. Soc. crittog. Ital. 1(4): 229 (1863)",,,,a65e1028-9bad-11eb-a8a2-19ed5c03f8d3,,,,,2656," "
5153ffa8-9bac-11eb-a8a2-19ed5c03f8d3,species,acanthigera,Lasiosphaeria,,"(Berk. & Broome) Sacc.",0,,,,,,,51fe4ecc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,232876," "
b130bb90-9bad-11eb-a8a2-19ed5c03f8d3,species,acicola,Lasiosphaeria,,Cooke,0,,,,,,,b130bb90-9bad-11eb-a8a2-19ed5c03f8d3,,,,,225114," "
956495d6-9bac-11eb-a8a2-19ed5c03f8d3,species,acinosa,Lasiosphaeria,,"(Batsch) Sacc.",0,,,,,,,7dc5ef56-9bac-11eb-a8a2-19ed5c03f8d3,,,,,206312," "
5304fb22-9bac-11eb-a8a2-19ed5c03f8d3,species,actinodes,Lasiosphaeria,,"(Berk. & M.A. Curtis) Sacc.",0,,,,,,,05e1803a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,206001," "
6d80fdb0-9bad-11eb-a8a2-19ed5c03f8d3,species,alexandrae,Lasiosphaeria,,"Joanne E. Taylor, J. Fröhl. & K.D. Hyde",,2001,,"Mycoscience 42(4): 372 (2001)",,,,6d80fdb0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,474716," "
6d7d72bc-9bad-11eb-a8a2-19ed5c03f8d3,species,alexandricola,Lasiosphaeria,,"Joanne E. Taylor, J. Fröhl. & K.D. Hyde",,2001,,"Mycoscience 42(4): 373 (2001)",,,,6d7d72bc-9bad-11eb-a8a2-19ed5c03f8d3,,,,,474717," "
954b52d8-9bac-11eb-a8a2-19ed5c03f8d3,species,ambigua,Lasiosphaeria,,Sacc.,0,1877,,"Michelia 1(no. 1): 46 (1877)",,,,954b52d8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,206078," "
01079866-9bac-11eb-a8a2-19ed5c03f8d3,variety,ambigua,Lasiosphaeria,ambigua,Sacc.,0,,,,,,,01079866-9bac-11eb-a8a2-19ed5c03f8d3,,,,,419519," "
438fe6fc-9bac-11eb-a8a2-19ed5c03f8d3,variety,carbonaria,Lasiosphaeria,ambigua,Rick,,,,,,,,438fe6fc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,136992," "
45ae4ca2-9bad-11eb-a8a2-19ed5c03f8d3,species,angustispora,Lasiosphaeria,,"Lar.N. Vassiljeva",,1998,,"Nizshie Rasteniya, Griby i Mokhoobraznye Dalnego Vostoka Rossii (Sankt-Peterburg), Griby. Tom <b>4</b>. Pirenomitsety i Lokuloaskomitsety 219 (1998)",,,,45ae4ca2-9bad-11eb-a8a2-19ed5c03f8d3,,,,,450106," "
