id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a02f1ecc-9bad-11eb-a8a2-19ed5c03f8d3,genus,Lasiostemma,,,"Theiss., Syd. & P. Syd.",,1917,,"in Sydow & Sydow, Annls mycol. 15(3/4): 218 (1917)",,,,a02f1ecc-9bad-11eb-a8a2-19ed5c03f8d3,,,,,2660," "
0fff7b8a-9bad-11eb-a8a2-19ed5c03f8d3,species,cordiicola,Lasiostemma,,"(Henn.) Toro",,1939,,"J. Agric. Univ. P. Rico 23(2): 83 (1939)",,,,8435e526-9bac-11eb-a8a2-19ed5c03f8d3,,,,,316369," "
100424e6-9bad-11eb-a8a2-19ed5c03f8d3,species,coronatum,Lasiostemma,,"(Speg.) Toro",,1939,,"J. Agric. Univ. P. Rico 23(2): 82 (1939)",,,,64508684-9bad-11eb-a8a2-19ed5c03f8d3,,,,,316370," "
20545498-9bac-11eb-a8a2-19ed5c03f8d3,species,cyathearum,Lasiostemma,,"(Syd.) Theiss. & Syd.",,,,,,,,8083e84c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,246250," "
d45e7cde-9bac-11eb-a8a2-19ed5c03f8d3,species,disseminaia,Lasiostemma,,"(Syd.) Toro",,,,,,,,5e5ee65e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,267868," Lasiostemma disseminatum"
10046000-9bad-11eb-a8a2-19ed5c03f8d3,species,disseminatum,Lasiostemma,,"(Syd.) Toro",,1939,,"J. Agric. Univ. P. Rico 23(2): 85 (1939)",,,,5e5ee65e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,316371," disseminaia"
100496c4-9bad-11eb-a8a2-19ed5c03f8d3,species,distans,Lasiostemma,,"(Rehm) Fore{?}",,1939,,"J. Agric. Univ. P. Rico 23(2): 81 (1939)",,,,7976f9da-9bad-11eb-a8a2-19ed5c03f8d3,,,,,316372," "
1004c9aa-9bad-11eb-a8a2-19ed5c03f8d3,species,erysiphoides,Lasiostemma,,"(Ellis & Everh.) M.L. Farr",,1979,,"Mycologia 71(2): 267 (1979)",,,,0fb9355e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,316373," "
983b826e-9bad-11eb-a8a2-19ed5c03f8d3,species,fimbriatum,Lasiostemma,,"(Dearn. & House) M.E. Barr",,1987,,"Mycotaxon 29: 504 (1987)",,,,d9faeb78-9bac-11eb-a8a2-19ed5c03f8d3,,,,,130494," "
d46fc5e8-9bac-11eb-a8a2-19ed5c03f8d3,species,gnaphali,Lasiostemma,,"(Henn.) Toro",,,,,,,,8457faee-9bac-11eb-a8a2-19ed5c03f8d3,,,,,267869," Lasiostemma gnaphalii"
10050d34-9bad-11eb-a8a2-19ed5c03f8d3,species,gnaphalii,Lasiostemma,,"(Henn.) Toro",,1939,,"J. Agric. Univ. P. Rico 23(2): 86 (1939)",,,,8457faee-9bac-11eb-a8a2-19ed5c03f8d3,,,,,316374," gnaphali"
1005b946-9bad-11eb-a8a2-19ed5c03f8d3,species,irradians,Lasiostemma,,"(Pat.) M.L. Farr",,1979,,"Mycologia 71(2): 253 (1979)",,,,0516759e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,316375," "
7fb0517a-9bad-11eb-a8a2-19ed5c03f8d3,species,leersiae,Lasiostemma,,Punith.,,1984,,"Nova Hedwigia 39(1-2): 57 (1984)",,,,7fb0517a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,124324," "
dc5cda8e-9bac-11eb-a8a2-19ed5c03f8d3,species,maculosa,Lasiostemma,,"(Ellis) Toro",,,,,,,,6d4dc2ac-9bac-11eb-a8a2-19ed5c03f8d3,,,,,267880," Lasiostemma maculosum"
ac353d3c-9bad-11eb-a8a2-19ed5c03f8d3,species,maculosum,Lasiostemma,,"(Ellis) Toro",,1939,,"J. Agric. Univ. P. Rico 23(2): 85 (1939)",,,,6d4dc2ac-9bac-11eb-a8a2-19ed5c03f8d3,,,,,316376," maculosa"
361a8c2a-9bac-11eb-a8a2-19ed5c03f8d3,species,maesae,Lasiostemma,,"(Hansf.) M.L. Farr",,1986,,"Sydowia 38: 65 (1986)",,,,ea2fe412-9bac-11eb-a8a2-19ed5c03f8d3,,,,,128782," "
24980ebe-9bac-11eb-a8a2-19ed5c03f8d3,species,melioloides,Lasiostemma,,"(Berk. & Ravenel) Theiss., Syd. & P. Syd.",,1917,,"in Sydow & Sydow, Annls mycol. 15(3/4): 218 (1917)",,,,372e7d46-9bad-11eb-a8a2-19ed5c03f8d3,,,,,102249," "
3236fbac-9bac-11eb-a8a2-19ed5c03f8d3,variety,caracense,Lasiostemma,melioloides,"(Maubl.) M.L. Farr",,1979,,"Mycologia 71(2): 252 (1979)",,,,7de1a026-9bab-11eb-a8a2-19ed5c03f8d3,,,,,123917," "
60e5ee40-9bac-11eb-a8a2-19ed5c03f8d3,variety,melioloides,Lasiostemma,melioloides,"(Berk. & Ravenel) Theiss., Syd. & P. Syd.",,1917,,"in Sydow & Sydow, Annls mycol. 15(3/4): 218 (1917)",,,,60e5ee40-9bac-11eb-a8a2-19ed5c03f8d3,,,,,418391," "
c68044f8-9bac-11eb-a8a2-19ed5c03f8d3,species,merrillii,Lasiostemma,,Syd.,,,,,,,,c68044f8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,246110," "
9849c8b0-9bad-11eb-a8a2-19ed5c03f8d3,species,minutum,Lasiostemma,,"M.L. Farr",,1987,,"Mycologia 79(1): 103 (1987)",,,,9849c8b0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,130621," "
