id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e59c3ed2-8fd1-11eb-924d-9cd76263cbd0,genus,Latrobea,,,Meisn.,,,,,,,22747-1,wfo-4000020734,2932984,
93e02bec-8fc4-11eb-924d-9cd76263cbd0,species,abnormis,Latrobea,,"(F.Muell.) Druce",,,,,,79bfaf58-8fc4-11eb-924d-9cd76263cbd0,,wfo-0000188741,2956026,
6259fcec-8fc4-11eb-924d-9cd76263cbd0,species,brunonis,Latrobea,,"(Benth.) Meissner",,,,,,,,wfo-0000187857,2932991,
8f1cf79a-8fcc-11eb-924d-9cd76263cbd0,species,colophona,Latrobea,,"Chappill & C.F.Wilkins",2007,"Nuytsia 17: 484 2007",,,,,77090787-1,wfo-0000509706,3980476,
5aa1914a-8fc4-11eb-924d-9cd76263cbd0,species,diosmifolia,Latrobea,,"(Benth.) Benth.",,,,,,,,wfo-0000187693,2932986,
8847e22a-8fc4-11eb-924d-9cd76263cbd0,species,genistoides,Latrobea,,"(Meissner) Meissner",,,,,,,,wfo-0000188494,2932985,
7a5dc0a8-8fc4-11eb-924d-9cd76263cbd0,species,hirtella,Latrobea,,"(Turcz.) Benth.",,,,,,,,wfo-0000188284,2932990,
8f1d19a0-8fcc-11eb-924d-9cd76263cbd0,species,pinnacula,Latrobea,,"Chappill & C.F.Wilkins",2007,"Nuytsia 17: 487 2007",,,,,77090788-1,wfo-0000509707,,
2e90341e-8fcc-11eb-924d-9cd76263cbd0,species,pungens,Latrobea,,Benth.,1864,"Fl. Austral. 2: 140 1864",,,,,502102-1,wfo-0000365074,3909410,
8f1d39d0-8fcc-11eb-924d-9cd76263cbd0,species,recurva,Latrobea,,"Chappill & C.F.Wilkins",2007,"Nuytsia 17: 489 2007",,,,,77090789-1,wfo-0000509708,3980456,
6cfdc502-8fc4-11eb-924d-9cd76263cbd0,species,tenella,Latrobea,,"(Meissner) Benth.",,,,,,,,wfo-0000188063,2932987,
