id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e5a1e6a2-8fd1-11eb-924d-9cd76263cbd0,genus,Leandra,,,Raddi,0,1820,,"Unknown xviii. Fis. (1820) 385.",,,,,,urn:lsid:ipni.org:names:26411-1,wfo-4000020807,3188618,,
1f9ea4d4-8fbf-11eb-924d-9cd76263cbd0,species,acuminata,Leandra,,Cogn.,0,1886,,"Fl. Bras. 14(4): 143, t. 32, fig. 2 (1886)",,,,,,urn:lsid:ipni.org:names:136458-2,wfo-0000158103,3866996,,
bfa1563a-8fcd-11eb-924d-9cd76263cbd0,species,acutiflora,Leandra,,Cogn.,0,1886,,"Fl. Bras. 14(4): 162 (1886)",,,,,,urn:lsid:ipni.org:names:136459-2,wfo-0001079291,3866961,,
67728584-1d4d-11ec-82c2-f14daa6f2d93,variety,grandifolia,Leandra,acutiflora,Cogn.,,,,"Fl. Bras. 14(4): 162 (1886)",,,,,,urn:lsid:ipni.org:names:136460-2,wfo-0001372863,,,
6772ae2e-1d4d-11ec-82c2-f14daa6f2d93,variety,longifolia,Leandra,acutiflora,Cogn.,,,,"Fl. Bras. 14(4): 162 (1886)",,,,,,urn:lsid:ipni.org:names:136461-2,wfo-0001372864,,,
1fa94a06-8fbf-11eb-924d-9cd76263cbd0,species,adamantinensis,Leandra,,Brade,0,1956,,"Arch. Jard. Bot. Rio de Janeiro 14: [243], tab. 1 (1956)",,,,,,urn:lsid:ipni.org:names:136462-2,wfo-0000158104,3866946,,
ce3d2184-8fd1-11eb-924d-9cd76263cbd0,species,adenothrix,Leandra,,Cogn.,0,1886,,"Fl. Bras. 14(4): 165, t. 36, fig. 2 (1886)",,,,,,urn:lsid:ipni.org:names:136463-2,wfo-0001280221,3866922,,
bfc01eea-8fd1-11eb-924d-9cd76263cbd0,species,agrestis,Leandra,,Raddi,0,1829,,"Unknown xx. (1829) 157.",,,,bfbfe4ac-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:569479-1,wfo-0001253568,3866907,,
bfe0fcb4-8fd1-11eb-924d-9cd76263cbd0,species,alloeotricha,Leandra,,"(Urb.) Judd & Skean",0,1991,,"Unknown 36(2): 61 (1991): (1991)",,,,bfe0dcd4-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:963186-1,wfo-0001253820,3866897,,
1fb43768-8fbf-11eb-924d-9cd76263cbd0,species,alpestris,Leandra,,Cogn.,0,1886,,"Fl. Bras. 14(4): 128 (1886)",,,,,,urn:lsid:ipni.org:names:136465-2,wfo-0000158105,3866875,,
b5e13b84-8fd1-11eb-924d-9cd76263cbd0,species,alterninervia,Leandra,,Cogn.,0,1886,,"Fl. Bras. 14(4): 115, t. 27, fig. 1 (1886)",,,,,,urn:lsid:ipni.org:names:136466-2,wfo-0001235314,3866862,,
d688f672-8fbf-11eb-924d-9cd76263cbd0,species,altomacaensis,Leandra,,"Baumgratz & D'El Rei Souza",0,2009,,"Kew Bull. 64(1): 167 (-170; fig. 1) (2009)",,Q55755505,,,,urn:lsid:ipni.org:names:77098649-1,wfo-0000162413,3866856,,
bfa172dc-8fcd-11eb-924d-9cd76263cbd0,species,amplexicaulis,Leandra,,DC.,0,1828,,"Prodr. 3: 153 (1828)",,,,,,urn:lsid:ipni.org:names:569482-1,wfo-0001079292,3866850,,
be566ef6-8fd1-11eb-924d-9cd76263cbd0,species,angustifolia,Leandra,,DC.,0,1828,,"Prodr. 3: 154 (1828)",,,,,,urn:lsid:ipni.org:names:279369-2,wfo-0001250956,3866833,,
bfa18fce-8fcd-11eb-924d-9cd76263cbd0,species,anisophylla,Leandra,,Cogn.,0,,,,,,,,,urn:lsid:ipni.org:names:1062543-2,wfo-0001079293,3866810,,
bfa1ac34-8fcd-11eb-924d-9cd76263cbd0,species,aptera,Leandra,,Cogn.,0,,,"Fl. bras. 14(4): 127-128 1886",,,,,,urn:lsid:ipni.org:names:1040267-2,wfo-0001079294,3866784,,
