id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e5b506ce-8fd1-11eb-924d-9cd76263cbd0,genus,Leonotis,,,"(Pers.) R.Br.",1810,"Prodr. 504. 1810. (Apr 1810)",,,,,20966-1,wfo-4000021027,2926904,
d8e9d254-8fcb-11eb-924d-9cd76263cbd0,species,africana,Leonotis,,"(P.Beauv.) Briq.",1896,"Nat. Pflanzenfam. 4(3a): 246 1896",,,,,449110-1,wfo-0000224556,7830984,
d8e9eef6-8fcb-11eb-924d-9cd76263cbd0,species,bachmannii,Leonotis,,Gürke,1895,"Bot. Jahrb. Syst. 22: 143 1895",,,,,449112-1,wfo-0000224557,3890615,
d8ea0a30-8fcb-11eb-924d-9cd76263cbd0,species,bequaertii,Leonotis,,"De Wild.",1914,"Repert. Spec. Nov. Regni Veg. 13: 212 1914",,,,,449113-1,wfo-0000224558,3890607,
d8ea4252-8fcb-11eb-924d-9cd76263cbd0,species,brevipes,Leonotis,,Skan,1910,"Fl. Cap. 5(1): 378 1910",,,,,449114-1,wfo-0000224560,3890598,
d8ea6070-8fcb-11eb-924d-9cd76263cbd0,species,capensis,Leonotis,,Raf.,1837,"Fl. Tellur. 3: 88 1837",,,,,449115-1,wfo-0000224561,3890592,
d8ea7cc2-8fcb-11eb-924d-9cd76263cbd0,species,caribea,Leonotis,,"(Jacq.) Raf.",1837,"Fl. Tellur. 3: 88 1837",,,,,449116-1,wfo-0000224562,3890585,
d8ea9db0-8fcb-11eb-924d-9cd76263cbd0,species,decadonta,Leonotis,,Gürke,1895,"Bot. Jahrb. Syst. 22: 144 1895",,,,,449117-1,wfo-0000224563,7307670,
70cb36f8-8fcc-11eb-924d-9cd76263cbd0,variety,vestita,Leonotis,decadonta,"(Briq.) Iwarsson & Y.B.Harv.",2003,"Kew Bull. 58: 613 2003",,,,70ccf39e-8fcc-11eb-924d-9cd76263cbd0,50425765-2,wfo-0000458850,3890564,
d8eaca60-8fcb-11eb-924d-9cd76263cbd0,species,dinteri,Leonotis,,Briq.,,"Bull. Herb. Boissier II, 3: 1090 1903",,,,,449118-1,wfo-0000224564,3890555,
d8eae89c-8fcb-11eb-924d-9cd76263cbd0,species,dubia,Leonotis,,"E.Mey. ex Benth.",1838,"Comm. Pl. Afr. Austr. 242 1838",,,,,,wfo-0000224565,7667910,
d8eb041c-8fcb-11eb-924d-9cd76263cbd0,species,dysophylla,Leonotis,,Benth.,1838,"Comm. Pl. Afr. Austr. 242 1838",,,,,449120-1,wfo-0000224566,3890538,
d8eb2136-8fcb-11eb-924d-9cd76263cbd0,species,elliotii,Leonotis,,Baker,1900,"Fl. Trop. Afr. 5: 492 1900",,,,,449121-1,wfo-0000224567,3890529,
