id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e5b8ac2a-8fd1-11eb-924d-9cd76263cbd0,genus,Lepidadenia,,,Nees,1833,"Edinburgh New Philos. J. 15: 379. 1833.",,,,,,wfo-4000021073,7304100,
2e0fc7b6-8fcc-11eb-924d-9cd76263cbd0,species,costata,Lepidadenia,,Miq.,1858,"Fl. Ned. Ind. 1(1): 938 1858",,,,,465209-1,wfo-0000364260,4175720,
2e0fe5a2-8fcc-11eb-924d-9cd76263cbd0,species,cuneata,Lepidadenia,,Miq.,1858,"Fl. Ned. Ind. 1(1): 936 1858",,,,,465210-1,wfo-0000364261,4175711,
2e10d8a4-8fcc-11eb-924d-9cd76263cbd0,species,diversifolia,Lepidadenia,,Miq.,1858,"Fl. Ned. Ind. 1(1): 936 1858",,,,,465211-1,wfo-0000364269,4175700,
2e1001ae-8fcc-11eb-924d-9cd76263cbd0,species,ferruginea,Lepidadenia,,Miq.,1858,"Fl. Ned. Ind. 1(1): 935 1858",,,,,465212-1,wfo-0000364262,4175690,
2e0efd72-8fcc-11eb-924d-9cd76263cbd0,species,fusca,Lepidadenia,,Miq.,1858,"Fl. Ned. Ind. 1(1): 937 1858",,,,,465213-1,wfo-0000364257,4175681,
2e103cb4-8fcc-11eb-924d-9cd76263cbd0,species,fuscescens,Lepidadenia,,Miq.,1858,"Fl. Ned. Ind. 1(1): 939 1858",,,,,465214-1,wfo-0000364264,4175671,
2e105bd6-8fcc-11eb-924d-9cd76263cbd0,species,glabrata,Lepidadenia,,Wight,1838,"Icon. Pl. Ind. Orient. 5: t. 1838 1852",,,,,,wfo-0000364265,4175661,
2e1077f6-8fcc-11eb-924d-9cd76263cbd0,species,griffithii,Lepidadenia,,Wight,1846,"Icon. Pl. Ind. Orient. 5: t. 1846 1852",,,,,,wfo-0000364266,4175653,
2e1092b8-8fcc-11eb-924d-9cd76263cbd0,species,grisea,Lepidadenia,,Miq.,1858,"Fl. Ned. Ind. 1(1): 939 1858",,,,,465217-1,wfo-0000364267,4175642,
2e10b630-8fcc-11eb-924d-9cd76263cbd0,species,hirta,Lepidadenia,,Miq.,1858,"Fl. Ned. Ind. 1(1): 940 1858",,,,,465218-1,wfo-0000364268,4175632,
aff89244-8fd1-11eb-924d-9cd76263cbd0,species,kawakamii,Lepidadenia,,"(Hayata) Masam.",1948,"Taiwania 1: 69 1948",,,,,465219-1,wfo-0001224459,4175622,
2e0b4678-8fcc-11eb-924d-9cd76263cbd0,species,lucida,Lepidadenia,,Miq.,1858,"Fl. Ned. Ind. 1(1): 937 1858",,,,,465220-1,wfo-0000364232,4175611,
