id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e5c2a842-8fd1-11eb-924d-9cd76263cbd0,genus,Leptadenia,,,R.Br.,1810,"Asclepiadeae 23. 1810.",,,,,3469-1,wfo-4000021188,7312497,
2cfb0fc0-8fcc-11eb-924d-9cd76263cbd0,species,abyssinica,Leptadenia,,Decne.,1844,"Prodr. 8: 628 1844",,,,,98959-1,wfo-0000362514,3580358,
2c3913ca-8fcc-11eb-924d-9cd76263cbd0,species,appendiculata,Leptadenia,,Decne.,1844,"Prodr. 8: 628 1844",,,,,98960-1,wfo-0000361238,3580351,
2c3a9010-8fcc-11eb-924d-9cd76263cbd0,species,arborea,Leptadenia,,"(Forssk.) Schweinf.",1912,"Arab. Pfl.-Nam. 167 1912",,,,,98961-1,wfo-0000361246,3580344,
ca136aea-8fcd-11eb-924d-9cd76263cbd0,species,bojeriana,Leptadenia,,Decne.,1844,"Prodr. 8: 629 1844",,,,,98962-1,wfo-0001102160,3580333,
2c38dc98-8fcc-11eb-924d-9cd76263cbd0,species,brevipes,Leptadenia,,"Wight ex Hook.f.",1883,"Fl. Brit. India 4: 63 1883",,,,,98963-1,wfo-0000361236,8673658,
2c398166-8fcc-11eb-924d-9cd76263cbd0,species,clavipes,Leptadenia,,S.Moore,1912,"J. Bot. 50: 364 1912",,,,,98964-1,wfo-0000361241,3580316,
2c39a07e-8fcc-11eb-924d-9cd76263cbd0,species,cordata,Leptadenia,,"Hochst. ex Decne.",1844,"Prodr. 8: 628 1844",,,,,98965-1,wfo-0000361242,3580308,
2c39be56-8fcc-11eb-924d-9cd76263cbd0,species,cymosa,Leptadenia,,G.Don,1837,"Gen. Hist. 4: 124 1837",,,,,98966-1,wfo-0000361243,3580301,
2c39f6aa-8fcc-11eb-924d-9cd76263cbd0,species,delilei,Leptadenia,,Decne.,1844,"Prodr. 8: 628 1844",,,,,98967-1,wfo-0000361244,3580294,
ca13885e-8fcd-11eb-924d-9cd76263cbd0,species,elliptica,Leptadenia,,Blume,,"Bijdr. Fl. Ned. Ind. 1066 1826",,,,,98968-1,wfo-0001102161,3580284,
2c37dcb2-8fcc-11eb-924d-9cd76263cbd0,species,ephedriformis,Leptadenia,,Deflers,1889,"Voy. Yemen 166 1889",,,,,98970-1,wfo-0000361231,3580269,
2c393454-8fcc-11eb-924d-9cd76263cbd0,species,forskalii,Leptadenia,,G.Don,1837,"Gen. Hist. 4: 124 1837",,,,,,wfo-0000361239,3580261,
2c372df8-8fcc-11eb-924d-9cd76263cbd0,species,gracilis,Leptadenia,,G.Don,1837,"Gen. Hist. 4: 124 1837",,,,,,wfo-0000361225,7759413,
2c374ad6-8fcc-11eb-924d-9cd76263cbd0,species,hastata,Leptadenia,,Vatke,1876,"Linnaea 40: 217 1876",,,,,,wfo-0000361226,9150918,
2c376796-8fcc-11eb-924d-9cd76263cbd0,species,heterophylla,Leptadenia,,"(Delile) Decne.",1838,"Ann. Sci. Nat., Bot. II, 9: 270 1838",,,,,98974-1,wfo-0000361227,3580234,
2c37a21a-8fcc-11eb-924d-9cd76263cbd0,species,imberbis,Leptadenia,,Wight,1834,"Contr. Bot. India 48 1834",,,,,98975-1,wfo-0000361229,3580225,
2c37bf3e-8fcc-11eb-924d-9cd76263cbd0,species,jacquemontiana,Leptadenia,,Decne.,1838,"Ann. Sci. Nat., Bot. II, 9: 270 1838",,,,,98976-1,wfo-0000361230,3580213,
2c38bfec-8fcc-11eb-924d-9cd76263cbd0,species,lancifolia,Leptadenia,,"(Schumach. & Thonn.) Decne.",1838,"Ann. Sci. Nat., Bot. II, 9: 269 1838",,,,,98977-1,wfo-0000361235,3580202,
ca13a56e-8fcd-11eb-924d-9cd76263cbd0,species,madagascariensis,Leptadenia,,Decne.,1844,"Prodr. 8: 629 1844",,,,,98978-1,wfo-0001102162,3580196,
2c3713c2-8fcc-11eb-924d-9cd76263cbd0,species,pallida,Leptadenia,,"Hochst. ex Decne.",1844,"Prodr. 8: 629 1844",,,,,98979-1,wfo-0000361224,3580189,
2c37fd78-8fcc-11eb-924d-9cd76263cbd0,species,pyrotechnica,Leptadenia,,"(Forssk.) Decne.",1838,"Ann. Sci. Nat., Bot. II, 9: 269 1838",,,,,98980-1,wfo-0000361232,3580180,
ca13bf68-8fcd-11eb-924d-9cd76263cbd0,species,reticulata,Leptadenia,,"(Retz.) Wight & Arn.",1834,"Contr. Bot. India 47 1834",,,,,98981-1,wfo-0001102163,3580162,
2c385e3a-8fcc-11eb-924d-9cd76263cbd0,species,spartum,Leptadenia,,Wight,1834,"Contr. Bot. India 48 1834",,,,,98982-1,wfo-0000361233,3580153,
ca13e380-8fcd-11eb-924d-9cd76263cbd0,species,visciformis,Leptadenia,,Vatke,1876,"Oesterr. Bot. Z. 26: 146–147 1876",,,,,98983-1,wfo-0001102164,3580142,
