id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e5c8d9e2-8fd1-11eb-924d-9cd76263cbd0,genus,Leptoclinium,,,"(Nutt.) A.Gray",,,,,,,,,,9760-1,wfo-4000021250,7711436,,
e1a70632-8fb2-11eb-924d-9cd76263cbd0,species,brasiliense,Leptoclinium,,Gaiser,,1946,,"410 1946",,,,,,,wfo-0000036639,6294240,,
de27830a-8fb3-11eb-924d-9cd76263cbd0,species,fruticosum,Leptoclinium,,"(Nutt.) A.Gray",,1880,,"Proc. Amer. Acad. Arts 15: 48. 1880.",,,,,,229796-1,wfo-0000056011,5704004,,
45ad38de-8fb5-11eb-924d-9cd76263cbd0,species,trichotomum,Leptoclinium,,"(Gardner) Benth.",,1876,,"Flora Brasiliensis 6(2): 272 1876",,,,,,,wfo-0000076043,8120987,,
ce0eedf4-8fb9-11eb-924d-9cd76263cbd0,species,trichotomum,Leptoclinium,,"(Gardner) Benth. ex Baker",,1876,,"272 1876",,,,,,,wfo-0000121524,5404761,,
2bff99e2-8fcc-11eb-924d-9cd76263cbd0,species,campestris,Leptocnemia,,Nutt.,,1840,,"Fl. N. Amer. 1: 624 1840",,,,,,,wfo-0000360861,8424681,,
692feec0-8fcc-11eb-924d-9cd76263cbd0,species,borbonica,Leptocnide,,Blume,,1857,,"Mus. Bot. 2: 193 1857",,,,,,854364-1,wfo-0000445324,4098086,,
692fd340-8fcc-11eb-924d-9cd76263cbd0,species,heterophylla,Leptocnide,,Blume,,1857,,"Mus. Bot. 2: 193 1857",,,,,,854365-1,wfo-0000445323,4098076,,
692fb8ba-8fcc-11eb-924d-9cd76263cbd0,species,rubricaulis,Leptocnide,,Blume,,1857,,"Mus. Bot. 2: 193 1857",,,,,,854366-1,wfo-0000445322,4098066,,
39e79f68-8fcd-11eb-924d-9cd76263cbd0,species,gracilis,Leptocodon,,"(Hook.f. & Thomson) Lem.",,1856,,"Ill. Hort. 3(Misc.): 49 1856",,,,413d758a-8fcd-11eb-924d-9cd76263cbd0,,142783-1,wfo-0000814825,8177719,,
39e9239c-8fcd-11eb-924d-9cd76263cbd0,species,hirsutus,Leptocodon,,D.Y.Hong,,1980,,"Acta Phytotax. Sin. 18: 246 1980",,,,,,142784-1,wfo-0000814839,5412933,,
39e7d53c-8fcd-11eb-924d-9cd76263cbd0,species,longibracteatum,Leptocodon,,"(H.Buek) Sond.",,1865,,"Fl. Cap. 3: 585 1865",,,,,,142785-1,wfo-0000814827,5409799,,
