id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e5e6324e-8fd1-11eb-924d-9cd76263cbd0,genus,Leysera,,,L.,,,,,,,,,,329859-2,wfo-4000021650,3092586,,
cf3a39ea-8fb4-11eb-924d-9cd76263cbd0,species,arctioides,Leysera,,Thunb.,,,,"Prodr. Pl. Cap. 160.",,,,,,230326-1,wfo-0000070150,4245096,,
42c8dc78-8fb4-11eb-924d-9cd76263cbd0,species,callicornia,Leysera,,Thunb.,,,,"Prodr. Pl. Cap. 160.",,,,,,230327-1,wfo-0000062366,7822003,,
fd4f1466-8fb1-11eb-924d-9cd76263cbd0,species,callicornia,Leysera,,L.,,,,,,,,,,,wfo-0000000140,8875347,,
693747ce-8fb8-11eb-924d-9cd76263cbd0,species,callicornia,Leysera,,"Willd. ex Less.",,1838,,"Prodr. (DC.) 7(1): 13 1838",,,,,,230328-1,wfo-0000109160,3092608,,
c0371d6a-8fb3-11eb-924d-9cd76263cbd0,species,capillifolia,Leysera,,"(Willd.) Spreng.",,1818,,"25 1818",,,,9f8593d6-8fb2-11eb-924d-9cd76263cbd0,,230330-1,wfo-0000053952,7402331,,
4b6d3ae4-8fb5-11eb-924d-9cd76263cbd0,species,capillifolia,Leysera,,"(Willd.) DC.",,1837,,"Prodromus Systematis Naturalis Regni Vegetabilis 6: 279 1837",,,,9f8593d6-8fb2-11eb-924d-9cd76263cbd0,,,wfo-0000076321,3092599,,
6fabd77e-8fb2-11eb-924d-9cd76263cbd0,species,caroliniana,Leysera,,Walter,,1788,,"Fl. Carol. 211 (Quid ?). 1788",,,,,,230331-1,wfo-0000024479,4245079,,
aa379886-8fb9-11eb-924d-9cd76263cbd0,species,ciliata,Leysera,,Thunb.,,,,"Prodr. Pl. Cap. 160.",,,,,,230332-1,wfo-0000120326,4245073,,
ab60d81a-8fb6-11eb-924d-9cd76263cbd0,species,discoidea,Leysera,,Spreng.,,1815,,"Pl. Min. Cogn. Pug. 2: 78 1815",,,,,,230333-1,wfo-0000091910,3092601,,
adcf056c-8fb2-11eb-924d-9cd76263cbd0,species,ericoides,Leysera,,P.J.Bergius,,1767,,"Descr. Pl. Cap. 294. 1767",,,,,,230334-1,wfo-0000031604,3111680,,
6566b176-8fb7-11eb-924d-9cd76263cbd0,species,gnaphalodes,Leysera,,"(L.) L.",,1763,,"Pl. Rar. Afr. 23; Amoen. Acad. vi. 104. 1763",,,,,,,wfo-0000099345,3092587,,
3b08f362-8fb2-11eb-924d-9cd76263cbd0,species,gnaphaloides,Leysera,,Thunb.,,,,"Prodr. Pl. Cap. 160.",,,,,,230336-1,wfo-0000016573,3092606,,
7adebb84-8fb2-11eb-924d-9cd76263cbd0,species,incana,Leysera,,Thunb.,,,,"Prodr. Pl. Cap. 160.",,,,,,230337-1,wfo-0000025721,3092591,,
c5567cc0-8fbb-11eb-924d-9cd76263cbd0,species,leyseroides,Leysera,,"(Desf.) Maire",,1929,,"186 1929",,,,1e646fac-8fb2-11eb-924d-9cd76263cbd0,,230323-1,wfo-0000136513,,,
c9cc24b2-8fb6-11eb-924d-9cd76263cbd0,species,leyseroides,Leysera,,"(Desf.) Dandy",,1956,,"in F. W. Andrews, Fl. Pl. Sudan, iii. 40 (1956).",,,,1e646fac-8fb2-11eb-924d-9cd76263cbd0,,230324-1,wfo-0000093174,8093323,,
d83f2740-8fb3-11eb-924d-9cd76263cbd0,species,longipes,Leysera,,K.Bremer,,1978,,"Bot. Not. 131(3): 381 (1978).",,,,,,230325-1,wfo-0000055596,3113865,,
