id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a4262ab6-9bad-11eb-a8a2-19ed5c03f8d3,genus,Lichtheimia,,,Vuill.,Q717870,1903,,"Bull. Soc. mycol. Fr. 19: 126 (1903)",,,,a4262ab6-9bad-11eb-a8a2-19ed5c03f8d3,,,,,20308," "
76667a46-9bac-11eb-a8a2-19ed5c03f8d3,species,blakesleeana,Lichtheimia,,"(Lendn.) K. Hoffm., Walther & K. Voigt","Q21518642,Q13402884",2009,,"Mycol. Res. 113(3): 277 (2009)",,,,d582dd94-9bac-11eb-a8a2-19ed5c03f8d3,,,,,512831," "
a24d6ab6-9bac-11eb-a8a2-19ed5c03f8d3,species,cornealis,Lichtheimia,,"(Cavara & Sacc.) Naumov","Q4206900,Q707840",1935,,"Opred. Mukor., Edn 2 80 (1935)",,,,784739d2-9bab-11eb-a8a2-19ed5c03f8d3,,,,,251592," "
b4b2578e-9bac-11eb-a8a2-19ed5c03f8d3,species,corymbifera,Lichtheimia,,"(Cohn) Vuill.",Q717870,1903,,"Bull. Soc. mycol. Fr. 19: 126 (1903)",,,,4facf4ac-9bac-11eb-a8a2-19ed5c03f8d3,,,,,416447," "
52d3777c-9bad-11eb-a8a2-19ed5c03f8d3,species,dubia,Lichtheimia,,"(Bainier) Vuill.",Q717870,,,,,,,4ae71be6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,433084," "
7666378e-9bac-11eb-a8a2-19ed5c03f8d3,species,hyalospora,Lichtheimia,,"(Saito) K. Hoffm., Walther & K. Voigt",Q13402884,2009,,"Mycol. Res. 113(3): 278 (2009)",,,,82346018-9bac-11eb-a8a2-19ed5c03f8d3,,,,,512830," "
02305cd2-9bac-11eb-a8a2-19ed5c03f8d3,species,italiana,Lichtheimia,,"Pollacci & Nann.",Q15686778,1926,illegitimate,"Miceti. pat uomo. anim. fasc. 3, no. 26 (1926)",,,,02305cd2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,433085,"Nom. illegit., Art. 53.1 italica"
ce6d620e-9bac-11eb-a8a2-19ed5c03f8d3,species,italica,Lichtheimia,,"Pollacci & Nann.",Q15686778,,,,,,,ce6d620e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,269098," Lichtheimia italiana"
b4b2a446-9bac-11eb-a8a2-19ed5c03f8d3,species,ramosa,Lichtheimia,,"(Zopf) Vuill.",Q717870,1903,,"Bull. Soc. mycol. Fr. 19: 126 (1903)",,,,,,,,,416448," "
125352d6-9bac-11eb-a8a2-19ed5c03f8d3,form,ramosa,Lichtheimia,ramosa,"(Lindt) Vuill.",Q717870,1903,,"Bull. Soc. mycol. Fr. 19: 126 (1903)",,,,,,,,,439531," "
1253795a-9bac-11eb-a8a2-19ed5c03f8d3,variety,ramosa,Lichtheimia,ramosa,"(Lindt) Vuill.",Q717870,1903,,"Bull. Soc. mycol. Fr. 19: 126 (1903)",,,,,,,,,439532," "
7f73ecee-9bad-11eb-a8a2-19ed5c03f8d3,variety,rasti,Lichtheimia,ramosa,"(Lendn.) Naumov",Q21518642,,,,,,,a7b72014-9bac-11eb-a8a2-19ed5c03f8d3,,,,,433087," Lichtheimia ramosa var. rastii"
61ec2b88-9bac-11eb-a8a2-19ed5c03f8d3,variety,rastii,Lichtheimia,ramosa,"(Lendn.) Naumov",Q21518642,1935,,"Opred. Mukor., Edn 2 81 (1935)",,,,a7b72014-9bac-11eb-a8a2-19ed5c03f8d3,,,,,530482," "
7f73c02a-9bad-11eb-a8a2-19ed5c03f8d3,form,typica,Lichtheimia,ramosa,"(Hagem) Naumov",,1935,invalid,"Opred. Mukor., Edn 2 81 (1935)",,,,a7b6f0da-9bac-11eb-a8a2-19ed5c03f8d3,,,,,433086,"Nom. inval., Art. 32.1; see Art. 24.3 "
7f74f116-9bad-11eb-a8a2-19ed5c03f8d3,variety,zurcheri,Lichtheimia,ramosa,"(Lendn.) Naumov",Q21518642,1935,,"Opred. Mukor., Edn 2 81 (1935)",,,,b89404a0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,433088," "
988731f6-9bac-11eb-a8a2-19ed5c03f8d3,species,regnieri,Lichtheimia,,"(Lucet & Costantin) Vuill.","Q2701525,Q717870",1903,,"Bull. Soc. mycol. Fr. 19: 126 (1903)",,,,78f844e8-9bab-11eb-a8a2-19ed5c03f8d3,,,,,210885," "
60c36e50-9bad-11eb-a8a2-19ed5c03f8d3,species,sartoryi,Lichtheimia,,"A. Bailly & Sartory",Q2871394,,,,,,,60c36e50-9bad-11eb-a8a2-19ed5c03f8d3,,,,,333368," "
c01ec6ca-9bac-11eb-a8a2-19ed5c03f8d3,species,truchisi,Lichtheimia,,"(Lucet & Costantin) Naumov",Q2701525,,,,,,,52dd39ec-9bad-11eb-a8a2-19ed5c03f8d3,,,,,269110," Lichtheimia truchisii"
2473068c-9bac-11eb-a8a2-19ed5c03f8d3,species,truchisii,Lichtheimia,,"(Lucet & Costantin) Naumov",Q2701525,1915,,"Tab. Opred. Predst. Mucor. 41 (1915)",,,,52dd39ec-9bad-11eb-a8a2-19ed5c03f8d3,,,,,102058," Truchisi"
d3ab43e4-9bac-11eb-a8a2-19ed5c03f8d3,species,ucrainica,Lichtheimia,,Naumov,,1935,invalid,"Opred. Mukor., Edn 2 80 (1935)",,,,d3ab43e4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,255239,"Nom. inval., Art. 36.1 "
