id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e5ecf728-8fd1-11eb-924d-9cd76263cbd0,genus,Limbarda,,,Adans.,0,1763,,"Fam. Pl. 2: 125 (1763)",,,,,,urn:lsid:ipni.org:names:9836-1,wfo-4000021753,7892034,,
5dedb582-8fb9-11eb-924d-9cd76263cbd0,species,arabica,Limbarda,,Raf.,0,1837,,"Fl. Tellur. 2: 48 (1837)",,,Q5862831,,,urn:lsid:ipni.org:names:230897-1,wfo-0000117761,4241582,,
aa7595d0-8fb6-11eb-924d-9cd76263cbd0,species,crithmifolia,Limbarda,,Raf.,0,1837,,"Fl. Tellur. 2: 48 (1837)",,,Q5862831,,,urn:lsid:ipni.org:names:230898-1,wfo-0000091872,4241578,,
a9a6c0f4-8fb9-11eb-924d-9cd76263cbd0,species,crithmoides,Limbarda,,"(L.) Dumort.",0,1827,,"Fl. Belg. 68 (1827) (1827)",,,,6df4ffce-8fb6-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:230899-1,wfo-0000120306,,,
db02c262-1d47-11ec-82c2-f14daa6f2d93,subspecies,crithmoides,Limbarda,crithmoides,"(L.) Dumort.",,,,Unknown,,,,,,urn:lsid:ipni.org:names:77180729-1,wfo-0000098669,,,
29561c1c-8fb7-11eb-924d-9cd76263cbd0,subspecies,longifolia,Limbarda,crithmoides,"(Arcang.) Greuter",0,2003,,"Willdenowia 33(2): 244 (22 Dec. 2003) (2003)",,,,eb149b44-8fb7-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:50426487-2,wfo-0000096990,4241574,,
36740632-8fb4-11eb-924d-9cd76263cbd0,species,japonica,Limbarda,,Raf.,0,1836,,"Fl. Tellur. 2: 48 (1837)",,,Q5862831,,,urn:lsid:ipni.org:names:230900-1,wfo-0000061611,3148523,,
b3fb0fec-8fb9-11eb-924d-9cd76263cbd0,species,pinifolia,Limbarda,,Raf.,0,1837,,"Fl. Tellur. 2: 48 (1837)",,,Q5862831,,,urn:lsid:ipni.org:names:230901-1,wfo-0000120651,4241567,,
9e02a986-8fb2-11eb-924d-9cd76263cbd0,species,salsoloides,Limbarda,,"(Turcz.) Ikonn.",0,1972,,"Novosti Sist. Vyssh. Rast. 9: 303 (1972)",,,,,,urn:lsid:ipni.org:names:230902-1,wfo-0000029849,3088760,,
028e2782-8fb2-11eb-924d-9cd76263cbd0,species,tricuspis,Limbarda,,Cass.,0,1823,,"Dict. Sci. Nat., ed. 2. 26: 438 (1823)",,,,,,urn:lsid:ipni.org:names:230903-1,wfo-0000004277,4241560,,
