id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e5f4cb4c-8fd1-11eb-924d-9cd76263cbd0,genus,Lindigia,,,Hampe,,"Linnaea 31: 527. 1861[1862].",,,,,,wfo-4000021843,9815622,
ef7791bc-8fcd-11eb-924d-9cd76263cbd0,species,aciculata,Lindigia,,"(Taylor) Hampe",,"Bot. Zeitung (Berlin) 27: 868 1869",,,,,,wfo-0001182449,8343611,
ef77acba-8fcd-11eb-924d-9cd76263cbd0,species,africana,Lindigia,,Broth.,,"Bot. Jahrb. Syst. 24: 281 1897",,,,,,wfo-0001182450,7973069,
ef77ca42-8fcd-11eb-924d-9cd76263cbd0,species,asiatica,Lindigia,,Dixon,,"J. Bombay Nat. Hist. Soc. 39: 783. 1 f. 11 1937",,,,,,wfo-0001182451,8391398,
ef77e482-8fcd-11eb-924d-9cd76263cbd0,species,capillacea,Lindigia,,"(Hornsch.) Hampe",,"Bot. Zeitung (Berlin) 26: 819 1868",,,,,,wfo-0001182452,7807735,
ef780228-8fcd-11eb-924d-9cd76263cbd0,variety,paupera,Lindigia,capillacea,M.Fleisch.,,"Hedwigia 63: 210 1922",,,,,,wfo-0001182453,7492987,
ef781d30-8fcd-11eb-924d-9cd76263cbd0,species,curtipes,Lindigia,,Hampe,,"Linnaea 31: 528 1862",,,,,,wfo-0001182454,7690875,
ef783efa-8fcd-11eb-924d-9cd76263cbd0,species,debilis,Lindigia,,"(Mitt.) A.Jaeger",,"Ber. Thätigk. St. Gallischen Naturwiss. Ges. 1876–77: 313 (Gen. Sp. Musc. 2: 379) 1878",,,,,,wfo-0001182455,5282723,
ef785c0a-8fcd-11eb-924d-9cd76263cbd0,species,densiretis,Lindigia,,"Hampe & Lorentz",,"Bot. Zeitung (Berlin) 26: 818 1868",,,,,,wfo-0001182456,8036248,
ef787aaa-8fcd-11eb-924d-9cd76263cbd0,species,hildebrandtii,Lindigia,,"Müll.Hal. ex Renauld",,"Prodr. Fl. Bryol. Madagascar 228 1898",,,,,,wfo-0001182457,7897956,
ef789b7a-8fcd-11eb-924d-9cd76263cbd0,species,imponderosa,Lindigia,,"(Taylor) Hampe",,"Bot. Zeitung (Berlin) 27: 668 1869",,,,,,wfo-0001182458,7425347,
f6d0f0ca-8fcd-11eb-924d-9cd76263cbd0,species,liebmaniana,Lindigia,,"(Lindenb. & Gottsche) Gottsche",,1863,,,,,,wfo-0001197553,7965742,
ef78b812-8fcd-11eb-924d-9cd76263cbd0,species,lorentzii,Lindigia,,Müll.Hal.,,"Linnaea 42: 399 1879",,,,,,wfo-0001182459,8235841,
f6d10dee-8fcd-11eb-924d-9cd76263cbd0,species,muelleri,Lindigia,,Gottsche,,"Musci Exot. 1863",,,,,,wfo-0001197554,7418297,
ef78d2de-8fcd-11eb-924d-9cd76263cbd0,species,papillipes,Lindigia,,"(Müll.Hal. ex Hampe) Müll.Hal.",,"Linnaea 42: 402 1879",,,,,,wfo-0001182460,8204760,
ef78ed28-8fcd-11eb-924d-9cd76263cbd0,species,tenella,Lindigia,,Hampe,,"Mém. Soc. Sci. Nat. Cherbourg 16: 248 1872",,,,,,wfo-0001182461,7720482,
ef790740-8fcd-11eb-924d-9cd76263cbd0,species,tenuissima,Lindigia,,"(Hook. & Wilson) Müll.Hal.",,"Linnaea 42: 403 1879",,,,,,wfo-0001182462,7676004,
ef792414-8fcd-11eb-924d-9cd76263cbd0,species,trichomitria,Lindigia,,Müll.Hal.,,"Linnaea 42: 491 1879",,,,,,wfo-0001182463,8112098,
