id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e5f674ce-8fd1-11eb-924d-9cd76263cbd0,genus,Linnaea,,,"Gronov. ex L.","Q724270,Q1043",1753,,"Sp. Pl. 2: 631. 1753. (1 May 1753)",,,,,,6095-1,wfo-4000021877,,,
2a514316-8fcc-11eb-924d-9cd76263cbd0,species,adenotricha,Linnaea,,"(Hance) Graebn.","Q2657692,Q67753",1900,,"Bot. Jahrb. Syst. 29: 144 1900",,,,8faf6e68-8fcc-11eb-924d-9cd76263cbd0,,148537-1,wfo-0000358128,5599170,,
2a516620-8fcc-11eb-924d-9cd76263cbd0,species,albiloba,Linnaea,,Brenner,Q4096302,1910,,"Meddeland. Soc. Fauna Fl. Fenn. 36: 12 1910",,,,,,148538-1,wfo-0000358129,5599164,,
d46a3362-8fd1-11eb-924d-9cd76263cbd0,species,americana,Linnaea,,J.Forbes,Q3161083,,,,,,,,,140688-2,wfo-0001286099,6369899,,
2a4fef52-8fcc-11eb-924d-9cd76263cbd0,species,amoenula,Linnaea,,Wittr.,Q640838,1908,,"Meddeland. Soc. Fauna Fl. Fenn. 34: 94 1908",,,,,,,wfo-0000358126,5599143,,
add4571e-8fd1-11eb-924d-9cd76263cbd0,species,angustifolia,Linnaea,,"(Bureau ex Franch.) Graebn.","Q723391,Q377208,Q67753",1900,,"Bot. Jahrb. Syst. 29(1): 135–136 1900",,,,,,148541-1,wfo-0001220630,5599137,,
d79c7bee-8fd1-11eb-924d-9cd76263cbd0,species,aschersoniana,Linnaea,,Graebn.,Q67753,1900,,"Bot. Jahrb. Syst. 29(1): 139–140 1900",,,,,,148542-1,wfo-0001290923,5599133,,
2a4130fc-8fcc-11eb-924d-9cd76263cbd0,species,australis,Linnaea,,Hoffmanns.,Q76697,1833,,"Preiss-Verz. Pfl. 7: 36 1833",,,,,,148543-1,wfo-0000358022,5599128,,
2a414d8a-8fcc-11eb-924d-9cd76263cbd0,species,borealis,Linnaea,,L.,Q1043,1753,,"Sp. Pl. 631 1753",,,,,,140689-2,wfo-0000358023,5334220,,
d77da7d2-8fd1-11eb-924d-9cd76263cbd0,variety,americana,Linnaea,borealis,"(J.Forbes) Rehder","Q3161083,Q68949",1904,,"Rhodora 6: 56 1904",,Q100403196,,d46a3362-8fd1-11eb-924d-9cd76263cbd0,,140690-2,wfo-0001290715,7514090,,
