id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e5fc3d28-8fd1-11eb-924d-9cd76263cbd0,genus,Lisianthius,,,P.Browne,,"Civ. Nat. Hist. Jamaica 157, pl. 9. 1756. (10 Mar 1756)",,,,,329806-2,wfo-4000021950,3169882,
b2f6d55a-8fd1-11eb-924d-9cd76263cbd0,species,acuminatus,Lisianthius,,Desr.,,"Encycl. 3: 660 1804",,,,,369883-1,wfo-0001229941,8343552,
b8a193d6-8fcd-11eb-924d-9cd76263cbd0,species,acutangulus,Lisianthius,,"Ruiz & Pav.",,"Fl. Peruv. 2: 14, t. 122, f. a 1799",,,,,141385-2,wfo-0001063303,3844682,
2e5c30e2-8fcc-11eb-924d-9cd76263cbd0,species,acutilobus,Lisianthius,,Steyerm.,,"Bol. Soc. Venez. Ci. Nat. 26: 439 1966",,,,,141386-2,wfo-0000364751,3844345,
b1f88ad6-8fd1-11eb-924d-9cd76263cbd0,species,adamsii,Lisianthius,,Weaver,,"J. Arnold Arbor. 53(2): 267 1972",,,,,,wfo-0001228186,3844324,
2e5a8968-8fcc-11eb-924d-9cd76263cbd0,species,alatus,Lisianthius,,Aubl.,,"Hist. Pl. Guiane 204 1775",,,,,141388-2,wfo-0000364744,3844303,
2e5ac928-8fcc-11eb-924d-9cd76263cbd0,species,albus,Lisianthius,,"Spruce ex Progel",,"Fl. Bras. 6(1): 237 1865",,,,,141389-2,wfo-0000364745,7551389,
b2f80e02-8fd1-11eb-924d-9cd76263cbd0,species,alpestris,Lisianthius,,Mart.,,"Nov. Gen. Sp. Pl. 2: 93, t. 171 1827",,,,,369890-1,wfo-0001229952,3844275,
2e606d92-8fcc-11eb-924d-9cd76263cbd0,species,amoenus,Lisianthius,,Miq.,,"Linnaea 19: 129 1846",,,,,141391-2,wfo-0000364782,3844268,
b8cb8844-8fcd-11eb-924d-9cd76263cbd0,species,amplissimus,Lisianthius,,Mart.,,"Nov. Gen. Sp. Pl. 2(2): 96, t. 175 1827",,,,,279737-2,wfo-0001063677,3844252,
