id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e5fd9ba0-8fd1-11eb-924d-9cd76263cbd0,genus,Litchi,,,Sonn.,0,1782,,"Voy. Indes Orient. , ed. 2, 3: 255 (1782)",,,,,,urn:lsid:ipni.org:names:30014909-2,wfo-4000021965,3190001,,
69b94954-8fcc-11eb-924d-9cd76263cbd0,species,chinensis,Litchi,,Sonn.,0,1782,,"Voy. Indes Orient. , ed. 2, 3: 255 (1782)",,,,,,urn:lsid:ipni.org:names:783539-1,wfo-0000446283,3190002,,
69b7ce9e-8fcc-11eb-924d-9cd76263cbd0,variety,euspontanea,Litchi,chinensis,H.H.Hsue,0,1983,,"J. S. China Agric. Univ. 4(2): 33 (1983)",,,,,,urn:lsid:ipni.org:names:973620-1,wfo-0000446278,3784873,,
61f0f5f0-1d4d-11ec-82c2-f14daa6f2d93,subspecies,javensis,Litchi,chinensis,Leenh.,,,,"Blumea 24: 401 (1978)",,,,,,urn:lsid:ipni.org:names:891071-1,wfo-0001364899,,,
61f125d4-1d4d-11ec-82c2-f14daa6f2d93,subspecies,philippinensis,Litchi,chinensis,"(Radlk.) Leenh.",,,,"Blumea 19: 129 (1971)",,,,,,urn:lsid:ipni.org:names:891073-1,wfo-0001364900,,,
64eb9b2a-1d4d-11ec-82c2-f14daa6f2d93,subspecies,philippinensis,Litchi,chinensis,"(Radlk.) Leenh.",,,,"Blumea 19(1): 129. 1971",,,,,,urn:lsid:ipni.org:names:891072-1,wfo-0001368731,,,
69b8ca9c-8fcc-11eb-924d-9cd76263cbd0,species,lit-chi,Litchi,,Britton,0,1918,,"Fl. Bermuda [N.L. Britton] 226. 1918 : use L. lichi",,,,,,urn:lsid:ipni.org:names:141528-2,wfo-0000446281,,,
69b87632-8fcc-11eb-924d-9cd76263cbd0,species,philippinensis,Litchi,,"Radlk. ex Whitford",0,1913,,"Philipp. J. Sci., C 8: 458 (1913 publ. 1914)",,,,,,urn:lsid:ipni.org:names:783541-1,wfo-0000446280,3784840,,
ba8430b0-8fd1-11eb-924d-9cd76263cbd0,species,ramboutan-ake,Litchi,,Labill.,0,,,,,,,,,,wfo-0001243913,4928672,,
d8e99d96-8fcd-11eb-924d-9cd76263cbd0,species,sinensis,Litchi,,J.F.Gmel.,,1782,,"Syst. Nat. ed. 13[bis] : 635 (1791)",,,,,,urn:lsid:ipni.org:names:783542-1,wfo-0001135043,,,
