id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e607c8aa-8fd1-11eb-924d-9cd76263cbd0,genus,Lomagramma,,,J.Sm.,,1841,,"J. Bot. (Hooker) 3: 402. 1841.",,,,,,17138050-1,wfo-4000022096,2651210,,
c19ce3b0-8fd1-11eb-924d-9cd76263cbd0,species,abscondita,Lomagramma,,Alderw.,,1913,,"Bull. Jard. Bot. Buitenzorg, sér. 2, 11: 16 1913",,,,,,17285830-1,wfo-0001257158,4012464,,
c1aea8a2-8fd1-11eb-924d-9cd76263cbd0,species,angustipinna,Lomagramma,,Copel.,,1942,,"Univ. Calif. Publ. Bot. 18: 222 1942",,,,,,17403110-1,wfo-0001257293,4012456,,
c199773e-8fd1-11eb-924d-9cd76263cbd0,species,articulata,Lomagramma,,"(Fée) Copel.",,1908,,"Philipp. J. Sci. 3: 32 1908",,,,,,17253600-1,wfo-0001257131,4012448,,
c1999598-8fd1-11eb-924d-9cd76263cbd0,species,bipinnata,Lomagramma,,Copel.,,1916,,"Philipp. J. Sci. 11: 41 1916",,,,,,17285840-1,wfo-0001257132,4012440,,
c1b0239e-8fd1-11eb-924d-9cd76263cbd0,species,brassii,Lomagramma,,Holttum,,1966,,"Blumea 14: 224 1966",,Q96028531,,,,17442670-1,wfo-0001257303,4012434,,
c1af160c-8fd1-11eb-924d-9cd76263cbd0,species,brooksii,Lomagramma,,Copel.,,1908,,"Philipp. J. Sci. 3: 345 1908",,,,,,,wfo-0001257297,4012426,,
c1afc7e6-8fd1-11eb-924d-9cd76263cbd0,species,copelandii,Lomagramma,,Holttum,,1937,,"Gard. Bull. Straits Settlem. 9: 201 1937",,,,,,17403120-1,wfo-0001257301,4012420,,
c1aee100-8fd1-11eb-924d-9cd76263cbd0,species,cordata,Lomagramma,,Copel.,,1955,,"Philipp. J. Sci. 84: 162 1955",,,,,,17403130-1,wfo-0001257295,4012412,,
53e07eea-8fbd-11eb-924d-9cd76263cbd0,species,cordipinna,Lomagramma,,Holttum,,1937,,"Gard. Bull. Straits Settlem. 9: 202 1937",,,,,,17403140-1,wfo-0000147096,4012404,,
53eba95a-8fbd-11eb-924d-9cd76263cbd0,species,cultrata,Lomagramma,,Holttum,,1937,,"Gard. Bull. Straits Settlem. 9: 203 1937",,,,,,17403150-1,wfo-0000147097,4012398,,
cba36b68-8fd1-11eb-924d-9cd76263cbd0,species,grosseserrata,Lomagramma,,Holttum,,1937,,"Gard. Bull. Straits Settlem. 9(2): 203, pl. 10–11 1937",,,,,,17403160-1,wfo-0001275627,4012389,,
cd223bee-8fcd-11eb-924d-9cd76263cbd0,species,guianensis,Lomagramma,,"(Aubl.) Ching",,1932,,"Amer. Fern J. 22: 17 1932",,,,,,17339360-1,wfo-0001109157,2651211,,
c1af3286-8fd1-11eb-924d-9cd76263cbd0,species,leucolepis,Lomagramma,,Holttum,,1966,,"Blumea 14: 224 1966",,Q96028531,,,,17442680-1,wfo-0001257298,4012353,,
c19cc6b4-8fd1-11eb-924d-9cd76263cbd0,species,lomarioides,Lomagramma,,"(Blume) J.Sm.",,1875,,"Hist. Fil. 143 1875",,,,cff94fce-8fcd-11eb-924d-9cd76263cbd0,,17273880-1,wfo-0001257157,4012330,,
d54420a8-8fcd-11eb-924d-9cd76263cbd0,species,matthewii,Lomagramma,,"(Ching) Holttum",,1937,,"Gard. Bull. Straits Settlem. 9(2): 206 1937",,,,d5449056-8fcd-11eb-924d-9cd76263cbd0,,17403170-1,wfo-0001126611,4012324,,
b466daac-8fd1-11eb-924d-9cd76263cbd0,species,medogensis,Lomagramma,,"Ching & Y.X.Ling",,1984,,"Acta Phytotax. Sin. 22(5): 399–400, pl. 1, f. 3 1984",,,,,,17509260-1,wfo-0001232604,4012315,,
c1affe32-8fd1-11eb-924d-9cd76263cbd0,species,melanolepis,Lomagramma,,Alderw.,,1922,,"Bull. Jard. Bot. Buitenzorg, sér. 3, 5: 212 1922",,,,,,17339380-1,wfo-0001257302,4012311,,
c1ae4cd6-8fd1-11eb-924d-9cd76263cbd0,species,merrillii,Lomagramma,,Holttum,,1937,,"Gard. Bull. Straits Settlem. 9: 208 1937",,,,,,17403180-1,wfo-0001257290,4012302,,
c1ae66e4-8fd1-11eb-924d-9cd76263cbd0,species,novoguineensis,Lomagramma,,"(Brause) C.Chr.",,1934,,"Index Filic., Suppl. 3, 124 1934",,,,,,17339390-1,wfo-0001257291,4012294,,
c1aec508-8fd1-11eb-924d-9cd76263cbd0,species,pedicellata,Lomagramma,,Copel.,,1952,,"Philipp. J. Sci. 81: 23 1952",,,,,,17403190-1,wfo-0001257294,4012284,,
c1ae15d6-8fd1-11eb-924d-9cd76263cbd0,species,perakensis,Lomagramma,,Bedd.,,1892,,"Suppl. Ferns Brit. Ind. 107 1892",,,,,,17273890-1,wfo-0001257288,4012265,,
53f5a0a4-8fbd-11eb-924d-9cd76263cbd0,species,polyphylla,Lomagramma,,Brack.,,1854,,"U.S. Expl. Exped., Filic. 16: 83, t. 12, f. 3 1854",,,,,,17273900-1,wfo-0000147098,4012251,,
53ff3c2c-8fbd-11eb-924d-9cd76263cbd0,species,praestantissima,Lomagramma,,Griseb.,,1864,,"Fl. Brit. W.I. [Grisebach] 678 1864 [Oct 1864]",,,,,,17138090-1,wfo-0000147099,4012245,,
b0bfa654-8fd1-11eb-924d-9cd76263cbd0,species,pteroides,Lomagramma,,J.Sm.,,1841,,"J. Bot. (Hooker) 3: 402 1841",,,,,,17138100-1,wfo-0001225951,4012229,,
c1af5784-8fd1-11eb-924d-9cd76263cbd0,species,sinuata,Lomagramma,,C.Chr.,,1922,,"Svensk Bot. Tidskr. 16: 98 1922",,,,,,17339410-1,wfo-0001257299,4012223,,
d3ba9eec-8fcd-11eb-924d-9cd76263cbd0,species,sorbifolia,Lomagramma,,"(Willd.) Ching",,1933,,"Lingnan Sci. J. 12(4): 566 1933",,,,,,17339420-1,wfo-0001123234,4012207,,
540975ca-8fbd-11eb-924d-9cd76263cbd0,species,subcoriacea,Lomagramma,,Copel.,,1929,,"Philipp. J. Sci. 40: 308 1929",,,,,,17366780-1,wfo-0000147100,4012200,,
