id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e6097196-8fd1-11eb-924d-9cd76263cbd0,genus,Lomatia,,,R.Br.,0,1811,,"Trans. Linn. Soc. London 10: 199 (1810)",,Q55760724,,,,urn:lsid:ipni.org:names:331729-2,wfo-4000022126,3232530,17991," "
67e03b88-8fcc-11eb-924d-9cd76263cbd0,species,alnifolia,Lomatia,,"Poepp. ex Meisn.",0,1856,,"Prodr. 14: 450 (1856)",,,,,,urn:lsid:ipni.org:names:705149-1,wfo-0000443089,5636726,,
67e01df6-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Lomatia,,Schnizl.,0,1843,,"Iconogr. Fam. Regn. Veg. 2: t. 113, f. 57-61 (1843)",,,,,,urn:lsid:ipni.org:names:705150-1,wfo-0000443088,5636723,,
67dfffba-8fcc-11eb-924d-9cd76263cbd0,species,arborescens,Lomatia,,"L.R.Fraser & Vickery",0,1937,,"Proc. Linn. Soc. New South Wales 62: 286 (1937)",,,,,,urn:lsid:ipni.org:names:705151-1,wfo-0000443087,5636716,,
67dfe520-8fcc-11eb-924d-9cd76263cbd0,species,arguta,Lomatia,,Gand.,0,1919,,"Bull. Soc. Bot. France 66: 228 (1919)",,Q55757065,,,,urn:lsid:ipni.org:names:705152-1,wfo-0000443086,5636713,,
dbf28c8e-8fcb-11eb-924d-9cd76263cbd0,species,bidwillii,Lomatia,,R.Hogg,0,1860,,"Gard. Year Book 1860: 75 (1860)",,,,,,urn:lsid:ipni.org:names:993142-1,wfo-0000230552,5636709,,
cbf90e64-8fcd-11eb-924d-9cd76263cbd0,species,chilensis,Lomatia,,Gay,0,,,,,,,,,urn:lsid:ipni.org:names:143024-2,wfo-0001106486,5636704,,
67e072f6-8fcc-11eb-924d-9cd76263cbd0,species,cymosa,Lomatia,,"Sol. ex Seem.",0,1866,,"Fl. Vit. : 187 (1866)",,,,,,urn:lsid:ipni.org:names:705154-1,wfo-0000443091,5636702,,
67dd7e16-8fcc-11eb-924d-9cd76263cbd0,species,densa,Lomatia,,Gand.,0,1919,,"Bull. Soc. Bot. France 66: 228 (1919)",,Q55757065,,,,urn:lsid:ipni.org:names:705155-1,wfo-0000443065,5636697,,
67dcdd26-8fcc-11eb-924d-9cd76263cbd0,species,dentata,Lomatia,,R.Br.,0,1810,,"Trans. Linn. Soc. London 10: 201 (1810)",,Q55760724,,,,urn:lsid:ipni.org:names:705156-1,wfo-0000443061,7287184,,
67a5f504-1d4d-11ec-82c2-f14daa6f2d93,variety,acutifolia,Lomatia,dentata,Meisn.,,,,"Prodr. 14: 449 (1856)",,,,,,urn:lsid:ipni.org:names:143025-2,wfo-0001373114,,,
67a61db8-1d4d-11ec-82c2-f14daa6f2d93,variety,obtusifolia,Lomatia,dentata,Meisn.,,,,"Prodr. 14: 449 (1856)",,,,,,urn:lsid:ipni.org:names:143026-2,wfo-0001373115,,,
19d5fad0-8fcd-11eb-924d-9cd76263cbd0,species,elegantissima,Lomatia,,"Hend. ex R.Hogg",0,1860,,"Gard. Year Book 1: 75 (1860)",,,,,,urn:lsid:ipni.org:names:77105352-1,wfo-0000746718,5636686,,
67dcb72e-8fcc-11eb-924d-9cd76263cbd0,species,fallacina,Lomatia,,Gand.,0,1919,,"Bull. Soc. Bot. France 66: 228 (1919)",,Q55757065,,,,urn:lsid:ipni.org:names:705157-1,wfo-0000443060,5636680,,
cc391b1c-8fcd-11eb-924d-9cd76263cbd0,species,ferruginea,Lomatia,,R.Br.,0,,,"Trans. Linn. Soc. London 10: 200 (1810)",,,,,,urn:lsid:ipni.org:names:705158-1,wfo-0001107065,5636673,,
67dc8d4e-8fcc-11eb-924d-9cd76263cbd0,species,fraseri,Lomatia,,R.Br.,0,1830,,"Suppl. Prodr. Fl. Nov. Holl. : 34 (1830)",,,,,,urn:lsid:ipni.org:names:705159-1,wfo-0000443059,7287174,,
76eff8a2-1d4d-11ec-82c2-f14daa6f2d93,variety,fraseri,Lomatia,fraseri,R.Br.,,,,"Fragmenta Phytographiae Australiae 5  1865",,,,,,urn:lsid:ipni.org:names:126399-3,wfo-0001393068,,,
76f0207a-1d4d-11ec-82c2-f14daa6f2d93,variety,pinnatipartita,Lomatia,fraseri,F.Muell.,,,,"Fragmenta Phytographiae Australiae 5  1865",,,,,,urn:lsid:ipni.org:names:126415-3,wfo-0001393069,,,
76f0992e-1d4d-11ec-82c2-f14daa6f2d93,variety,velutina,Lomatia,fraseri,F.Muell.,,,,"Fragmenta Phytographiae Australiae 5  1865",,,,,,urn:lsid:ipni.org:names:126449-3,wfo-0001393072,,,
67dc30c4-8fcc-11eb-924d-9cd76263cbd0,species,fraxinifolia,Lomatia,,"F.Muell. ex Benth.",0,1870,,"Fl. Austral. 5: 536 (1870)",,,,,,urn:lsid:ipni.org:names:705160-1,wfo-0000443058,5636656,,
67dc09fa-8fcc-11eb-924d-9cd76263cbd0,species,hirsuta,Lomatia,,"(Lam.) Diels",0,1937,,"Publ. Field Mus. Nat. Hist., Bot. Ser. 13(2): 369. 1937 ; et in Biblioth. Bot. xxix. Heft 116, 82 (1937)",,,,,,urn:lsid:ipni.org:names:705161-1,wfo-0000443057,7287163,,
8f23a84c-8fcc-11eb-924d-9cd76263cbd0,subspecies,obliqua,Lomatia,hirsuta,"(Ruiz & Pav.) R.T.Penn.",0,2007,,"Fl. Neotrop. Monogr. 100: 26 (2007)",,Q100889025,,,,urn:lsid:ipni.org:names:77094217-1,wfo-0000509757,5636645,,
67dbecae-8fcc-11eb-924d-9cd76263cbd0,species,ilicifolia,Lomatia,,R.Br.,0,1810,,"Trans. Linn. Soc. London 10: 200 (1810)",,Q55760724,,,,urn:lsid:ipni.org:names:705162-1,wfo-0000443056,7287147,,
76f0e62c-1d4d-11ec-82c2-f14daa6f2d93,variety,axillaris,Lomatia,ilicifolia,R.Br.,,,,"Prodromus Florae Novae Hollandiae - Suppl. 1 1830",,,,,,urn:lsid:ipni.org:names:126589-3,wfo-0001393074,,,
76f1527e-1d4d-11ec-82c2-f14daa6f2d93,variety,glabrata,Lomatia,ilicifolia,R.Br.,,,,"Prodromus Florae Novae Hollandiae - Suppl. 1 1830",,,,,,urn:lsid:ipni.org:names:126640-3,wfo-0001393076,,,
76f1ba5c-1d4d-11ec-82c2-f14daa6f2d93,variety,hyposericea,Lomatia,ilicifolia,F.Muell.,,,,"Fragmenta Phytographiae Australiae 5  1865",,,,,,urn:lsid:ipni.org:names:126683-3,wfo-0001393079,,,
76f1e9e6-1d4d-11ec-82c2-f14daa6f2d93,variety,ilicifolia,Lomatia,ilicifolia,R.Br.,,,,"Prodromus Florae Novae Hollandiae - Suppl. 1 1830",,,,,,urn:lsid:ipni.org:names:126711-3,wfo-0001393080,,,
76f24274-1d4d-11ec-82c2-f14daa6f2d93,variety,integrifolia,Lomatia,ilicifolia,F.Muell.,,,,"Fragmenta Phytographiae Australiae 5  1865",,,,,,urn:lsid:ipni.org:names:126738-3,wfo-0001393082,,,
76f29738-1d4d-11ec-82c2-f14daa6f2d93,variety,ovata,Lomatia,ilicifolia,R.Br.,,,,"Prodromus Florae Novae Hollandiae - Suppl. 1 1830",,,,,,urn:lsid:ipni.org:names:126789-3,wfo-0001393084,,,
76f30f42-1d4d-11ec-82c2-f14daa6f2d93,variety,pinnatifida,Lomatia,ilicifolia,Hook.,,,,"Curtis's Botanical Magazine 69  1842",,,,,,urn:lsid:ipni.org:names:126842-3,wfo-0001393087,,,
76f35eb6-1d4d-11ec-82c2-f14daa6f2d93,variety,pinnatisecta,Lomatia,ilicifolia,F.Muell.,,,,"Fragmenta Phytographiae Australiae 5  1865",,,,,,urn:lsid:ipni.org:names:126900-3,wfo-0001393090,,,
67db3af2-8fcc-11eb-924d-9cd76263cbd0,species,longifolia,Lomatia,,R.Br.,0,1810,,"Trans. Linn. Soc. London 10: 200 (1810)",,Q55760724,,,,urn:lsid:ipni.org:names:705163-1,wfo-0000443050,7287138,,
