id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9f62f0b4-1d4d-11ec-82c2-f14daa6f2d93,genus,Lophoptilon,,,Gagnep.,,1920,,"Notul. Syst. (Paris) 4: 15, in obs., sine descr. (1920)",,,Q6045778,,,urn:lsid:ipni.org:names:9872-1,wfo-4000046773,,,
57692354-8fcd-11eb-924d-9cd76263cbd0,species,caespitosum,Lophopyrum,,"(K.Koch) Á.Löve",0,1984,,"Feddes Repert. 95: 489 (1984)",,,Q5643138,46ae69ac-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:914162-1,wfo-0000878599,4128990,,
57693ec0-8fcd-11eb-924d-9cd76263cbd0,species,corsicum,Lophopyrum,,"(Hack.) Á.Löve",0,1984,,"Feddes Repert. 95: 489 (1984)",,,Q5643138,46ae8392-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:914163-1,wfo-0000878600,4128984,,
5769591e-8fcd-11eb-924d-9cd76263cbd0,species,curvifolium,Lophopyrum,,"(Lange) Á.Löve",0,1984,,"Feddes Repert. 95: 488 (1984)",,,Q5643138,46bdc866-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:914164-1,wfo-0000878601,4128976,,
576975ac-8fcd-11eb-924d-9cd76263cbd0,species,elongatum,Lophopyrum,,"(Host) Á.Löve",0,1980,,"Taxon 29: 351 (1980)",,,,6a1d0e8e-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:407570-1,wfo-0000878602,7432974,,
576991a4-8fcd-11eb-924d-9cd76263cbd0,species,flaccidifolium,Lophopyrum,,"(Boiss. & Heldr.) Á.Löve",0,1984,,"Feddes Repert. 95: 489 (1984)",,,Q5643138,,,urn:lsid:ipni.org:names:914165-1,wfo-0000878603,4128963,,
5769ab6c-8fcd-11eb-924d-9cd76263cbd0,species,haifense,Lophopyrum,,"(Melderis) Á.Löve",0,1984,,"Feddes Repert. 95: 468 (1984)",,,Q5643138,,,urn:lsid:ipni.org:names:914166-1,wfo-0000878604,4128957,,
5769e1c2-8fcd-11eb-924d-9cd76263cbd0,species,nodosum,Lophopyrum,,"(Nevski) Á.Löve",0,1984,,"Feddes Repert. 95: 490 (1984)",,,Q5643138,46df41f8-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:914167-1,wfo-0000878606,4128952,,
576a0102-8fcd-11eb-924d-9cd76263cbd0,species,ponticum,Lophopyrum,,"(Podp.) Á.Löve",0,1984,,"Feddes Repert. 95: 489 (1984)",,,Q5643138,6a50325a-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:914168-1,wfo-0000878607,4128945,,
576a1af2-8fcd-11eb-924d-9cd76263cbd0,species,scirpeum,Lophopyrum,,"(C.Presl) Á.Löve",0,1984,,"Feddes Repert. 95: 489 (1984)",,,Q5643138,46f6fe56-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:914169-1,wfo-0000878608,4128940,,
576a35b4-8fcd-11eb-924d-9cd76263cbd0,species,sinuatum,Lophopyrum,,"(Nevski) Á.Löve",0,1984,,"Feddes Repert. 95: 490 (1984)",,,Q5643138,46f95afc-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:914170-1,wfo-0000878609,4128935,,
576a531e-8fcd-11eb-924d-9cd76263cbd0,species,turcicum,Lophopyrum,,"(P.E.McGuire) P.E.McGuire ex Á.Löve",0,1984,,"Feddes Repert. 95: 489 (1984)",,,Q5643138,,,urn:lsid:ipni.org:names:914171-1,wfo-0000878610,4128928,,
