id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e616272e-8fd1-11eb-924d-9cd76263cbd0,genus,Lotononis,,,"(DC.) Eckl. & Zeyh.",,,,,,,,,,1196773-2,wfo-4000022299,2945212,,
33d3dd3e-8fc9-11eb-924d-9cd76263cbd0,species,abyssinica,Lotononis,,Kotschy,,,,,,,,,,,wfo-0000211815,2945359,,
8db883be-8fc3-11eb-924d-9cd76263cbd0,species,acocksii,Lotononis,,"B.-E.van Wyk",,,,,,,,,,,wfo-0000183457,2945371,,
2d538194-8fc9-11eb-924d-9cd76263cbd0,species,acuminata,Lotononis,,"Eckl. & Zeyh.",,,,,,,,,,,wfo-0000211682,2945263,,
b7e63280-8fcd-11eb-924d-9cd76263cbd0,species,acuticarpa,Lotononis,,"B.-E.van Wyk",,1990,,"Bothalia 20: 21 1990",,Q55792422,,,,939853-1,wfo-0001061631,3966200,,
b47c0ebc-8fcd-11eb-924d-9cd76263cbd0,species,acutiflora,Lotononis,,Benth.,,1843,,"London J. Bot. 2: 604 1843",,,,,,503250-1,wfo-0001053786,3966197,,
2d63ee94-8fc9-11eb-924d-9cd76263cbd0,species,adpressa,Lotononis,,N.E.Br.,,,,,,,,,,,wfo-0000211683,2945224,,
2d71b5a6-8fc9-11eb-924d-9cd76263cbd0,species,affinis,Lotononis,,"Burtt Davy",,,,,,,,,,,wfo-0000211684,2945426,,
c3a9a576-8fd1-11eb-924d-9cd76263cbd0,species,alpina,Lotononis,,"(Eckl. & Zeyh.) B.-E.van Wyk",,1991,,"Contr. Bolus Herb. 14: 277 1991",,,,,,962774-1,wfo-0001260874,2945299,,
c92cd8d0-8fc5-11eb-924d-9cd76263cbd0,subspecies,multiflora,Lotononis,alpina,"(Eckl. & Zeyh.) B.-E.van Wyk",,,,,,,,,,,wfo-0000194851,2945300,,
c3a9ce34-8fd1-11eb-924d-9cd76263cbd0,species,amajubica,Lotononis,,"(Burtt Davy) B.-E.van Wyk",,1991,,"Contr. Bolus Herb. 14: 271 1991",,,,1a6be234-8fc8-11eb-924d-9cd76263cbd0,,962769-1,wfo-0001260875,3966166,,
b592e8a2-8fcd-11eb-924d-9cd76263cbd0,species,ambigua,Lotononis,,Dümmer,,1913,,"Trans. Roy. Soc. South Africa 3: 327 1913",,Q55756415,,,,503254-1,wfo-0001056282,2945389,,
2d94c488-8fc9-11eb-924d-9cd76263cbd0,species,angolensis,Lotononis,,Baker,,,,,,,,,,,wfo-0000211687,2945344,,
2da347c4-8fc9-11eb-924d-9cd76263cbd0,species,angustifolia,Lotononis,,"(E.Mey.) Steud.",,,,,,,,,,,wfo-0000211688,2945279,,
c63715a8-8fd1-11eb-924d-9cd76263cbd0,species,anthylloides,Lotononis,,"(DC.) D.Dietr.",,1847,,"Syn. Pl. 4: 961 1847",,,,b4e93960-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001265470,7568706,,
2db180a0-8fc9-11eb-924d-9cd76263cbd0,species,anthylloides,Lotononis,,Harv.,,,,,,,,,,,wfo-0000211689,2945220,,
c3aa2866-8fd1-11eb-924d-9cd76263cbd0,species,anthyllopsis,Lotononis,,"B.-E.van Wyk",,1991,,"Contr. Bolus Herb. 14: 164 1991",,,,,,961669-1,wfo-0001260876,3976593,,
2dbf338a-8fc9-11eb-924d-9cd76263cbd0,species,arenicola,Lotononis,,"De Wild.",,,,,,,,,,,wfo-0000211690,2945407,,
2e038274-8fc9-11eb-924d-9cd76263cbd0,species,argentae,Lotononis,,"Eckl. & Zeyh.",,,,,,,,,,,wfo-0000211693,2945370,,
b47c2866-8fcd-11eb-924d-9cd76263cbd0,species,argentea,Lotononis,,"Benth. ex Walp.",,1846,,"Repert. Bot. Syst. 5(3): 459 1846",,,,,,503260-1,wfo-0001053787,8303840,,
2ded305a-8fc9-11eb-924d-9cd76263cbd0,species,argentea,Lotononis,,"Eckl. & Zeyh.",,,,,,,,,,,wfo-0000211692,2945369,,
2e13d57a-8fc9-11eb-924d-9cd76263cbd0,species,argyrella,Lotononis,,MacOwan,,,,,,,,,,,wfo-0000211694,2945276,,
b59302e2-8fcd-11eb-924d-9cd76263cbd0,species,arida,Lotononis,,Dümmer,,1913,,"Trans. Roy. Soc. South Africa 3: 324 1913",,Q55756415,,,,503261-1,wfo-0001056283,2945237,,
2e22ccb0-8fc9-11eb-924d-9cd76263cbd0,species,arida,Lotononis,,Dummer,,,,,,,,,,,wfo-0000211695,2945237,,
b591d2e6-8fcd-11eb-924d-9cd76263cbd0,species,aristata,Lotononis,,Schinz,,,,"Bull. Herb. Boissier 7: 32",,,,,,503262-1,wfo-0001056272,3976577,,
b7a98fa6-8fcd-11eb-924d-9cd76263cbd0,variety,gazensis,Lotononis,aristata,"Baker f.",,1911,,"J. Linn. Soc., Bot. 40: 51 1911",,,,,,,wfo-0001061095,,,
29342cb2-8fc4-11eb-924d-9cd76263cbd0,species,azurea,Lotononis,,"(Eckl. & Zeyh.) Benth.",,,,,,,,b4d46210-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000186699,2945438,,
c64e9c78-8fd1-11eb-924d-9cd76263cbd0,variety,lanceolata,Lotononis,azurea,Harv.,,1862,,"Fl. Cap. 2: 53 1862",,,,,,,wfo-0001265628,7407934,,
8fd9f54c-8fc3-11eb-924d-9cd76263cbd0,species,azureoides,Lotononis,,"B.-E.van Wyk",,,,,,,,,,,wfo-0000183483,2945260,,
2e3edc98-8fc9-11eb-924d-9cd76263cbd0,species,bachmanniana,Lotononis,,Dummer,,,,,,,,,,,wfo-0000211697,2945396,,
b5931e30-8fcd-11eb-924d-9cd76263cbd0,species,bachmanniana,Lotononis,,Dümmer,,1913,,"Trans. Roy. Soc. South Africa 3: 300 1913",,Q55756415,,,,503264-1,wfo-0001056284,2945396,,
2e516b42-8fc9-11eb-924d-9cd76263cbd0,species,bainesii,Lotononis,,Baker,,,,,,,,,,,wfo-0000211698,2945339,,
c63211fc-8fd1-11eb-924d-9cd76263cbd0,variety,pottiae,Lotononis,bainesii,"Burtt Davy",,1932,,"Man. Pl. Transvaal 387 1932",,,,,,,wfo-0001265438,7788158,,
b59338a2-8fcd-11eb-924d-9cd76263cbd0,species,barberae,Lotononis,,Dümmer,,1913,,"Trans. Roy. Soc. South Africa 3: 298 1913",,Q55756415,,,,503266-1,wfo-0001056285,2945400,,
b5965cf8-8fcd-11eb-924d-9cd76263cbd0,species,basutica,Lotononis,,Phillips,,1917,,"Ann. S. African Mus. 16: 71 1917",,,,,,503267-1,wfo-0001056314,2945270,,
2e83274a-8fc9-11eb-924d-9cd76263cbd0,species,benthamiana,Lotononis,,Dummer,,,,,,,,,,,wfo-0000211702,2945235,,
b5935634-8fcd-11eb-924d-9cd76263cbd0,species,benthamiana,Lotononis,,Dümmer,,1913,,"Trans. Roy. Soc. South Africa 3: 294 1913",,Q55756415,,,,503268-1,wfo-0001056286,2945235,,
b59371b4-8fcd-11eb-924d-9cd76263cbd0,species,biflora,Lotononis,,"(Bolus) Dümmer",,1913,,"Trans. Roy. Soc. South Africa 3: 289 1913",,Q55756415,,b6c3cfde-8fcd-11eb-924d-9cd76263cbd0,,503269-1,wfo-0001056287,2945434,,
2e945740-8fc9-11eb-924d-9cd76263cbd0,species,bolusii,Lotononis,,Dummer,,,,,,,,,,,wfo-0000211704,2945335,,
b5938db6-8fcd-11eb-924d-9cd76263cbd0,species,bolusii,Lotononis,,Dümmer,,1913,,"Trans. Roy. Soc. South Africa 3: 306 1913",,Q55756415,,,,503270-1,wfo-0001056288,2945335,,
c636db7e-8fd1-11eb-924d-9cd76263cbd0,variety,minor,Lotononis,bolusii,Dümmer,,1913,,"Trans. Roy. Soc. South Africa 3(2): 306 1913",,,,,,,wfo-0001265468,8103173,,
c636f7a8-8fd1-11eb-924d-9cd76263cbd0,variety,sessilis,Lotononis,bolusii,Dümmer,,1913,,"Trans. Roy. Soc. South Africa 3(2): 306 1913",,,,,,,wfo-0001265469,7406161,,
2ea213a8-8fc9-11eb-924d-9cd76263cbd0,species,brachyantha,Lotononis,,Harms,,,,,,,,,,,wfo-0000211705,2945267,,
2ecc4f06-8fc9-11eb-924d-9cd76263cbd0,species,brachyloba,Lotononis,,Benth.,,,,,,,,,,,wfo-0000211708,2945232,,
0b4c9432-8fc9-11eb-924d-9cd76263cbd0,species,bracteata,Lotononis,,Benth.,,,,,,,,,,,wfo-0000211050,2954767,,
c63658ac-8fd1-11eb-924d-9cd76263cbd0,species,bracteosa,Lotononis,,"B.-E.van Wyk",,1990,,"Bothalia 20: 73 1990",,,,,,939858-1,wfo-0001265466,3976543,,
8d4b6162-8fc3-11eb-924d-9cd76263cbd0,species,brevicaulis,Lotononis,,"B.-E.van Wyk",,,,,,,,,,,wfo-0000183451,2945225,,
2eda1bf4-8fc9-11eb-924d-9cd76263cbd0,species,brierleyae,Lotononis,,"Baker f.",,,,,,,,,,,wfo-0000211709,2945430,,
b59226e2-8fcd-11eb-924d-9cd76263cbd0,species,buchenroederoides,Lotononis,,Schltr.,,1897,,"J. Bot. 35: 279 1897",,,,,,503275-1,wfo-0001056275,3976537,,
2ee76232-8fc9-11eb-924d-9cd76263cbd0,species,bullonii,Lotononis,,"Emb. & Maire",,,,,,,,,,,wfo-0000211710,2945378,,
2ef46e28-8fc9-11eb-924d-9cd76263cbd0,species,burchellii,Lotononis,,Benth.,,,,,,,,,,,wfo-0000211712,2945334,,
b1f1392e-8fc3-11eb-924d-9cd76263cbd0,species,caerulescens,Lotononis,,"(E.Mey.) B.-E.van Wyk",,,,,,,,08134e3c-8fc9-11eb-924d-9cd76263cbd0,,,wfo-0000184174,2945227,,
2f01e3e6-8fc9-11eb-924d-9cd76263cbd0,species,calycina,Lotononis,,"(E.Mey.) Benth.",,,,,,,,,,,wfo-0000211713,2945281,,
c63491de-8fd1-11eb-924d-9cd76263cbd0,variety,acuta,Lotononis,calycina,Dümmer,,1913,,"Trans. Roy. Soc. South Africa 3(2): 328 1913",,,,,,,wfo-0001265456,7538613,,
c6344f6c-8fd1-11eb-924d-9cd76263cbd0,variety,hirsutissima,Lotononis,calycina,"(Harv.) Dümmer",,1913,,"Trans. Roy. Soc. South Africa 3(2): 328 1913",,,,,,,wfo-0001265454,6710078,,
2d00aed0-8fcc-11eb-924d-9cd76263cbd0,species,capnitis,Lotononis,,"Benth. ex Walp.",,1846,,"Repert. Bot. Syst. 5: 459 1846",,,,,,503280-1,wfo-0000362553,3976522,,
2f0f292a-8fc9-11eb-924d-9cd76263cbd0,species,carinalis,Lotononis,,Harv.,,,,,,,,,,,wfo-0000211714,2945244,,
2f1c998e-8fc9-11eb-924d-9cd76263cbd0,species,carinata,Lotononis,,Benth.,,,,,,,,,,,wfo-0000211715,2945402,,
c6444fde-8fd1-11eb-924d-9cd76263cbd0,species,carnea,Lotononis,,"B.-E.van Wyk",,1989,,"S. African J. Bot. 55(6): 653 1989",,,,,,1000961-1,wfo-0001265559,3976517,,
2f2aa894-8fc9-11eb-924d-9cd76263cbd0,species,carnosa,Lotononis,,Benth.,,,,,,,,,,,wfo-0000211716,2945414,,
c3aa756e-8fd1-11eb-924d-9cd76263cbd0,subspecies,condensata,Lotononis,carnosa,"(Harv.) B.-E.van Wyk",,1991,,"Contr. Bolus Herb. 14: 266 1991",,,,c3aa54f8-8fd1-11eb-924d-9cd76263cbd0,,966854-1,wfo-0001260878,8244871,,
c3aa54f8-8fd1-11eb-924d-9cd76263cbd0,variety,condensata,Lotononis,carnosa,Harv.,,1862,,"Fl. Cap. 2: 594 1862",,,,,,,wfo-0001260877,8244871,,
2f456eea-8fc9-11eb-924d-9cd76263cbd0,species,clandestina,Lotononis,,"(E.Mey.) Benth.",,,,,,,,b6039d2c-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000211718,2945256,,
35bbd8d6-8fc9-11eb-924d-9cd76263cbd0,variety,steingroeveriana,Lotononis,clandestina,Schinz,,,,,,,,,,,wfo-0000211854,2945338,,
c64bc50c-8fd1-11eb-924d-9cd76263cbd0,species,complanata,Lotononis,,"B.-E.van Wyk",,1990,,"Bothalia 20: 77 1990",,Q55792434,,,,939860-1,wfo-0001265607,3976508,,
8d5df0de-8fc3-11eb-924d-9cd76263cbd0,species,comptonii,Lotononis,,"B.-E.van Wyk",,,,,,,,,,,wfo-0000183452,2945427,,
2f52a722-8fc9-11eb-924d-9cd76263cbd0,species,corymbosa,Lotononis,,Benth.,,,,,,,,,,,wfo-0000211719,2945404,,
2f5fc4b6-8fc9-11eb-924d-9cd76263cbd0,species,crumanina,Lotononis,,Benth.,,,,,,,,,,,wfo-0000211720,2945259,,
2f6d2796-8fc9-11eb-924d-9cd76263cbd0,species,curtii,Lotononis,,Harms,,,,,,,,,,,wfo-0000211721,2945441,,
2052a22c-8fc4-11eb-924d-9cd76263cbd0,species,curvicarpa,Lotononis,,"B.-E.van Wyk",,,,,,,,,,,wfo-0000186502,2945255,,
2f87a4cc-8fc9-11eb-924d-9cd76263cbd0,species,cytisoides,Lotononis,,Benth.,,,,,,,,,,,wfo-0000211723,2945409,,
c64cde1a-8fd1-11eb-924d-9cd76263cbd0,variety,brevifolia,Lotononis,cytisoides,"(Eckl. & Zeyh. ex Drège) Dümmer",,1913,,"Trans. Roy. Soc. South Africa 3(2): 289 1913",,,,b63bf0d2-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001265613,7592160,,
c64c9f54-8fd1-11eb-924d-9cd76263cbd0,variety,sericea,Lotononis,cytisoides,Dümmer,,1913,,"Trans. Roy. Soc. South Africa 3(2): 289 1913",,,,,,,wfo-0001265612,8315991,,
8d6fe50a-8fc3-11eb-924d-9cd76263cbd0,species,dahlgrenii,Lotononis,,"B.-E.van Wyk",,,,,,,,,,,wfo-0000183453,2945390,,
2f950bbc-8fc9-11eb-924d-9cd76263cbd0,species,debilis,Lotononis,,Benth.,,,,,,,,,,,wfo-0000211724,2945342,,
b47c42ba-8fcd-11eb-924d-9cd76263cbd0,species,decidua,Lotononis,,"Eckl. & Zeyh.",,1836,,"Enum. Pl. Afr. Austral. 178 1836",,,,,,503290-1,wfo-0001053788,3976492,,
3085860a-8fc9-11eb-924d-9cd76263cbd0,species,decipiens,Lotononis,,"De Wild.",,,,,,,,,,,wfo-0000211743,2945247,,
c3b117b6-8fd1-11eb-924d-9cd76263cbd0,species,decumbens,Lotononis,,"(Thunb.) B.-E.van Wyk",,1991,,"Contr. Bolus Herb. 14: 138 1991",,,,,,962763-1,wfo-0001260931,7302560,,
c3b13304-8fd1-11eb-924d-9cd76263cbd0,subspecies,rehmannii,Lotononis,decumbens,"(Dümmer) B.-E.van Wyk",,1991,,"Contr. Bolus Herb. 14: 139 1991",,,,b5955df8-8fcd-11eb-924d-9cd76263cbd0,,966850-1,wfo-0001260932,3976487,,
2fa26596-8fc9-11eb-924d-9cd76263cbd0,species,delicata,Lotononis,,"(Baker f.) Polhill",,,,,,,,,,,wfo-0000211725,2945306,,
2fbcdbb0-8fc9-11eb-924d-9cd76263cbd0,species,delicatula,Lotononis,,"De Wild.",,,,,,,,,,,wfo-0000211727,2945257,,
b47c5c8c-8fcd-11eb-924d-9cd76263cbd0,species,densa,Lotononis,,"(Thunb.) Harv.",,1862,,"Fl. Cap. 2: 52 1862",,,,06bf6d86-8fc9-11eb-924d-9cd76263cbd0,,503293-1,wfo-0001053789,2945249,,
c3b15064-8fd1-11eb-924d-9cd76263cbd0,subspecies,gracilis,Lotononis,densa,"(E.Mey.) B.-E.van Wyk",,1991,,"Contr. Bolus Herb. 14: 245 1991",,,,,,966853-1,wfo-0001260933,3976476,,
294c277c-8fc4-11eb-924d-9cd76263cbd0,subspecies,leucoclada,Lotononis,densa,"(Schltr.) B.-E.van Wyk",,,,,,,,0760569c-8fc9-11eb-924d-9cd76263cbd0,,,wfo-0000186701,2945250,,
2fd7899c-8fc9-11eb-924d-9cd76263cbd0,species,depressa,Lotononis,,"Eckl. & Zeyh.",,,,,,,,,,,wfo-0000211729,2945217,,
105aeb2c-8fc9-11eb-924d-9cd76263cbd0,species,desertorum,Lotononis,,Dummer,,,,,,,,,,,wfo-0000211137,2956046,,
2fe4b70c-8fc9-11eb-924d-9cd76263cbd0,species,dichiloides,Lotononis,,Sond.,,,,,,,,,,,wfo-0000211730,2945418,,
c62bc2ac-8fc7-11eb-924d-9cd76263cbd0,species,dichotoma,Lotononis,,Boiss.,,,,,,,,,,,wfo-0000204424,2945357,,
c635f934-8fd1-11eb-924d-9cd76263cbd0,variety,persica,Lotononis,dichotoma,"(Jaub. & Spach) Post",,1896,,"Fl. Syria 211 1896",,,,,,,wfo-0001265464,8105790,,
2ff20614-8fc9-11eb-924d-9cd76263cbd0,species,dieterlenii,Lotononis,,E.Phillips,,,,,,,,,,,wfo-0000211731,2945382,,
c632a4aa-8fd1-11eb-924d-9cd76263cbd0,species,difformis,Lotononis,,"B.-E.van Wyk",,1989,,"S. African J. Bot. 55(5): 529 1989",,,,,,937997-1,wfo-0001265443,3976457,,
b47c7866-8fcd-11eb-924d-9cd76263cbd0,species,diffusa,Lotononis,,"Eckl. & Zeyh.",,1836,,"Enum. Pl. Afr. Austral. 177 1836",,,,,,503299-1,wfo-0001053790,3976454,,
2fffa422-8fc9-11eb-924d-9cd76263cbd0,species,digitata,Lotononis,,Harv.,,,,,,,,,,,wfo-0000211732,2945286,,
33e18420-8fc9-11eb-924d-9cd76263cbd0,species,dinteri,Lotononis,,Schinz,,,,,,,,,,,wfo-0000211816,2945363,,
b7fcd422-8fcd-11eb-924d-9cd76263cbd0,variety,amboensus,Lotononis,dinteri,Schinz,,1907,,"Vierteljahrsschr. Naturf. Ges. Zürich 52: 423 1907",,,,,,,wfo-0001061836,7641326,,
8d81fbc8-8fc3-11eb-924d-9cd76263cbd0,species,dissitinodis,Lotononis,,"B.-E.van Wyk",,,,,,,,,,,wfo-0000183454,2945374,,
300d1972-8fc9-11eb-924d-9cd76263cbd0,species,divaricata,Lotononis,,"(Eckl. & Zeyh.) Benth.",,,,,,,,,,,wfo-0000211733,2945252,,
b47c91fc-8fcd-11eb-924d-9cd76263cbd0,species,diversifolia,Lotononis,,"(E.Mey.) Benth.",,1843,,"London J. Bot. 2: 611 1843",,,,,,503304-1,wfo-0001053791,3976440,,
b593ab98-8fcd-11eb-924d-9cd76263cbd0,species,dregeana,Lotononis,,Dümmer,,1913,,"Trans. Roy. Soc. South Africa 3: 329 1913",,Q55756415,,,,503305-1,wfo-0001056289,2945236,,
9023e9fe-8fc3-11eb-924d-9cd76263cbd0,species,elongata,Lotononis,,"(Thunb.) D.Dietr.",,,,,,,,,,,wfo-0000183487,2945439,,
3027b70a-8fc9-11eb-924d-9cd76263cbd0,species,eriantha,Lotononis,,Benth.,,,,,,,,,,,wfo-0000211736,2945435,,
c632ca2a-8fd1-11eb-924d-9cd76263cbd0,variety,obovata,Lotononis,eriantha,Scott-Elliot,,1891,,"J. Bot. 1891: 69 1891",,,,,,,wfo-0001265444,7777304,,
c3b177d8-8fd1-11eb-924d-9cd76263cbd0,species,eriocarpa,Lotononis,,"(E.Mey.) B.-E.van Wyk",,1991,,"Contr. Bolus Herb. 14: 258 1991",,,,,,962765-1,wfo-0001260934,3976433,,
30351abc-8fc9-11eb-924d-9cd76263cbd0,species,erisemoides,Lotononis,,"(Ficalho & Hiern) Torre",,,,,,,,304f671e-8fc9-11eb-924d-9cd76263cbd0,,,wfo-0000211737,2945397,,
b59694ac-8fcd-11eb-924d-9cd76263cbd0,species,erubescens,Lotononis,,"(E.Mey.) Druce",,1916,,"Rep. Bot. Soc. Exch. Club Brit. Isles 1916: 633 1917",,,,,,503308-1,wfo-0001056316,3976430,,
b841f2b4-8fcd-11eb-924d-9cd76263cbd0,species,esterhuyseana,Lotononis,,"B.-E.van Wyk",,1990,,"Bothalia 20(1): 70 1990",,,,,,,wfo-0001062438,7441634,,
2d022c10-8fcc-11eb-924d-9cd76263cbd0,species,esterhuyseniana,Lotononis,,"B.-E.van Wyk",,1990,,"Bothalia 20: 70 1990",,,,,,939857-1,wfo-0000362559,3976428,,
305cd69c-8fc9-11eb-924d-9cd76263cbd0,species,evansiana,Lotononis,,"Burtt Davy",,,,,,,,,,,wfo-0000211740,2945351,,
b47cabd8-8fcd-11eb-924d-9cd76263cbd0,species,excisa,Lotononis,,Steud.,,1841,,"Nomencl. Bot. (ed. 2) 2(9): 73 1841",,,,,,503310-1,wfo-0001053792,3976422,,
306a7770-8fc9-11eb-924d-9cd76263cbd0,species,exstipulata,Lotononis,,L.Bolus,,,,,,,,,,,wfo-0000211741,2945298,,
