id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e6164768-8fd1-11eb-924d-9cd76263cbd0,genus,Lotoxalis,,,Small,,"Fl. S.E. U.S. 666, 1332. 1903. (22 Jul 1903)",,,,,,wfo-4000022301,7318091,
68161762-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Lotoxalis,,"(Kunth) Rose",,"Contr. U. S. Natl. Herb. 10: 115 1906",,,,,143880-2,wfo-0000443451,3626869,
c43b1514-8fcd-11eb-924d-9cd76263cbd0,species,barrelieri,Lotoxalis,,"(L.) Small",,"N. Amer. Fl. 25(1): 49 1907",,,,,143881-2,wfo-0001089490,3626856,
be3b9ea0-8fd1-11eb-924d-9cd76263cbd0,species,berlandieri,Lotoxalis,,"(Torr.) Small",,"Fl. S.E. U.S. 666 1903",,,,,143882-2,wfo-0001250761,3626844,
67e297d4-8fcc-11eb-924d-9cd76263cbd0,species,dichotoma,Lotoxalis,,Rose,,"Contr. U. S. Natl. Herb. 10: 115 1906",,,,,143883-2,wfo-0000443107,3626836,
67e65144-8fcc-11eb-924d-9cd76263cbd0,species,fasciculata,Lotoxalis,,Rose,,"Contr. U. S. Natl. Herb. 10: 115 1906",,,,,143884-2,wfo-0000443133,3626826,
67e39cba-8fcc-11eb-924d-9cd76263cbd0,species,frutescens,Lotoxalis,,"(L.) Small",,"N. Amer. Fl. 25: 47 1907",,,,,143885-2,wfo-0000443113,3626815,
c495b096-8fcd-11eb-924d-9cd76263cbd0,species,glabrata,Lotoxalis,,"(Baker) Rose",,"Contr. U.S. Natl. Herb. 10(3): 115 1906",,,,,143886-2,wfo-0001090239,3626798,
c4833a7e-8fcd-11eb-924d-9cd76263cbd0,species,manihotoides,Lotoxalis,,Rusby,,"Descr. S. Amer. Pl. 30 1920",,,,,143887-2,wfo-0001090065,3626784,
67e381e4-8fcc-11eb-924d-9cd76263cbd0,species,neaei,Lotoxalis,,"(DC.) Rose",,"Contr. U. S. Natl. Herb. 10: 115 1906",,,,,143888-2,wfo-0000443112,3626772,
67e34616-8fcc-11eb-924d-9cd76263cbd0,species,occidentalis,Lotoxalis,,Rose,,"Contr. U. S. Natl. Herb. 10: 115 1906",,,,,143889-2,wfo-0000443110,3626760,
67e32816-8fcc-11eb-924d-9cd76263cbd0,species,pentantha,Lotoxalis,,"(Jacq.) Rose",,"Contr. U. S. Natl. Herb. 10: 116 1906",,,,,143890-2,wfo-0000443109,3626745,
67e124b2-8fcc-11eb-924d-9cd76263cbd0,species,peruviana,Lotoxalis,,"Standl. ex R.Knuth",,"Pflanzenr. IV, 130: 67 1930",,,,,143891-2,wfo-0000443101,8674426,
c4831ddc-8fcd-11eb-924d-9cd76263cbd0,species,phaseolifolia,Lotoxalis,,Rusby,,"Descr. S. Amer. Pl. 29 1920",,,,,143892-2,wfo-0001090064,3626725,
ae50629a-8fcd-11eb-924d-9cd76263cbd0,species,pinetorum,Lotoxalis,,Small,,"N. Amer. Fl. 25: 49 1907",,,,,143893-2,wfo-0001039874,3626710,
bc54ddf4-8fd1-11eb-924d-9cd76263cbd0,species,pseudosepium,Lotoxalis,,Rusby,,"Mem. New York Bot. Gard. 7: 269 1927",,,,,143894-2,wfo-0001247251,3626700,
67e27394-8fcc-11eb-924d-9cd76263cbd0,species,psilotricha,Lotoxalis,,Rose,,"Contr. U. S. Natl. Herb. 10: 116 1906",,,,,143895-2,wfo-0000443106,3626697,
67e25210-8fcc-11eb-924d-9cd76263cbd0,species,sepium,Lotoxalis,,Small,,"N. Amer. Fl. 25: 48 1907",,,,,143896-2,wfo-0000443105,3627172,
6817b77a-8fcc-11eb-924d-9cd76263cbd0,species,tephrodes,Lotoxalis,,Rose,,"Contr. U. S. Natl. Herb. 10: 116 1906",,,,,143897-2,wfo-0000443461,3627217,
68179a4c-8fcc-11eb-924d-9cd76263cbd0,species,yucatanensis,Lotoxalis,,Rose,,"Contr. U. S. Natl. Herb. 10: 116 1906",,,,,143898-2,wfo-0000443460,3627348,
