id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e61a17f8-8fd1-11eb-924d-9cd76263cbd0,genus,Loxospermum,,,,,,,,,,,wfo-4000022350,7302356,
b64e8c1a-8fcd-11eb-924d-9cd76263cbd0,species,calocephalum,Loxospermum,,"(Fresen.) Hochst.",1846,"Flora 29: 595 1846",,,,709ef744-8fc9-11eb-924d-9cd76263cbd0,503984-1,wfo-0001057990,3974108,
e6d9f298-8fc3-11eb-924d-9cd76263cbd0,species,multinerve,Loxospermum,,Hochst.,,,,,,,,wfo-0000185257,2973599,
2db1af5a-8fcc-11eb-924d-9cd76263cbd0,species,schimperi,Loxospermum,,Hochst.,1846,"Flora 29: 594 1846",,,,,503986-1,wfo-0000363675,3974100,
57775bc2-8fcd-11eb-924d-9cd76263cbd0,species,lachnantha,Loxostachys,,Peter,1930,"Repert. Spec. Nov. Regni Veg. Beih. 40(1): 204 1930",,,,,407667-1,wfo-0000878721,4128237,
57777760-8fcd-11eb-924d-9cd76263cbd0,species,uncinata,Loxostachys,,"(Raddi) Peter",1930,"Repert. Spec. Nov. Regni Veg. Beih. 40(1): 204 1930",,,,,144120-2,wfo-0000878722,4128224,
ac9f8b84-8fd1-11eb-924d-9cd76263cbd0,species,axillus,Loxostemon,,"Y.Z.Lan & T.Y.Cheo",1981,"Bull. Bot. Res., Harbin 1(3): 52–53, f. 1 1981",,,,,898123-1,wfo-0001218407,3046154,
ac9fc5c2-8fd1-11eb-924d-9cd76263cbd0,species,delavayi,Loxostemon,,Franch.,1886,"Bull. Soc. Bot. France 33: 400–401 1886",,,,,,wfo-0001218409,3045924,
ad7308d2-8fcd-11eb-924d-9cd76263cbd0,species,granuliferum,Loxostemon,,"(Franch.) O.E.Schulz",1922,"Repert. Spec. Nov. Regni Veg. Beih. 12: 390. 1922",,,,,286640-1,wfo-0001037898,3045751,
aca0573a-8fd1-11eb-924d-9cd76263cbd0,species,incanus,Loxostemon,,"R.C.Fang ex T.Y.Cheo & Y.Z.Lan",1981,"Bull. Bot. Res., Harbin 1(3): 54–55, f. 2 1981",,,,,898124-1,wfo-0001218414,8516163,
ac9fa88a-8fd1-11eb-924d-9cd76263cbd0,species,loxostemonoides,Loxostemon,,"(O.E.Schulz) Y.Z.Lan & T.Y.Cheo",1981,"Bull. Bot. Res., Harbin 1(3): 53–54 1981",,,,beec3832-8fcc-11eb-924d-9cd76263cbd0,909048-1,wfo-0001218408,3045652,
ac9fe598-8fd1-11eb-924d-9cd76263cbd0,species,pulchellus,Loxostemon,,"Hook.f. & Thomson",1861,"J. Proc. Linn. Soc., Bot. 5: 147 1861",,,,,286641-1,wfo-0001218410,3046201,
aca002f8-8fd1-11eb-924d-9cd76263cbd0,species,purpurascens,Loxostemon,,"(O.E.Schulz) R.C.Fang ex Y.Z.Lan & T.Y.Cheo",1981,"Bull. Bot. Res., Harbin 1(3): 54 1981",,,,bef62aea-8fcc-11eb-924d-9cd76263cbd0,909049-1,wfo-0001218411,,
ac9f6de8-8fd1-11eb-924d-9cd76263cbd0,species,repens,Loxostemon,,"(Franch.) Hand.-Mazz.",1931,"Symb. Sin. 7(2): 362 1931",,,,df1b7f14-8fcc-11eb-924d-9cd76263cbd0,286642-1,wfo-0001218406,3046272,
aca01f72-8fd1-11eb-924d-9cd76263cbd0,species,smithii,Loxostemon,,O.E.Schulz,1924,"Acta Horti Gothob. 1(4): 161–162 1924",,,,,286643-1,wfo-0001218412,3045923,
c45eefd0-8fd1-11eb-924d-9cd76263cbd0,variety,glabrescens,Loxostemon,smithii,O.E.Schulz,,,,,,,,wfo-0001262116,7811996,
aca03a5c-8fd1-11eb-924d-9cd76263cbd0,variety,wenchuanensis,Loxostemon,smithii,"Y.Z.Lan & T.Y.Cheo",1981,"Bull. Bot. Res., Harbin 1(3): 55–56 1981",,,,,916443-1,wfo-0001218413,3687943,
aca0742c-8fd1-11eb-924d-9cd76263cbd0,species,stenolobus,Loxostemon,,"(Hemsl.) Y.Z.Lan & T.Y.Cheo",1981,"Bull. Bot. Res., Harbin 1(3): 56 1981",,,,,909050-1,wfo-0001218415,3046244,
