id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e625be32-8fd1-11eb-924d-9cd76263cbd0,genus,Lychnodiscus,,,Radlk.,0,1878,,"Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München 8: 332 (1878)",,,,,,urn:lsid:ipni.org:names:36470-1,wfo-4000022481,7264758,,
b9057992-8fd1-11eb-924d-9cd76263cbd0,species,brevibracteatus,Lychnodiscus,,Fouilloy,0,1973,,"Fl. Cameroun 15: 166 (1973)",,,,,,urn:lsid:ipni.org:names:783552-1,wfo-0001241137,3784717,,
67d660c2-8fcc-11eb-924d-9cd76263cbd0,species,cerospermus,Lychnodiscus,,Radlk.,0,1895,,"Nat. Pflanzenfam. 3(5): 344 (1895)",,,,,,urn:lsid:ipni.org:names:783553-1,wfo-0000443007,3784713,,
0f69116e-1d4d-11ec-82c2-f14daa6f2d93,variety,cerospermus,Lychnodiscus,cerospermus,,,,,,,,,,,,wfo-0001241138,,,
17dfc6b6-8fcd-11eb-924d-9cd76263cbd0,variety,mortehanii,Lychnodiscus,cerospermus,"(De Wild.) Hauman",0,1960,,"in Fl. Congo Belge 9: 328 1960",,,,,,,wfo-0000742543,7906188,,
17e0cf98-8fcd-11eb-924d-9cd76263cbd0,variety,pedicellaris,Lychnodiscus,cerospermus,"(Radlk.) Hauman",0,1960,,"in Fl. Congo Belge 9: 328 1960",,,,,,,wfo-0000742545,7405646,,
67d6420e-8fcc-11eb-924d-9cd76263cbd0,species,dananensis,Lychnodiscus,,"Aubrév. & Pellegr.",0,1938,,"Bull. Soc. Bot. France 85: 291 (1938)",,,Q5735483,,,urn:lsid:ipni.org:names:783554-1,wfo-0000443006,3784708,,
d8f8c69a-8fcd-11eb-924d-9cd76263cbd0,species,grandifolius,Lychnodiscus,,Radlk.,0,1907,,"Nat. Pflanzenfam. , Nachtr. 3: 206 (1907)",,,,,,urn:lsid:ipni.org:names:783555-1,wfo-0001135182,3784703,,
67d621d4-8fcc-11eb-924d-9cd76263cbd0,species,mortehanii,Lychnodiscus,,"De Wild.",0,1914,,"Repert. Spec. Nov. Regni Veg. 13: 378 (1914)",,Q55752956,,,,urn:lsid:ipni.org:names:783556-1,wfo-0000443005,3784697,,
d8fae696-8fcd-11eb-924d-9cd76263cbd0,species,multinervis,Lychnodiscus,,Radlk.,0,1907,,"Wiss. Erg. Deut. Zentr.-Afr. Exped., Bot. 2: 480 (1912)",,,,,,urn:lsid:ipni.org:names:783557-1,wfo-0001135201,3784695,,
67d68084-8fcc-11eb-924d-9cd76263cbd0,species,papillosus,Lychnodiscus,,"Radlk. ex Engl.",0,1921,,"Veg. Erde 9(III 2): 282 (1921)",,,,,,urn:lsid:ipni.org:names:783558-1,wfo-0000443008,3784689,,
b905b952-8fd1-11eb-924d-9cd76263cbd0,species,papillosus,Lychnodiscus,,Radlk.,0,1933,,"Pflanzenr. 165: 1140 1933",,,,,,,wfo-0001241139,7824926,,
67d6067c-8fcc-11eb-924d-9cd76263cbd0,species,pedicellaris,Lychnodiscus,,Radlk.,0,1912,,"Wiss. Erg. Deut. Zentr.-Afr. Exped., Bot. 2: 479 (1912)",,,,,,urn:lsid:ipni.org:names:783559-1,wfo-0000443004,3784683,,
67d444ae-8fcc-11eb-924d-9cd76263cbd0,species,reticulatus,Lychnodiscus,,Radlk.,0,1878,,"Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München 8: 333 (1878)",,,,,,urn:lsid:ipni.org:names:783560-1,wfo-0000442992,3784677,,
