id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e62d2d84-8fd1-11eb-924d-9cd76263cbd0,genus,Lysionotus,,,D.Don,1822,"Edinburgh Philos. J. 7(13): 85–86. 1822.",,,,,17109-1,wfo-4000022571,6365622,
b1ef1528-8fd1-11eb-924d-9cd76263cbd0,species,aeschynanthoides,Lysionotus,,W.T.Wang,1983,"Guihaia 3(4): 265–266, pl. 4, f. 7–9 1983",,,,,,wfo-0001228121,3823743,
2e4e305a-8fcc-11eb-924d-9cd76263cbd0,species,albida,Lysionotus,,Blume,1826,"Bijdr. 765 1826",,,,,381724-1,wfo-0000364663,,
2e4e4e32-8fcc-11eb-924d-9cd76263cbd0,species,angustifolia,Lysionotus,,Blume,1826,"Bijdr. 765 1826",,,,,381725-1,wfo-0000364664,,
b1f0cd78-8fd1-11eb-924d-9cd76263cbd0,species,angustisepalus,Lysionotus,,W.T.Wang,1983,"Guihaia 3(4): 269–270, pl. 3, f. 9–11 1983",,,,,,wfo-0001228132,3823709,
b6ee4120-8fd1-11eb-924d-9cd76263cbd0,species,apicidens,Lysionotus,,"(Hance) Yamazaki",1994,"Fl. Jap. 69(2): 115 1994",,,,9632c38e-8fcc-11eb-924d-9cd76263cbd0,,wfo-0001237284,3823686,
b1f02602-8fd1-11eb-924d-9cd76263cbd0,species,atropurpureus,Lysionotus,,H.Hara,1973,"J. Jap. Bot. 48(12): 359–361, f. 4 1973",,,,,381726-1,wfo-0001228128,3823677,
2e4e10a2-8fcc-11eb-924d-9cd76263cbd0,species,aucklandii,Lysionotus,,H.Low,1848,"Sarawak, Inhabitants & Productions 67 1848",,,,,381727-1,wfo-0000364662,3823666,
b96de2a6-8fcd-11eb-924d-9cd76263cbd0,species,brachycarpus,Lysionotus,,Rehder,1916,"Pl. Wilson. 3(2): 387–388 1916",,,,,381728-1,wfo-0001065113,3823656,
2e4d30e2-8fcc-11eb-924d-9cd76263cbd0,species,carnosa,Lysionotus,,Hemsl.,1899,"Gard. Chron. III, 1899(2): 349 1900",,,,,381729-1,wfo-0000364654,,
b25f39f2-8fd1-11eb-924d-9cd76263cbd0,species,carnosus,Lysionotus,,Hemsl.,1900,"Gard. Chron., ser. 3 28: 349–350 1900",,,,,,wfo-0001228885,3823644,
2e4d4bb8-8fcc-11eb-924d-9cd76263cbd0,species,cavaleriei,Lysionotus,,H.Lév.,1911,"Repert. Spec. Nov. Regni Veg. 9: 328 1911",,,,,381731-1,wfo-0000364655,3823625,
b25f5522-8fd1-11eb-924d-9cd76263cbd0,species,chingii,Lysionotus,,"Chun ex W.T.Wang",1983,"Guihaia 3(4): 279–280, f. 4(1–6) 1983",,,,,,wfo-0001228886,3823616,
2e4da0e0-8fcc-11eb-924d-9cd76263cbd0,species,conferta,Lysionotus,,C.B.Clarke,1883,"Monogr. Phan. 5: 58 1883",,,,,381732-1,wfo-0000364658,,
b1eef8a4-8fd1-11eb-924d-9cd76263cbd0,species,denticulosus,Lysionotus,,W.T.Wang,1983,"Guihaia 3(4): 264–265, pl. 2, f. 10 1983",,,,,902502-1,wfo-0001228120,3823596,
1b3c6c06-8fcd-11eb-924d-9cd76263cbd0,species,fengshanensis,Lysionotus,,"Yan Liu & D.X.Nong",2010,"Nordic J. Bot. 28: 720 2010",,,,,,wfo-0000749687,8429402,
b96a50f0-8fcd-11eb-924d-9cd76263cbd0,species,forrestii,Lysionotus,,W.W.Sm.,1918,"Notes Roy. Bot. Gard. Edinburgh 10(49–50): 185–186 1918",,,,,,wfo-0001065079,3823587,
b25f72d2-8fd1-11eb-924d-9cd76263cbd0,species,gamosepalus,Lysionotus,,W.T.Wang,1983,"Guihaia 3(4): 278, f. 4(10–15) 1983",,,,,902503-1,wfo-0001228887,3823576,
b1f053b6-8fd1-11eb-924d-9cd76263cbd0,species,gracilipes,Lysionotus,,C.E.C.Fisch.,1940,"Bull. Misc. Inform. Kew 1940(1): 41–42 1940",,,,,381734-1,wfo-0001228129,3823564,
b96a6acc-8fcd-11eb-924d-9cd76263cbd0,species,gracilis,Lysionotus,,W.W.Sm.,1918,"Notes Roy. Bot. Gard. Edinburgh 10(49–50): 186 1918",,,,,381735-1,wfo-0001065080,3823556,
2e4d86e6-8fcc-11eb-924d-9cd76263cbd0,species,griffithii,Lysionotus,,C.B.Clarke,1883,"Monogr. Phan. 5: 60 1883",,,,,381736-1,wfo-0000364657,3823541,
b96fe844-8fcd-11eb-924d-9cd76263cbd0,species,hainanensis,Lysionotus,,"Merr. & Chun",1935,"Sunyatsenia 2(3–4): 321–322, f. 45 1935",,,,,381737-1,wfo-0001065129,3823534,
2e4f3518-8fcc-11eb-924d-9cd76263cbd0,species,heterophylla,Lysionotus,,Franch.,1899,"Bull. Mus. Hist. Nat. (Paris) 5: 249 1899",,,,,381738-1,wfo-0000364667,,
b1ef31ac-8fd1-11eb-924d-9cd76263cbd0,species,heterophyllus,Lysionotus,,Franch.,1899,"Bull. Mus. Hist. Nat. (Paris) 5(5): 249 1899",,,,,,wfo-0001228122,6365677,
b1ef6bcc-8fd1-11eb-924d-9cd76263cbd0,variety,lasianthus,Lysionotus,heterophyllus,W.T.Wang,1983,"Guihaia 3(4): 267 1983",,,,,917859-1,wfo-0001228124,3823511,
b6e4cbfe-8fd1-11eb-924d-9cd76263cbd0,species,himalayensis,Lysionotus,,"(H.Lév.) W.T.Wang & Z.Y.Li",1992,"Acta Phytotax. Sin. 30(5): 481 1992",,,,b6e4ae30-8fd1-11eb-924d-9cd76263cbd0,969251-1,wfo-0001237208,8394637,
b25f8f2e-8fd1-11eb-924d-9cd76263cbd0,species,ikedae,Lysionotus,,Hatus.,1970,"Mem. Fac. Agric. Kagoshima Univ. 7(2): 324, pl. 3 1970",,,,,381739-1,wfo-0001228888,3823477,
2e4fb24a-8fcc-11eb-924d-9cd76263cbd0,species,involucrata,Lysionotus,,Franch.,1899,"Bull. Mus. Hist. Nat. (Paris) 5: 249 1899",,,,,381740-1,wfo-0000364671,,
b1efa5f6-8fd1-11eb-924d-9cd76263cbd0,species,involucratus,Lysionotus,,Franch.,1899,"Bull. Mus. Hist. Nat. (Paris) 5(5): 249 1899",,,,,,wfo-0001228126,3823466,
c3b8dcee-8fd1-11eb-924d-9cd76263cbd0,species,kingii,Lysionotus,,"(C.B.Clarke) Hilliard",1995,"Edinburgh J. Bot. 52(2): 219 1995",,,,,983298-1,wfo-0001260989,3823454,
b25fa9d2-8fd1-11eb-924d-9cd76263cbd0,species,kwangsiensis,Lysionotus,,W.T.Wang,1975,"Acta Phytotax. Sin. 13(2): 68–69 1975",,,,,381741-1,wfo-0001228889,3823445,
b6e3a580-8fd1-11eb-924d-9cd76263cbd0,species,levipes,Lysionotus,,"(C.B.Clarke) B.L.Burtt",1995,"Edinburgh J. Bot. 52(2): 220 1995",,,,96433bba-8fcc-11eb-924d-9cd76263cbd0,983299-1,wfo-0001237201,3823434,
2e504142-8fcc-11eb-924d-9cd76263cbd0,species,longiflorus,Lysionotus,,Blume,1826,"Bijdr. 766 1826",,,,,377780-1,wfo-0000364676,,
