id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e636035a-8fd1-11eb-924d-9cd76263cbd0,genus,Macrocarpaea,,,"(Griseb.) Gilg",,1895,,"Nat. Pflanzenfam. 4(2): 94. 1895.",,,,,,30001681-2,wfo-4000022677,7269835,,
b1f450f6-8fd1-11eb-924d-9cd76263cbd0,species,acuminata,Macrocarpaea,,R.E.Weaver,,1972,,"J. Arnold Arbor. 53(4): 555 1972",,,,,,,wfo-0001228158,3841191,,
3582540a-8fcc-11eb-924d-9cd76263cbd0,species,affinis,Macrocarpaea,,Ewan,,1950,,"Proc. Biol. Soc. Wash. 63: 163 1950",,,,,,148784-2,wfo-0000376413,3841174,,
3581ee02-8fcc-11eb-924d-9cd76263cbd0,species,angelliae,Macrocarpaea,,"J.R.Grant & Struwe",,2001,,"Harvard Pap. Bot. 5: 490 2001",,Q95389053,,,,1020924-1,wfo-0000376410,3841160,,
b824c2c6-8fd1-11eb-924d-9cd76263cbd0,species,angustifolia,Macrocarpaea,,J.S.Pringle,,2002,,"Novon 12(1): 80–81, f. 1 2002",,Q55775370,,,,323160-2,wfo-0001239488,3841147,,
c80b590c-8fd1-11eb-924d-9cd76263cbd0,species,apparata,Macrocarpaea,,"J.R.Grant & Struwe",,2003,,"Harvard Pap. Bot. 8(1): 63–66, f. 1–2, 3A 2003",,Q95390137,,,,50425918-2,wfo-0001268858,3841134,,
35821904-8fcc-11eb-924d-9cd76263cbd0,species,arborea,Macrocarpaea,,"(Britton) Ewan",,1948,,"Contr. U. S. Natl. Herb. 29: 221 1948",,,,02460842-8fcd-11eb-924d-9cd76263cbd0,,148785-2,wfo-0000376411,3841119,,
b8ca41be-8fcd-11eb-924d-9cd76263cbd0,species,arborescens,Macrocarpaea,,Gilg,,1913,,"Bot. Jahrb. Syst. 50(2–3, Beibl. 111): 50 1913",,,,,,148786-2,wfo-0001063666,3841103,,
b34cd496-8fd1-11eb-924d-9cd76263cbd0,species,auriculata,Macrocarpaea,,"R.E.Weaver & J.R.Grant",,2003,,"Harvard Pap. Bot. 8(1): 88–91, f. 1, 4 2003",,Q95390138,,,,50425926-2,wfo-0001230565,3841088,,
35823696-8fcc-11eb-924d-9cd76263cbd0,species,autanae,Macrocarpaea,,"Weaver ex Maguire",,1981,,"Mem. New York Bot. Gard. 32: 336 1981",,,,,,1003336-1,wfo-0000376412,7527852,,
