id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e63e5be0-8fd1-11eb-924d-9cd76263cbd0,genus,Macrostelia,,,Hochr.,,"Notul. Syst. (Paris) 14: 230. 1952.",,,,,25956-1,wfo-4000022780,3933362,
6bbbff58-8fcc-11eb-924d-9cd76263cbd0,species,calyculata,Macrostelia,,Hochr.,,"Notul. Syst. (Paris) 14: 232 1953",,,,,561320-1,wfo-0000449818,3937464,
6bbcb70e-8fcc-11eb-924d-9cd76263cbd0,species,grandifolia,Macrostelia,,Fryxell,,"Austral. J. Bot. 22: 189 1974",,,,,561321-1,wfo-0000449824,7279178,
6bbbdc4e-8fcc-11eb-924d-9cd76263cbd0,subspecies,macilwraithensis,Macrostelia,grandifolia,Fryxell,,"Austral. J. Bot. 22: 191 1974",,,,,886633-1,wfo-0000449817,3937439,
6bbbbc28-8fcc-11eb-924d-9cd76263cbd0,species,involucrata,Macrostelia,,Hochr.,,"Notul. Syst. (Paris) 14: 230 1953",,,,,561322-1,wfo-0000449816,3937432,
bed30802-8fcd-11eb-924d-9cd76263cbd0,species,laurina,Macrostelia,,"(Baill.) Hochr. & Humbert",,"Fl. Madagasc. 129: 120 1955",,,,,561323-1,wfo-0001077440,3937426,
dba91274-8fd1-11eb-924d-9cd76263cbd0,species,vitifolia,Macrostemma,,"(Cav.) Pers.",,"Syn. Pl. 1: 185 1805",,,,,,wfo-0001298271,8320400,
93d60532-8fcd-11eb-924d-9cd76263cbd0,species,australis,Macrostigma,,Hook.,,"Icones plantarum ; 1836 t.412 1842",,,,,,wfo-0000985075,3012075,
fba68a20-8fcc-11eb-924d-9cd76263cbd0,species,tupistroides,Macrostigma,,Kunth,,"Index Seminum (B) 1848: 12 1848",,,,,,wfo-0000691278,5304045,
ad735d00-8fcd-11eb-924d-9cd76263cbd0,species,longistyla,Macrostigmatella,,Rauschert,,"Taxon 31: 558. 1982",,,,,910858-1,wfo-0001037901,3048800,
dd0e5e18-8fcb-11eb-924d-9cd76263cbd0,species,aloifolium,Macrostomium,,Blume,,"Bijdr. 335 1825",,,,,642060-1,wfo-0000232685,2821647,
