id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e643d3fe-8fd1-11eb-924d-9cd76263cbd0,genus,Maerua,,,Forssk.,0,1775,,"Fl. Aegypt.-Arab. : 104 (1775)",,Q5862701,,,,urn:lsid:ipni.org:names:5968-1,wfo-4000022838,6370546,,
d763b05c-8fd1-11eb-924d-9cd76263cbd0,species,acuminata,Maerua,,Oliv.,0,1868,,"Fl. Trop. Afr. 1: 85 (1868)",,,Q3700392,,,urn:lsid:ipni.org:names:147640-1,wfo-0001290546,3871956,,
d7640c96-8fd1-11eb-924d-9cd76263cbd0,species,aethiopica,Maerua,,Oliv.,0,1868,,"Fl. Trop. Afr. 1: 85 (1868)",,,Q3700392,,,urn:lsid:ipni.org:names:147641-1,wfo-0001290548,3871949,,
34e17d46-8fcc-11eb-924d-9cd76263cbd0,species,albomarginata,Maerua,,"Gilg & Gilg-Ben.",0,1915,,"Bot. Jahrb. Syst. 53: 259 (1915)",,,Q5732642,,,urn:lsid:ipni.org:names:147642-1,wfo-0000375308,3871942,,
34df9c10-8fcc-11eb-924d-9cd76263cbd0,species,amphilahensis,Maerua,,Terrac.,0,1894,,"Annuario Reale Ist. Bot. Roma 5: 114 (1894)",,,,,,urn:lsid:ipni.org:names:147643-1,wfo-0000375295,3871937,,
34dfb8da-8fcc-11eb-924d-9cd76263cbd0,species,andradae,Maerua,,Wild,0,1958,,"Bol. Soc. Brot. , sér. 2, 32: 41 (1958)",,,,,,urn:lsid:ipni.org:names:147644-1,wfo-0000375296,3871933,,
34dfd5ea-8fcc-11eb-924d-9cd76263cbd0,species,angolensis,Maerua,,DC.,0,1824,,"Prodr. 1: 254 (1824)",,,Q2712448,,,urn:lsid:ipni.org:names:147645-1,wfo-0000375297,7273321,,
74c705de-1d4d-11ec-82c2-f14daa6f2d93,variety,africana,Maerua,angolensis,Kers,,1993,,"Novon 3: 54 (1993)",,,Q2243682,,,urn:lsid:ipni.org:names:970700-1,wfo-0001390079,,,
2fceed70-1d4d-11ec-82c2-f14daa6f2d93,subspecies,angolensis,Maerua,angolensis,,,1993,,"Novon 3(1): 54 1993",,,Q2243682,,,,wfo-0001283550,,,
13ecf3e4-8fcd-11eb-924d-9cd76263cbd0,variety,socotrana,Maerua,angolensis,"Schweinf. ex Balf.f.",0,1883,,"Proc. Roy. Soc. Edinburgh 13: 402 1883",,,,,,,wfo-0000734380,11035686,,
