id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e66745f0-8fd1-11eb-924d-9cd76263cbd0,genus,Mascagnia,,,"(DC.) Bertero",0,1824,,"Hortus Ripul. : 86 (1824)",,,,,,urn:lsid:ipni.org:names:30005439-2,wfo-4000023255,7756884,,
cbdff79a-8fd1-11eb-924d-9cd76263cbd0,species,aequatorialis,Mascagnia,,"W.R.Anderson & C.Davis",0,2005,,"Contr. Univ. Michigan Herb. 24: 35 (2005)",,,,,,urn:lsid:ipni.org:names:60438525-2,wfo-0001276043,3984120,,
cb9efa06-8fd1-11eb-924d-9cd76263cbd0,species,affinis,Mascagnia,,"W.R.Anderson & C.Davis",0,2005,,"Contr. Univ. Michigan Herb. 24: 37 (2005)",,,,,,urn:lsid:ipni.org:names:60438526-2,wfo-0001275591,3984116,,
8f27f988-8fcc-11eb-924d-9cd76263cbd0,species,allopterys,Mascagnia,,"(Moris) W.R.Anderson",0,2007,,"Contr. Univ. Michigan Herb. 25: 100 (2007)",,,,8f91b224-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:60447667-2,wfo-0000509787,3984110,,
8f2815bc-8fcc-11eb-924d-9cd76263cbd0,species,almedae,Mascagnia,,W.R.Anderson,0,2007,,"Contr. Univ. Michigan Herb. 25: 101 (2007)",,,,,,urn:lsid:ipni.org:names:60447668-2,wfo-0000509788,3984107,,
be45ab88-8fcd-11eb-924d-9cd76263cbd0,species,amazonica,Mascagnia,,Nied.,0,1926,,"Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 8: 59 (1926)",,,,,,urn:lsid:ipni.org:names:153759-2,wfo-0001076227,3984096,,
6ba8c26c-8fcc-11eb-924d-9cd76263cbd0,species,ambigua,Mascagnia,,Griseb.,0,1858,,"Fl. Bras. 12(1): 90 (1858)",,,,,,urn:lsid:ipni.org:names:557181-1,wfo-0000449679,7285303,,
6822f91e-1d4d-11ec-82c2-f14daa6f2d93,variety,distans,Mascagnia,ambigua,Griseb.,,,,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1875: 146 (1876)",,,,,,urn:lsid:ipni.org:names:153760-2,wfo-0001373759,,,
758d149a-1d4d-11ec-82c2-f14daa6f2d93,variety,lanata,Mascagnia,ambigua,"(A.Juss.) Griseb.",,,,,,,,,,urn:lsid:ipni.org:names:1025585-2,wfo-0001391116,,,
6dd8578c-8fcc-11eb-924d-9cd76263cbd0,form,paraguayensis,Mascagnia,ambigua,Nied.,0,1908,,"Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg 3: 26. 1908 De genere Mascagnia",,,,,,urn:lsid:ipni.org:names:153761-2,wfo-0000453570,3984064,,
