id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a7f3f510-9bad-11eb-a8a2-19ed5c03f8d3,genus,Massariothea,,,Syd.,,1939,,"Annls mycol. 37: 249 (1939)",,,,a7f3f510-9bad-11eb-a8a2-19ed5c03f8d3,,,,,8855," "
08744b52-9bad-11eb-a8a2-19ed5c03f8d3,species,attenuata,Massariothea,,"B. Sutton & Alcorn",,1985,,"Trans. Br. mycol. Soc. 84(3): 439 (1985)",,,,08744b52-9bad-11eb-a8a2-19ed5c03f8d3,,,,,105503," "
2e2f4082-9bac-11eb-a8a2-19ed5c03f8d3,species,botulispora,Massariothea,,"(Teng) B. Sutton",,1980,,"The Coelomycetes (Kew) 638 (1980)",,,,0bb35f74-9bad-11eb-a8a2-19ed5c03f8d3,,,,,116305," "
3f7b14ba-9bac-11eb-a8a2-19ed5c03f8d3,species,paspali,Massariothea,,"(Ellis & Everh.) B. Sutton",0,1978,,"Nova Hedwigia 29(3-4): 785 (1978)",,,,956412a0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,283527," "
1ecbafb8-9bac-11eb-a8a2-19ed5c03f8d3,species,peregianensis,Massariothea,,"B. Sutton ined.",,,,,,,,1ecbafb8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,123042," "
2bb9aa36-9bac-11eb-a8a2-19ed5c03f8d3,species,scotica,Massariothea,,"B. Sutton & Rizwi",,1980,,"Nova Hedwigia 32(2-3): 344 (1980)",,,,2bb9aa36-9bac-11eb-a8a2-19ed5c03f8d3,,,,,112717," "
3f7b5d30-9bac-11eb-a8a2-19ed5c03f8d3,species,shawiae,Massariothea,,"(B. Sutton) B. Sutton",,1978,,"Nova Hedwigia 29(3-4): 785 (1978)",,,,09d30a60-9bad-11eb-a8a2-19ed5c03f8d3,,,,,283528," "
33bd9304-9bad-11eb-a8a2-19ed5c03f8d3,species,similis,Massariothea,,Alcorn,,1993,,"Mycol. Res. 97(4): 429 (1993)",,,,33bd9304-9bad-11eb-a8a2-19ed5c03f8d3,,,,,359445," "
e5c1b946-9bac-11eb-a8a2-19ed5c03f8d3,species,themedae,Massariothea,,Syd.,,1939,,"Annls mycol. 37: 249 (1939)",,,,e5c1b946-9bac-11eb-a8a2-19ed5c03f8d3,,,,,280200," "
33bdf33a-9bad-11eb-a8a2-19ed5c03f8d3,species,triseptata,Massariothea,,Alcorn,,1993,,"Mycol. Res. 97(4): 430 (1993)",,,,33bdf33a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,359446," "
