id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a399d598-9bad-11eb-a8a2-19ed5c03f8d3,genus,Melanconium,,,Link,,1809,,"Magazin Ges. naturf. Freunde, Berlin 3(1-2): 9 (1809)",,,,a399d598-9bad-11eb-a8a2-19ed5c03f8d3,,,,,8883," "
4b519e58-9bac-11eb-a8a2-19ed5c03f8d3,species,abellinense,Melanconium,,Sacc.,,,,,,,,4b519e58-9bac-11eb-a8a2-19ed5c03f8d3,,,,,235527," "
2011ac60-9bac-11eb-a8a2-19ed5c03f8d3,species,acerinum,Melanconium,,"Ellis & Everh.",,,,,,,,2011ac60-9bac-11eb-a8a2-19ed5c03f8d3,,,,,235012," "
f73b2090-9bac-11eb-a8a2-19ed5c03f8d3,species,acutum,Melanconium,,Corda,,,,,,,,f73b2090-9bac-11eb-a8a2-19ed5c03f8d3,,,,,235150," "
6284da40-9bac-11eb-a8a2-19ed5c03f8d3,variety,acutum,Melanconium,acutum,Corda,,,,,,,,6284da40-9bac-11eb-a8a2-19ed5c03f8d3,,,,,420533," "
c8a82f16-9bac-11eb-a8a2-19ed5c03f8d3,variety,major,Melanconium,acutum,Corda,,,,,,,,c8a82f16-9bac-11eb-a8a2-19ed5c03f8d3,,,,,138906," "
4585d520-9bac-11eb-a8a2-19ed5c03f8d3,variety,minus,Melanconium,acutum,Corda,,,,,,,,4585d520-9bac-11eb-a8a2-19ed5c03f8d3,,,,,138862," "
8f61449a-9bac-11eb-a8a2-19ed5c03f8d3,species,aecidiiforme,Melanconium,,Pat.,,,,,,,,8f61449a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,235495," "
ca9f6fa0-9bac-11eb-a8a2-19ed5c03f8d3,species,alni,Melanconium,,"Ellis & Everh.",,,,,,,,ca9f6fa0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,235608," "
588f92aa-9bac-11eb-a8a2-19ed5c03f8d3,species,americanum,Melanconium,,Peck,,,,,,,,588f92aa-9bac-11eb-a8a2-19ed5c03f8d3,,,,,142298," "
aca8c38e-9bac-11eb-a8a2-19ed5c03f8d3,species,ammophilae,Melanconium,,"(Durieu & Mont.) Höhn.",,1910,,"Sber. Akad. Wiss. Wien, Math.-naturw. Kl., Abt. 1 119: 663 (1910)",,,,689d5d08-9bac-11eb-a8a2-19ed5c03f8d3,,,,,502822," "
