id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e69983da-8fd1-11eb-924d-9cd76263cbd0,genus,Mesonodon,,,Hampe,0,1865,,"Ann. Sci. Nat., Bot., sér. 5, 4: 367. 1865.",,,Q17621119,,,,wfo-4000023861,2682832,,
f122c9c8-8fcd-11eb-924d-9cd76263cbd0,species,flavescens,Mesonodon,,"(Hook.) W.R.Buck",0,1980,,"J. Hattori Bot. Lab. 48: 117 1980",,,,,,,wfo-0001186065,2682834,,
ec5adab6-8fcd-11eb-924d-9cd76263cbd0,species,onustus,Mesonodon,,Hampe,0,1865,,"Ann. Sci. Nat., Bot., sér. 5, 4: 367 1865",,,Q17621119,,,,wfo-0001176223,7430076,,
ec5b1db4-8fcd-11eb-924d-9cd76263cbd0,variety,minor,Mesonodon,onustus,Hampe,0,1870,,"Vidensk. Meddel. Dansk Naturhist. Foren. Kjøbenhavn 2: 279 1870",,,,,,,wfo-0001176224,7782674,,
f122e64c-8fcd-11eb-924d-9cd76263cbd0,species,regnellianus,Mesonodon,,"(Müll.Hal.) W.R.Buck",0,1980,,"J. Hattori Bot. Lab. 48: 117 1980",,,,,,,wfo-0001186066,2682833,,
f1230302-8fcd-11eb-924d-9cd76263cbd0,variety,lepyrodontoides,Mesonodon,regnellianus,"(Müll.Hal.) W.R.Buck",0,1980,,"J. Hattori Bot. Lab. 48: 117 1980",,,,e7822aee-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001186067,7952898,,
405187f2-1d4d-11ec-82c2-f14daa6f2d93,subspecies,regnellianus,Mesonodon,regnellianus,"(Müll.Hal.) W.R.Buck",,,,,,,,,,,wfo-0001319332,,,
932d77ca-1d4c-11ec-82c2-f14daa6f2d93,variety,regnellianus,Mesonodon,regnellianus,,,,,,,,,,,,wfo-0001039533,,,
e2372ea6-8fcb-11eb-924d-9cd76263cbd0,species,capitatus,Mesopanax,,R.Vig.,0,1906,,"Ann. Sci. Nat., Bot. , sér. 9, 4: 104 (1906)",,,Q17621119,,,urn:lsid:ipni.org:names:91044-1,wfo-0000241954,3036626,,
e2374f58-8fcb-11eb-924d-9cd76263cbd0,species,liebmannii,Mesopanax,,R.Vig.,0,1906,,"Ann. Sci. Nat., Bot. , sér. 9, 4: 104 (1906)",,,Q17621119,ed4a1b96-8fcb-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:91045-1,wfo-0000241955,3036669,,
e2378db0-8fcb-11eb-924d-9cd76263cbd0,species,proteus,Mesopanax,,R.Vig.,0,1906,,"Ann. Sci. Nat., Bot. , sér. 9, 4: 104 (1906)",,,Q17621119,,,urn:lsid:ipni.org:names:91046-1,wfo-0000241957,3035023,,
