id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e699b026-8fd1-11eb-924d-9cd76263cbd0,genus,Mesophlebion,,,Holttum,0,1971,,"Blumea 19: 29. 1971",,,,,,urn:lsid:ipni.org:names:329926-2,wfo-4000023863,7628428,,
d18c7c44-8fcd-11eb-924d-9cd76263cbd0,species,arenicola,Mesophlebion,,Holttum,0,1975,,"Blumea 22: 228 (1975)",,Q96027555,,,,urn:lsid:ipni.org:names:17444470-1,wfo-0001118333,4083495,,
d18e5b40-8fcd-11eb-924d-9cd76263cbd0,species,auriculiferum,Mesophlebion,,"(Alderw.) Holttum",0,1975,,"Blumea 22: 231 (1975)",,Q96027555,,,,urn:lsid:ipni.org:names:17444480-1,wfo-0001118345,4083486,,
d18d5074-8fcd-11eb-924d-9cd76263cbd0,species,beccarianum,Mesophlebion,,"(Ces.) Holttum",0,1975,,"Blumea 22: 230. 1975",,Q96027555,,,,urn:lsid:ipni.org:names:17444490-1,wfo-0001118340,4083468,,
d18b8e2e-8fcd-11eb-924d-9cd76263cbd0,species,caroli,Mesophlebion,,Holttum,0,1975,,"Blumea 22: 227 (1975)",,Q96027555,,,,urn:lsid:ipni.org:names:17444500-1,wfo-0001118328,4083458,,
d18e97d6-8fcd-11eb-924d-9cd76263cbd0,species,chlamydophorum,Mesophlebion,,"(Rosenst. ex C.Chr.) Holttum",0,1975,,"Blumea 22: 231 (1975)",,Q96027555,,,,urn:lsid:ipni.org:names:17444510-1,wfo-0001118347,4083451,,
d18ed412-8fcd-11eb-924d-9cd76263cbd0,species,crassifolium,Mesophlebion,,"(Blume) Holttum",0,1971,,"Blumea 22: 232 (1975)",,,,,,urn:lsid:ipni.org:names:17444520-1,wfo-0001118349,4083441,,
d18d1852-8fcd-11eb-924d-9cd76263cbd0,species,dulitense,Mesophlebion,,Holttum,0,1975,,"Blumea 22: 229 (1975)",,Q96027555,,,,urn:lsid:ipni.org:names:17444530-1,wfo-0001118338,4083432,,
d18ab31e-8fcd-11eb-924d-9cd76263cbd0,species,echinatum,Mesophlebion,,"(Mett.) Holttum",0,1975,,"Blumea 22: 226 (1975)",,Q96027555,,d18a9686-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:17444540-1,wfo-0001118321,4083421,,
d18cbd76-8fcd-11eb-924d-9cd76263cbd0,species,endertii,Mesophlebion,,"(C.Chr.) Holttum",0,1975,,"Blumea 22: 228 (1975)",,Q96027555,,d18c9b16-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:17444550-1,wfo-0001118335,4083414,,
2f6f3082-8fbe-11eb-924d-9cd76263cbd0,species,falcatilobum,Mesophlebion,,Holttum,0,1982,,"Fl. Males., Ser. 2, Pterid. 1(5): 382 (1982)",,,,,,urn:lsid:ipni.org:names:17503670-1,wfo-0000152490,7321340,,
692dfb10-1d4d-11ec-82c2-f14daa6f2d93,variety,apiculatum,Mesophlebion,falcatilobum,Holttum,,,,"Fl. Males., Ser. 2, Pterid. 1(5): 382. 1982",,,,,,urn:lsid:ipni.org:names:17519650-1,wfo-0001375114,,,
d18b67e6-8fcd-11eb-924d-9cd76263cbd0,species,hallieri,Mesophlebion,,"(Christ) Holttum",0,1975,,"Blumea 22: 227 (1975)",,Q96027555,,,,urn:lsid:ipni.org:names:17444560-1,wfo-0001118327,4083384,,
d18cf98a-8fcd-11eb-924d-9cd76263cbd0,species,motleyanum,Mesophlebion,,"(Hook.) Holttum",0,1974,,"Companion Handb. Ferns Brit. India 209. 1974 (1974)",,,,d18cdb76-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:17444570-1,wfo-0001118337,4083373,,
d18c2438-8fcd-11eb-924d-9cd76263cbd0,species,oligodictyon,Mesophlebion,,"(Baker) Holttum",0,1975,,"Blumea 22: 227 (1975)",,Q96027555,,,,urn:lsid:ipni.org:names:17444580-1,wfo-0001118330,4083361,,
d18d8f30-8fcd-11eb-924d-9cd76263cbd0,species,pallescens,Mesophlebion,,"(Brause) Holttum",0,1975,,"Blumea 22: 230 (1975)",,Q96027555,,d18d7126-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:17444590-1,wfo-0001118342,4083351,,
d18aecf8-8fcd-11eb-924d-9cd76263cbd0,species,persquamiferum,Mesophlebion,,"(Alderw.) Holttum",0,1975,,"Blumea 22: 226 (1975)",,Q96027555,,,,urn:lsid:ipni.org:names:17444600-1,wfo-0001118323,4083340,,
d18de912-8fcd-11eb-924d-9cd76263cbd0,species,rufescens,Mesophlebion,,Holttum,0,1975,,"Blumea 22: 230 (1975)",,Q96027555,,,,urn:lsid:ipni.org:names:17444610-1,wfo-0001118343,4083327,,
d18c5fd4-8fcd-11eb-924d-9cd76263cbd0,species,teuscheri,Mesophlebion,,"(Alderw.) Holttum",0,1975,,"Blumea 22: 228 (1975)",,Q96027555,,d18c4238-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:17444620-1,wfo-0001118332,4083317,,
d18b2cb8-8fcd-11eb-924d-9cd76263cbd0,species,trichopodum,Mesophlebion,,"(C.Chr.) Holttum",0,1975,,"Blumea 22: 226. 1975",,Q96027555,,,,urn:lsid:ipni.org:names:17444630-1,wfo-0001118325,4083298,,
2f8ad620-8fbe-11eb-924d-9cd76263cbd0,species,vinosicarpum,Mesophlebion,,"(Alderw.) Holttum",0,1975,,"Blumea 22: 229 (1975)",,Q96027555,,,,urn:lsid:ipni.org:names:17444640-1,wfo-0000152492,4083287,,
