id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e6bae016-8fd1-11eb-924d-9cd76263cbd0,genus,Microtea,,,Sw.,0,1788,,"Prodr. Veg. Ind. Occ. : 53 (1788)",,,Q2712448,,,urn:lsid:ipni.org:names:31928-1,wfo-4000024242,6412817,,
6b0c6fc0-8fcc-11eb-924d-9cd76263cbd0,species,bahiensis,Microtea,,"Marchior. & J.C.Siqueira",0,1998,,"Pesquisas, Bot. 48: 11 (1998)",,,,,,urn:lsid:ipni.org:names:1002082-1,wfo-0000448588,4192753,,
c530ac2c-8fcd-11eb-924d-9cd76263cbd0,species,burchellii,Microtea,,"(Hook.f.) N.E.Br.",0,1909,,"Bull. Misc. Inform. Kew 1909: 135 (1909)",,,Q5735532,,,urn:lsid:ipni.org:names:676289-1,wfo-0001091607,8258669,,
6b0c54cc-8fcc-11eb-924d-9cd76263cbd0,species,celosioides,Microtea,,Moq.,0,1849,,"Prodr. [A. P. de Candolle] 13(2): 18. 1849 [5 May 1849]",,,Q2712448,,,urn:lsid:ipni.org:names:676290-1,wfo-0000448587,4192738,,
6b061d0a-8fcc-11eb-924d-9cd76263cbd0,species,debilis,Microtea,,Sw.,0,1788,,"Prodr. Veg. Ind. Occ. : 53 (1788)",,,Q2712448,,,urn:lsid:ipni.org:names:676291-1,wfo-0000448544,6412855,,
c52aa584-8fcd-11eb-924d-9cd76263cbd0,variety,ovata,Microtea,debilis,"Delile ex Moq.",0,1849,,"Prodr. 13(2): 17 (1849)",,,Q2712448,,,urn:lsid:ipni.org:names:160685-2,wfo-0001091555,4192727,,
c52ac208-8fcd-11eb-924d-9cd76263cbd0,variety,rhombifolia,Microtea,debilis,Moq.,0,1849,,"Prodr. 13(2): 17 (1849)",,,Q2712448,,,urn:lsid:ipni.org:names:160686-2,wfo-0001091556,4192720,,
6b05eef2-8fcc-11eb-924d-9cd76263cbd0,species,foliosa,Microtea,,Chodat,0,1903,,"Bull. Herb. Boissier , sér. 2, 3: 418 (1903)",,,Q2378336,,,urn:lsid:ipni.org:names:160687-2,wfo-0000448543,4192711,,
c5261b72-8fcd-11eb-924d-9cd76263cbd0,species,glochidiata,Microtea,,Moq.,0,1849,,"Prodr. 13(2): 18 (1849)",,,Q2712448,,,urn:lsid:ipni.org:names:676293-1,wfo-0001091517,4192697,,
c530cb6c-8fcd-11eb-924d-9cd76263cbd0,species,gracilis,Microtea,,A.W.Hill,,1910,,"Bull. Misc. Inform. Kew 1910: 56 (1910)",,Q55783305,Q5735532,,,urn:lsid:ipni.org:names:676294-1,wfo-0001091608,7755662,,
6b077aba-8fcc-11eb-924d-9cd76263cbd0,species,lanceolata,Microtea,,"Delile ex Moq.",0,1849,,"Hort. Monsp. (1827); ex Moq. in DC. Prod. xiii. II. 17.",,,,,,urn:lsid:ipni.org:names:676295-1,wfo-0000448550,7370431,,
c5264070-8fcd-11eb-924d-9cd76263cbd0,species,longebracteata,Microtea,,H.Walter,0,1909,,"Pflanzenr. , IV, 83: 129 (1909)",,,,,,urn:lsid:ipni.org:names:160689-2,wfo-0001091518,4192666,,
6b0a460a-8fcc-11eb-924d-9cd76263cbd0,species,maypurensis,Microtea,,"(Kunth) G.Don",0,1839,,"Hort. Brit. , ed. 2: 98 (1839)",,,,,,urn:lsid:ipni.org:names:676297-1,wfo-0000448571,7309635,,
6dc37aba-8fcc-11eb-924d-9cd76263cbd0,variety,angustifolia,Microtea,maypurensis,Moq.,0,1849,,"Prodr. 13(2): 18 (1849)",,,Q2712448,,,urn:lsid:ipni.org:names:160690-2,wfo-0000453418,4192642,,
6b0a2b70-8fcc-11eb-924d-9cd76263cbd0,species,ovata,Microtea,,"Delile ex Moq.",0,1849,,"Hort. Monsp. (1827); ex Moq. in DC. Prod. xiii. II. 17.",,,,,,urn:lsid:ipni.org:names:676298-1,wfo-0000448570,8113028,,
6b09f1be-8fcc-11eb-924d-9cd76263cbd0,species,paniculata,Microtea,,Moq.,0,1849,,"Prodr. 13(2): 18 (1849)",,,Q2712448,,,urn:lsid:ipni.org:names:676299-1,wfo-0000448568,7309623,,
ba47974a-8fd1-11eb-924d-9cd76263cbd0,variety,latifolia,Microtea,paniculata,Kuntze,0,1898,,"Revis. Gen. Pl. 3(2): 268 (1898)",,,Q7318442,,,urn:lsid:ipni.org:names:160691-2,wfo-0001243463,4192625,,
6b09d530-8fcc-11eb-924d-9cd76263cbd0,species,papillosa,Microtea,,"Marchior. & J.C.Siqueira",0,1998,,"Pesquisas, Bot. 48: 30 (1998)",,,,,,urn:lsid:ipni.org:names:1002083-1,wfo-0000448567,4192601,,
c530e886-8fcd-11eb-924d-9cd76263cbd0,species,polystachya,Microtea,,"(Turcz.) N.E.Br.",0,1909,,"Bull. Misc. Inform. Kew 1909: 135 (1909)",,Q55781399,Q5735532,,,urn:lsid:ipni.org:names:676300-1,wfo-0001091609,4192595,,
c5310780-8fcd-11eb-924d-9cd76263cbd0,species,polystachya,Microtea,,Turcz.,0,,,,,,,,,,wfo-0001091610,7611091,,
c5293406-8fcd-11eb-924d-9cd76263cbd0,species,portoricensis,Microtea,,Urb.,0,1885,,"Ber. Deutsch. Bot. Ges. 3: 324 (1885)",,Q102247505,,,,urn:lsid:ipni.org:names:676301-1,wfo-0001091542,3083815,,
6c4a0762-8fcc-11eb-924d-9cd76263cbd0,species,scabrida,Microtea,,Urb.,0,1885,,"Ber. Deutsch. Bot. Ges. 3: 325 (1885)",,Q102247505,,,,urn:lsid:ipni.org:names:676302-1,wfo-0000450786,4192576,,
ba47b798-8fd1-11eb-924d-9cd76263cbd0,species,scandens,Microtea,,Rusby,0,1927,,"Mem. New York Bot. Gard. 7: 239 (1927)",,,,,,urn:lsid:ipni.org:names:160695-2,wfo-0001243464,4192560,,
6c029238-8fcc-11eb-924d-9cd76263cbd0,species,sprengelii,Microtea,,Moq.,0,1849,,"Prodr. 13(2): 19 (1849)",,,Q2712448,,,urn:lsid:ipni.org:names:676304-1,wfo-0000450310,4192551,,
c5265f60-8fcd-11eb-924d-9cd76263cbd0,species,sulcicaulis,Microtea,,Chodat,0,1903,,"Bull. Herb. Boissier , sér. 2, 3: 419 (1903)",,,Q2378336,,,urn:lsid:ipni.org:names:160696-2,wfo-0001091519,4192534,,
c5267d38-8fcd-11eb-924d-9cd76263cbd0,species,tenuifolia,Microtea,,Moq.,0,1849,,"Prodr. 13(2): 18 (1849)",,,Q2712448,,,urn:lsid:ipni.org:names:676306-1,wfo-0001091520,4192529,,
c531625c-8fcd-11eb-924d-9cd76263cbd0,species,tenuissima,Microtea,,"(Hook.f.) N.E.Br.",0,1909,,"Bull. Misc. Inform. Kew 1909: 134 (1909)",,Q55781399,Q5735532,,,urn:lsid:ipni.org:names:676307-1,wfo-0001091613,4192522,,
