id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e6d0e014-8fd1-11eb-924d-9cd76263cbd0,genus,Modiola,,,Moench,0,1794,,"Methodus : 619 (1794)",,,,,,urn:lsid:ipni.org:names:30017390-2,wfo-4000024525,3152522,,
6c269228-8fcc-11eb-924d-9cd76263cbd0,species,caroliniana,Modiola,,"(L.) G.Don",0,1831,,"Gen. Hist. 1: 466 (1831)",,,,,,urn:lsid:ipni.org:names:30017389-2,wfo-0000450540,8338793,,
68a7c98c-1d4d-11ec-82c2-f14daa6f2d93,variety,erecta,Modiola,caroliniana,Thell.,,,,"Fl. Adv. Montpellier : 373 (1912)",,,,,,urn:lsid:ipni.org:names:162946-2,wfo-0001374422,,,
4121c6c4-1d4d-11ec-82c2-f14daa6f2d93,form,parvula,Modiola,caroliniana,R.E.Fr.,,,,"Kongl. Svenska Vetensk. Acad. Handl. , ser. 3, 24(2): 11 (1947)",,,,,,urn:lsid:ipni.org:names:162947-2,wfo-0001320554,,,
6c2ae6a2-8fcc-11eb-924d-9cd76263cbd0,species,decumbens,Modiola,,G.Don,0,1831,,"Gen. Hist. 1: 466 (1831)",,,,,,urn:lsid:ipni.org:names:562417-1,wfo-0000450567,3935822,,
6c26b226-8fcc-11eb-924d-9cd76263cbd0,species,erecta,Modiola,,Lesp.,0,1859,,"Bull. Soc. Bot. France 6: 647 (1859)",,Q55756484,,,,urn:lsid:ipni.org:names:562418-1,wfo-0000450541,3935815,,
ca65a4dc-8fd1-11eb-924d-9cd76263cbd0,species,eriocarpa,Modiola,,G.Don,0,1831,,"Gen. Hist. 1: 466 (1831)",,,,,,urn:lsid:ipni.org:names:562419-1,wfo-0001273388,3935810,,
6c267072-8fcc-11eb-924d-9cd76263cbd0,species,fissistipula,Modiola,,C.Presl,0,1845,,"Abh. Königl. Böhm. Ges. Wiss. , ser. 5, 3: 449 (1845)",,,,,,urn:lsid:ipni.org:names:562420-1,wfo-0000450539,3935807,,
cd80f7a2-8fd1-11eb-924d-9cd76263cbd0,species,geranioides,Modiola,,Walp.,0,,,"Repert. Bot. Syst. (Walpers) i. 296.",,,,,,urn:lsid:ipni.org:names:562421-1,wfo-0001278964,3935800,,
cd81126e-8fd1-11eb-924d-9cd76263cbd0,species,laterita,Modiola,,"(Hook.) K.Schum.",0,1891,,"Fl. Bras. 12(3): 455 (1891)",,,,c6c30bb2-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:162950-2,wfo-0001278965,7674631,,
6de613a4-8fcc-11eb-924d-9cd76263cbd0,species,macropodia,Modiola,,Phil.,0,1892,,"Anales Univ. Chile 82: 20 (1892)",,Q101007102,,,,urn:lsid:ipni.org:names:162951-2,wfo-0000453663,3935783,,
be8a909a-8fcd-11eb-924d-9cd76263cbd0,species,malvifolia,Modiola,,Griseb.,0,1879,,"Abh. Königl. Ges. Wiss. Göttingen 24: 45. 1879",,,,,,urn:lsid:ipni.org:names:562423-1,wfo-0001076796,3935736,,
6c2632ec-8fcc-11eb-924d-9cd76263cbd0,species,multifida,Modiola,,Moench,0,1794,,"Methodus (Moench) 620. 1794 [4 May 1794]",,,,,,urn:lsid:ipni.org:names:562424-1,wfo-0000450537,3152524,,
bf106ff8-8fcd-11eb-924d-9cd76263cbd0,species,prostrata,Modiola,,A.St.-Hil.,0,1827,,"Fl. Bras. Merid. 1: 211 (1827)",,,,,,urn:lsid:ipni.org:names:562425-1,wfo-0001077995,3935722,,
6c330cc4-8fcc-11eb-924d-9cd76263cbd0,species,reptans,Modiola,,A.St.-Hil.,0,1827,,"Fl. Bras. Merid. 1: 212 (1827)",,,,,,urn:lsid:ipni.org:names:562426-1,wfo-0000450625,3935715,,
bf1089f2-8fcd-11eb-924d-9cd76263cbd0,species,urticifolia,Modiola,,G.Don,0,1831,,"Gen. Hist. 1: 466 (1831)",,,,,,urn:lsid:ipni.org:names:562427-1,wfo-0001077996,3935707,,
