id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e6d11c64-8fd1-11eb-924d-9cd76263cbd0,genus,Moehringia,,,L.,0,1753,,"Sp. Pl. : 359 (1753)",,,,,,urn:lsid:ipni.org:names:30124058-2,wfo-4000024528,3085369,,
347f51d4-8fcc-11eb-924d-9cd76263cbd0,species,alleizettei,Moehringia,,Batt.,0,1917,,"Bull. Soc. Hist. Nat. Afrique N. 8: 217 (1917)",,,Q5735497,,,urn:lsid:ipni.org:names:155701-1,wfo-0000374652,3810650,,
18aaadcc-8fcd-11eb-924d-9cd76263cbd0,species,argenteria,Moehringia,,"Casazza & Minuto",0,2008,,"Candollea 63: 262 (2008)",,,,,,urn:lsid:ipni.org:names:77094831-1,wfo-0000744264,3810645,,
347f7268-8fcc-11eb-924d-9cd76263cbd0,species,bavarica,Moehringia,,"(L.) Gren.",0,1841,,"Mém. Soc. Émul. Doubs 1(Bot.): 37 (1841)",,,,,,urn:lsid:ipni.org:names:155702-1,wfo-0000374653,8041740,,
347f91f8-8fcc-11eb-924d-9cd76263cbd0,species,burnai,Moehringia,,"Rouy & Foucaud",0,1896,,"Fl. France [Rouy & Foucaud] 3: 259. 1896 [Jul-Aug 1896]",,,,,,urn:lsid:ipni.org:names:155705-1,wfo-0000374654,3810627,,
347d6bd0-8fcc-11eb-924d-9cd76263cbd0,species,castellana,Moehringia,,"(J.M.Monts.) Rivas Mart., Cantó & J.M.Pizarro",0,2002,,"Itinera Geobot. 15: 704 (2002)",,,,34742066-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:20009368-1,wfo-0000374641,3810620,,
347f3276-8fcc-11eb-924d-9cd76263cbd0,species,ciliata,Moehringia,,"Dalla Torre",0,1882,,"Anleit. Beob. Alpenpfl. 78 (1882).",,,,,,urn:lsid:ipni.org:names:155707-1,wfo-0000374651,3810607,,
347cb5d2-8fcc-11eb-924d-9cd76263cbd0,species,concarenae,Moehringia,,"F.Fen. & F.Martini",0,1992,,"Candollea 47: 26 (1992)",,,,,,urn:lsid:ipni.org:names:960921-1,wfo-0000374635,3810601,,
347cd3be-8fcc-11eb-924d-9cd76263cbd0,species,coronensis,Moehringia,,Behr,0,1904,,"Allg. Bot. Z. Syst. 10: 65 (1904)",,,,,,urn:lsid:ipni.org:names:155708-1,wfo-0000374636,3810594,,
347cee8a-8fcc-11eb-924d-9cd76263cbd0,species,crassifolia,Moehringia,,"Rouy & Foucaud",0,1896,,"Fl. France 3: 259 (1896)",,,,,,urn:lsid:ipni.org:names:155709-1,wfo-0000374637,3810588,,
