id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e6d29508-8fd1-11eb-924d-9cd76263cbd0,genus,Mokof,,,,,,,,,,,,,,wfo-4000024552,9605995,,
6de5d6be-8fcc-11eb-924d-9cd76263cbd0,species,alnifolia,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,162989-2,wfo-0000453661,3590566,,
6de5b35a-8fcc-11eb-924d-9cd76263cbd0,species,andina,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,162990-2,wfo-0000453660,3590561,,
6de4f960-8fcc-11eb-924d-9cd76263cbd0,species,brasiliensis,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,162991-2,wfo-0000453658,3590554,,
6de3952a-8fcc-11eb-924d-9cd76263cbd0,species,brevipes,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,162992-2,wfo-0000453647,3590550,,
6de4b914-8fcc-11eb-924d-9cd76263cbd0,species,carnosa,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,162993-2,wfo-0000453657,3590545,,
6de631d6-8fcc-11eb-924d-9cd76263cbd0,species,clusiifolia,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,162994-2,wfo-0000453664,3590539,,
6de499c0-8fcc-11eb-924d-9cd76263cbd0,species,congestiflora,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,162995-2,wfo-0000453656,3590533,,
6de47a58-8fcc-11eb-924d-9cd76263cbd0,species,crassifolia,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,162996-2,wfo-0000453655,3590528,,
6de45d34-8fcc-11eb-924d-9cd76263cbd0,species,cuneifolia,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,162997-2,wfo-0000453654,3590522,,
6de43f0c-8fcc-11eb-924d-9cd76263cbd0,species,delicatula,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,162998-2,wfo-0000453653,3590515,,
6de423aa-8fcc-11eb-924d-9cd76263cbd0,species,dentata,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,162999-2,wfo-0000453652,3590510,,
6de40686-8fcc-11eb-924d-9cd76263cbd0,species,elliptica,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,163000-2,wfo-0000453651,3590502,,
6de3ea02-8fcc-11eb-924d-9cd76263cbd0,species,laevigata,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,163001-2,wfo-0000453650,3590495,,
6de3af88-8fcc-11eb-924d-9cd76263cbd0,species,longipes,Mokof,,Kuntze,,1891,,"Revis. Gen. Pl. 1: 63 1891",,,,,,163002-2,wfo-0000453648,3590489,,
6de24170-8fcc-11eb-924d-9cd76263cbd0,species,lorentzii,Mokof,,"(Hieron.) Kuntze",,1898,,"Revis. Gen. Pl. 3(2): 17 1898",,,,,,290842-2,wfo-0000453639,3590485,,
