id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e6daf428-8fd1-11eb-924d-9cd76263cbd0,genus,Monochaetum,,,"(DC.) Naudin","Q123057,Q2245197",1845,,"Ann. Sci. Nat., Bot., sér. 3, 4: 48–49. 1845.",,,,,,1129150-2,wfo-4000024677,3857725,,
b93a8f92-8fd1-11eb-924d-9cd76263cbd0,species,album,Monochaetum,,S.Winkl.,Q6127493,1965,,"Bot. Jahrb. Syst. 83(4): 361, f. 8d 1965",,,,,,163709-2,wfo-0001241481,3859073,,
c0b5c52e-8fcd-11eb-924d-9cd76263cbd0,species,alpestre,Monochaetum,,Naudin,Q2245197,1845,,"Ann. Sci. Nat., Bot., sér. 3, 4: 50 1845",,,,,,573649-1,wfo-0001081739,3859065,,
c1212fa8-8fcd-11eb-924d-9cd76263cbd0,species,amabile,Monochaetum,,Almeda,Q13637561,1978,,"Univ. Calif. Publ. Bot. 75: 60, f. 16 1978",,,,,,163710-2,wfo-0001082673,3859049,,
c120f90c-8fcd-11eb-924d-9cd76263cbd0,species,amistadense,Monochaetum,,Almeda,Q13637561,1993,,"Novon 3(1): 1, f. 1 1993",,Q55773534,,,,306269-2,wfo-0001082671,3859034,,
bd3c4522-8fd1-11eb-924d-9cd76263cbd0,species,angustifolium,Monochaetum,,Cogn.,Q655719,,,"DC. Monogr. Phan. 7: 1181 1891",,,,,,163711-2,wfo-0001248931,3859016,,
bf713766-8fcd-11eb-924d-9cd76263cbd0,species,bonplandii,Monochaetum,,"(Humb. & Bonpl.) Naudin","Q6694,Q405702,Q2245197",1845,,"Ann. Sci. Nat., Bot., sér. 3, 4: 51 1845",,,,c0bc0894-8fcd-11eb-924d-9cd76263cbd0,,573652-1,wfo-0001078867,8663317,,
bf715458-8fcd-11eb-924d-9cd76263cbd0,species,brachyurum,Monochaetum,,Naudin,Q2245197,1850,,"Ann. Sci. Nat., Bot., sér. 3, 14(2): 162 1850",,,,,,573653-1,wfo-0001078868,3858991,,
c0778b2e-8fcd-11eb-924d-9cd76263cbd0,species,bracteolatum,Monochaetum,,Triana,Q2495258,1871,,"Trans. Linn. Soc. London 28(1): 64 1871",,Q55760785,,,,163713-2,wfo-0001081186,3858974,,
ae607b8a-8fcd-11eb-924d-9cd76263cbd0,species,brevifolium,Monochaetum,,Gleason,Q1360735,1929,,"Amer. J. Bot. 16(7): 522 1929",,Q55765786,,,,163714-2,wfo-0001040028,3858960,,
c0bbd05e-8fcd-11eb-924d-9cd76263cbd0,species,calcaratum,Monochaetum,,"(DC.) Triana","Q123057,Q2495258",1871,,"Trans. Linn. Soc. London 28(1): 63 1871",,Q55760785,,bf7e5144-8fcd-11eb-924d-9cd76263cbd0,,573656-1,wfo-0001081793,3858954,,
2a7d3d7a-8fbf-11eb-924d-9cd76263cbd0,species,calvescens,Monochaetum,,Gleason,Q1360735,1941,,"Bull. Torrey Bot. Club 68: 244 1941",,Q55767520,,,,163715-2,wfo-0000158361,3858940,,
a0ec3498-8fbf-11eb-924d-9cd76263cbd0,species,candolleanum,Monochaetum,,Naudin,Q2245197,1845,,"Ann. Sci. Nat., Bot. s 1845",,,,,,573658-1,wfo-0000161089,3858933,,
