id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e713082c-8fd1-11eb-924d-9cd76263cbd0,genus,Nardus,,,L.,Q1043,1753,,"Sp. Pl. 1: 53. 1753. (1 May 1753)",,,,,,18562-1,wfo-4000025341,2702716,,
588cae4a-8fcd-11eb-924d-9cd76263cbd0,species,aristata,Nardus,,L.,Q1043,1762,,"Sp. Pl. ed. 2 78 1762",,,,,,409296-1,wfo-0000881119,4148639,,
588ccb00-8fcd-11eb-924d-9cd76263cbd0,species,articulata,Nardus,,L.,Q1043,1753,,"Sp. Pl. 53 1753",,,,,,409297-1,wfo-0000881120,4148630,,
588ce7f2-8fcd-11eb-924d-9cd76263cbd0,species,ciliaris,Nardus,,L.,Q1043,1753,,"Sp. Pl. 53 1753",,,,,,409298-1,wfo-0000881121,2704347,,
588d1204-8fcd-11eb-924d-9cd76263cbd0,species,ciliata,Nardus,,Lam.,Q82122,1791,,"Tabl. Encycl. 1: 152 1791",,,,,,409299-1,wfo-0000881122,4148613,,
588d703c-8fcd-11eb-924d-9cd76263cbd0,species,dactyloides,Nardus,,"Rol. ex Rottb.","Q1162358,Q2615816",1778,,"Acta Lit. Univ. Hafn. 1: 269 1778",,,,,,409300-1,wfo-0000881123,,,
588d9148-8fcd-11eb-924d-9cd76263cbd0,species,gangitis,Nardus,,L.,Q1043,1753,,"Sp. Pl. 53 1753",,,,,,409301-1,wfo-0000881124,4148592,,
588dca14-8fcd-11eb-924d-9cd76263cbd0,species,glabriculmis,Nardus,,Sakalo,Q21391817,1941,,"Uchen. Zap. Khar'kovsk. Gosud. Univ. Gor'kogo 22 : 153 1941",,,,,,409302-1,wfo-0000881126,4148579,,
588de74c-8fcd-11eb-924d-9cd76263cbd0,species,incurva,Nardus,,Gouan,Q586298,1762,,"Hortus Monsp. 33 1762",,,,,,409303-1,wfo-0000881127,4148570,,
588e040c-8fcd-11eb-924d-9cd76263cbd0,species,indica,Nardus,,L.f.,Q178823,1782,,"Suppl. Pl. 105 1782",,,,,,409304-1,wfo-0000881128,4148558,,
588e2126-8fcd-11eb-924d-9cd76263cbd0,species,monandra,Nardus,,"(Cav.) Raspail","Q545430,Q682230",1825,,"Ann. Sci. Nat. (Paris) 5: 438 1825",,,,607871e8-8fcd-11eb-924d-9cd76263cbd0,,409305-1,wfo-0000881129,4148548,,
588e3e36-8fcd-11eb-924d-9cd76263cbd0,species,scorpioides,Nardus,,Lam.,Q82122,1791,,"Tabl. Encycl. 1: 153 1791",,,,,,409306-1,wfo-0000881130,4148538,,
588e592a-8fcd-11eb-924d-9cd76263cbd0,species,stricta,Nardus,,L.,Q1043,1753,,"Sp. Pl. 53 1753",,,,,,409307-1,wfo-0000881131,2702717,,
588e74b4-8fcd-11eb-924d-9cd76263cbd0,variety,glabriculmis,Nardus,stricta,"(Sakalo) Tzvelev","Q21391817,Q4503394",1976,,"Zlaki SSSR 561 1976",,,,588dca14-8fcd-11eb-924d-9cd76263cbd0,,882619-1,wfo-0000881132,4148514,,
588e9278-8fcd-11eb-924d-9cd76263cbd0,species,thomaea,Nardus,,L.f.,Q178823,1782,,"Suppl. Pl. 105 1782",,,,,,409309-1,wfo-0000881133,4148497,,
e67ec2da-8fcb-11eb-924d-9cd76263cbd0,species,coduva,Narega,,Raf.,Q364857,1838,,"Sylva Tellur. 98 1838",,,,,,757039-1,wfo-0000249447,2910910,,
