id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e714338c-8fd1-11eb-924d-9cd76263cbd0,genus,Nasa,,,Weigend,,"Taxon 55(2): 465. 2006. (22 Jun 2006)",,,,,1007417-1,wfo-4000025356,3231437,
cdd0cf70-8fd1-11eb-924d-9cd76263cbd0,species,aequatoriana,Nasa,,"(Urb. & Gilg) Weigend",,"Revista Peruana Biol. 13(1): 71–72 2006",,,,,77096650-1,wfo-0001279508,5646482,
cdd100e4-8fd1-11eb-924d-9cd76263cbd0,species,amaluzensis,Nasa,,"(Weigend) Weigend",,"Revista Peruana Biol. 13(1): 72 2006",,,,,77096651-1,wfo-0001279509,5646479,
cdd123f8-8fd1-11eb-924d-9cd76263cbd0,species,anderssonii,Nasa,,Weigend,,"Revista Peruana Biol. 13(1): 72 2006",,,,,77096652-1,wfo-0001279510,5646474,
cdd14928-8fd1-11eb-924d-9cd76263cbd0,species,argemonoides,Nasa,,"(Juss.) Weigend",,"Revista Peruana Biol. 13(1): 72 2006",,,,,77096653-1,wfo-0001279511,5646473,
cdd16a3e-8fd1-11eb-924d-9cd76263cbd0,species,aspiazui,Nasa,,"(J.F.Macbr.) Weigend",,"Revista Peruana Biol. 13(1): 72 2006",,,,,77096654-1,wfo-0001279512,5646470,
cdd18aaa-8fd1-11eb-924d-9cd76263cbd0,species,asplundii,Nasa,,Weigend,,"Revista Peruana Biol. 13(1): 72 2006",,,,,77096655-1,wfo-0001279513,5646467,
cdd1a9ae-8fd1-11eb-924d-9cd76263cbd0,species,auca,Nasa,,"(Weigend) Weigend",,"Revista Peruana Biol. 13(1): 72 2006",,,,,77096656-1,wfo-0001279514,5646461,
1aaee048-8fcd-11eb-924d-9cd76263cbd0,species,basilica,Nasa,,"T.Henning & Weigend",,"Bot. J. Linn. Soc. 167: 63 2011",,,,,77114315-1,wfo-0000748464,7501670,
cdd1c6dc-8fd1-11eb-924d-9cd76263cbd0,species,bicornuta,Nasa,,"(Weigend) Weigend",,"Revista Peruana Biol. 13(1): 72 2006",,,,,77096657-1,wfo-0001279515,5646453,
cdd1e5ae-8fd1-11eb-924d-9cd76263cbd0,species,callacallensis,Nasa,,"Weigend & E.Rodr.",,"Revista Peruana Biol. 13(1): 72 2006",,,,,77096658-1,wfo-0001279516,5646447,
cdd20336-8fd1-11eb-924d-9cd76263cbd0,species,campaniflora,Nasa,,"(Triana & Planch. ex Urb. & Gilg) Weigend",,"Revista Peruana Biol. 13(1): 72 2006",,,,,77096659-1,wfo-0001279517,5646442,
cdd221ea-8fd1-11eb-924d-9cd76263cbd0,species,carnea,Nasa,,"(Urb. & Gilg) Weigend",,"Revista Peruana Biol. 13(1): 73 2006",,,,,77096660-1,wfo-0001279518,5646437,
cdd23ea0-8fd1-11eb-924d-9cd76263cbd0,species,carunculata,Nasa,,"(Urb. & Gilg) Weigend",,"Revista Peruana Biol. 13(1): 73 2006",,,,,77096661-1,wfo-0001279519,5646430,
3701e868-8fcc-11eb-924d-9cd76263cbd0,species,chenopodiifolia,Nasa,,"(Desr.) Weigend",,"Arnaldoa 5: 163 1998",,,,,1010177-1,wfo-0000378669,5646424,
cdd25d36-8fd1-11eb-924d-9cd76263cbd0,species,colanii,Nasa,,"Dostert & Weigend",,"Revista Peruana Biol. 13(1): 73 2006",,,,,77096663-1,wfo-0001279520,5646418,
cdd27866-8fd1-11eb-924d-9cd76263cbd0,species,connectans,Nasa,,Weigend,,"Revista Peruana Biol. 13(1): 73 2006",,,,,77096664-1,wfo-0001279521,5646415,
cdd293f0-8fd1-11eb-924d-9cd76263cbd0,species,contumazensis,Nasa,,"Weigend & E.Rodr.",,"Revista Peruana Biol. 13(1): 73 2006",,,,,77096665-1,wfo-0001279522,5646411,
c3bf25ea-8fd1-11eb-924d-9cd76263cbd0,species,cuatrecasasii,Nasa,,Weigend,,"Taxon 55(2): 465 2006",,,,,1007434-1,wfo-0001261037,5646407,
cdd2b286-8fd1-11eb-924d-9cd76263cbd0,species,cymbopetala,Nasa,,"(Urb. & Gilg) Weigend",,"Revista Peruana Biol. 13(1): 73–74 2006",,,,,77096666-1,wfo-0001279523,5646402,
cdd2d28e-8fd1-11eb-924d-9cd76263cbd0,species,dillonii,Nasa,,Weigend,,"Revista Peruana Biol. 13(1): 74 2006",,,,,77096680-1,wfo-0001279524,5646393,
cdd33ac6-8fd1-11eb-924d-9cd76263cbd0,species,dolichostemon,Nasa,,"(Urb. & Gilg) Weigend",,"Revista Peruana Biol. 13(1): 74 2006",,,,,77096681-1,wfo-0001279525,5646389,
18b06f0a-8fcd-11eb-924d-9cd76263cbd0,species,driessleae,Nasa,,Weigend,,"Revista Peru. Biol. 13: 74 2006",,,,,77096935-1,wfo-0000744310,5646384,
cdd396ec-8fd1-11eb-924d-9cd76263cbd0,species,driesslei,Nasa,,Weigend,,"Revista Peruana Biol. 13(1): 74 2006",,,,,,wfo-0001279526,5646380,
