id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
94da53a8-1d4d-11ec-82c2-f14daa6f2d93,genus,Nelumbium,,,Juss.,,,,"Gen. Pl. : 68 (1789)",,,,,,urn:lsid:ipni.org:names:27999-1,wfo-4000025523,,,
3a27a8c0-8fcc-11eb-924d-9cd76263cbd0,species,album,Nelumbium,,"Bercht. & J.Presl",0,1823,,"Prir. Rostlin 1(Nelumb.): 2 (1823)",,,,,,urn:lsid:ipni.org:names:605393-1,wfo-0000382414,3702851,,
3a27841c-8fcc-11eb-924d-9cd76263cbd0,species,asiaticum,Nelumbium,,Rich.,0,1811,,"Ann. Mus. Hist. Nat. 17: 249 (1811)",,,,,,urn:lsid:ipni.org:names:605394-1,wfo-0000382413,3702840,,
3a272d64-8fcc-11eb-924d-9cd76263cbd0,species,caspicum,Nelumbium,,"Fisch. ex DC.",0,1821,,"Syst. Nat. [Candolle] 2: 45. 1821 [late May 1821]",,,,,,urn:lsid:ipni.org:names:605395-1,wfo-0000382411,3702832,,
3a270604-8fcc-11eb-924d-9cd76263cbd0,species,caspium,Nelumbium,,Eichw.,0,1831,,"Pl. Nov. Casp.-Cauc. : 2 (1831)",,,,,,urn:lsid:ipni.org:names:605396-1,wfo-0000382410,3702852,,
3a24f328-8fcc-11eb-924d-9cd76263cbd0,species,codophyllum,Nelumbium,,Raf.,0,1817,,"Fl. Ludov. : 22 (1817)",,,,,,urn:lsid:ipni.org:names:605397-1,wfo-0000382402,3702853,,
3a267f18-8fcc-11eb-924d-9cd76263cbd0,species,discolor,Nelumbium,,Steud.,0,1841,,"Nomencl. Bot.  [Steudel], ed. 2. 2: 188. 1841",,,,,,urn:lsid:ipni.org:names:605398-1,wfo-0000382408,3702844,,
3a259d0a-8fcc-11eb-924d-9cd76263cbd0,species,indicum,Nelumbium,,Poir.,0,1798,,"Encycl. 4: 453 (1798)",,,,,,urn:lsid:ipni.org:names:605400-1,wfo-0000382406,3702828,,
3a27f0e6-8fcc-11eb-924d-9cd76263cbd0,species,indicum,Nelumbium,,Tussac,0,1826,,"Fl. Antill. iii. 83.",,,,,,urn:lsid:ipni.org:names:605399-1,wfo-0000382416,7961504,,
3a257154-8fcc-11eb-924d-9cd76263cbd0,species,jamaicense,Nelumbium,,DC.,0,1821,,"Syst. Nat. 2: 41 (1821)",,,,,,urn:lsid:ipni.org:names:605401-1,wfo-0000382405,3702845,,
3a254df0-8fcc-11eb-924d-9cd76263cbd0,species,javanicum,Nelumbium,,Poir.,0,1788,,"Encycl. 2: 454 (1788)",,,,,,urn:lsid:ipni.org:names:605402-1,wfo-0000382404,3702837,,
5a9f73d0-1d4d-11ec-82c2-f14daa6f2d93,species,lotus,Nelumbium,,Ridl.,,,,"Agric. Bull. Straits & Fed. Mal. States i. 372 (1902), in obs., sphalm.",,,,,,urn:lsid:ipni.org:names:605403-1,wfo-0001354572,,,
3a251b6e-8fcc-11eb-924d-9cd76263cbd0,species,luteum,Nelumbium,,Willd.,0,,,"Sp. Pl., ed. 4 , 2: 1259 (1799)",,,,,,urn:lsid:ipni.org:names:605404-1,wfo-0000382403,2882455,,
3a29e3c4-8fcc-11eb-924d-9cd76263cbd0,species,marginatum,Nelumbium,,Steud.,0,1841,,"Nomencl. Bot.  [Steudel], ed. 2. 2: 188. 1841",,,,,,urn:lsid:ipni.org:names:605405-1,wfo-0000382424,3702838,,
3a2a2cbc-8fcc-11eb-924d-9cd76263cbd0,species,nelumbo,Nelumbium,,Druce,0,1913,,"Rep. Bot. Exch. Club Soc. Brit. Isles 3: 421 (1913 publ. 1914)",,,,,,urn:lsid:ipni.org:names:605406-1,wfo-0000382426,2882452,,
3a26db98-8fcc-11eb-924d-9cd76263cbd0,species,nuciferum,Nelumbium,,Gaertn.,0,1788,,"Fruct. Sem. Pl. i. 73 (Nelumbo).",,,,,,urn:lsid:ipni.org:names:605407-1,wfo-0000382409,3702847,,
3a2b9d22-8fcc-11eb-924d-9cd76263cbd0,species,pentapetalum,Nelumbium,,Willd.,0,,,"Sp. Pl., ed. 4 , 2: 1259 (1799)",,,,,,urn:lsid:ipni.org:names:605408-1,wfo-0000382431,3702833,,
3a2b3918-8fcc-11eb-924d-9cd76263cbd0,species,reniforme,Nelumbium,,Willd.,0,,,"Sp. Pl., ed. 4 , 2: 1260 (1799)",,,,,,urn:lsid:ipni.org:names:605409-1,wfo-0000382430,3702831,,
3a2a9ef4-8fcc-11eb-924d-9cd76263cbd0,species,rheedei,Nelumbium,,C.Presl,0,1835,,"Reliq. Haenk. 2: 83 (1835)",,,,,,urn:lsid:ipni.org:names:605410-1,wfo-0000382429,7435191,,
3a2a7cda-8fcc-11eb-924d-9cd76263cbd0,species,speciosum,Nelumbium,,Willd.,0,,,"Sp. Pl., ed. 4 , 2: 1258 (1799)",,,,,,urn:lsid:ipni.org:names:605411-1,wfo-0000382428,2882450,,
3a2a598a-8fcc-11eb-924d-9cd76263cbd0,species,tamara,Nelumbium,,Sweet,0,1826,,"Hort. Brit. : 14 (1826)",,,,,,urn:lsid:ipni.org:names:605412-1,wfo-0000382427,3702843,,
3a281ada-8fcc-11eb-924d-9cd76263cbd0,species,transversum,Nelumbium,,C.Presl,0,1835,,"Reliq. Haenk. 2: 83 (1835)",,,,,,urn:lsid:ipni.org:names:605413-1,wfo-0000382417,3702849,,
3a2a05fc-8fcc-11eb-924d-9cd76263cbd0,species,turbinatum,Nelumbium,,Blanco,0,1837,,"Fl. Filip. : 458 (1837)",,,,,,urn:lsid:ipni.org:names:605414-1,wfo-0000382425,3702835,,
3a2c5bcc-8fcc-11eb-924d-9cd76263cbd0,species,venosum,Nelumbium,,C.Presl,0,1835,,"Reliq. Haenk. ii. 183, in obs.",,,,,,urn:lsid:ipni.org:names:605415-1,wfo-0000382435,3702846,,
