id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
94e371ea-1d4d-11ec-82c2-f14daa6f2d93,genus,Neobinghamia,,,Backeb.,,1950,,"in Cact. Succ. J. (Los Angeles) 22: 154. 1950.",,,Q6400102,,,,wfo-4000025617,,,
8656d9aa-1d4d-11ec-82c2-f14daa6f2d93,variety,armata,Neobinghamia,×climaxantha,"Rauh & Backeb.",,1957,,"Descr. Cact. Nov. 1: 34. 1957.",,,,,,,wfo-0001432589,,,
8657004c-1d4d-11ec-82c2-f14daa6f2d93,variety,lurinensis,Neobinghamia,×climaxantha,"Rauh & Backeb.",,1957,,"Descr. Cact. Nov. 1: 34. 1957.",,,,,,,wfo-0001432590,,,
8657287e-1d4d-11ec-82c2-f14daa6f2d93,variety,subfusciflora,Neobinghamia,×climaxantha,"Rauh & Backeb.",,1957,,"Descr. Cact. Nov. 1: 34. 1957.",,,,,,,wfo-0001432591,,,
d5d4fade-8fd1-11eb-924d-9cd76263cbd0,variety,superba,Neobinghamia,×multiareolata,"Rauh & Backeb.",0,1958,,"in Sitzungsber. Heidelberger Akad. Wiss., Math.-Naturwiss. Kl.: 444. 1958.",,,,,,,wfo-0001287695,3960719,,
d5d487a2-8fd1-11eb-924d-9cd76263cbd0,species,climaxantha,Neobinghamia,,"(Werderm.) Backeb.",0,1951,,"in Cact. Succ. J. (Los Angeles) 23: 149. 1951.",,,Q6400102,,,,wfo-0001287691,7284770,,
d5d4a6ce-8fd1-11eb-924d-9cd76263cbd0,variety,armata,Neobinghamia,climaxantha,"Rauh & Backeb.",0,1956,,"Descr. Cact. Nov. 1: 34. 1957.",,,,,,,wfo-0001287692,3960765,,
d5d4c32a-8fd1-11eb-924d-9cd76263cbd0,variety,lurinensis,Neobinghamia,climaxantha,"Rauh & Backeb.",0,1958,,"in Sitzungsber. Heidelberger Akad. Wiss., Math.-Naturwiss. Kl.: 441. 1958.",,,,,,,wfo-0001287693,3960756,,
d5d5351c-8fd1-11eb-924d-9cd76263cbd0,species,mirabilis,Neobinghamia,,"Rauh & Backeb.",0,1957,,"Descr. Cact. Nov. 1: 34. 1957.",,,,,,,wfo-0001287697,3941259,,
d5d4df04-8fd1-11eb-924d-9cd76263cbd0,species,multiareolata,Neobinghamia,,"Rauh & Backeb.",0,1957,,"Descr. Cact. Nov. 1: 34. 1957.",,,,,,,wfo-0001287694,7284765,,
d5d519d8-8fd1-11eb-924d-9cd76263cbd0,species,villigera,Neobinghamia,,"Rauh & Backeb.",0,1957,,"Descr. Cact. Nov. 1: 35. 1957.",,,,,,,wfo-0001287696,3960709,,
