id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e742fd48-8fd1-11eb-924d-9cd76263cbd0,genus,Nesaea,,,"Comm. ex Kunth",0,1823,,"Nov. Gen. Sp. 6: 151 (1823)",,,,,,urn:lsid:ipni.org:names:331803-2,wfo-4000025966,5938219,,
c493c976-8fd1-11eb-924d-9cd76263cbd0,species,alata,Nesaea,,Immelman,0,1991,,"Bothalia 21: 44 (1991)",,Q55792454,,,,urn:lsid:ipni.org:names:959561-1,wfo-0001262497,6051505,,
be245136-8fcd-11eb-924d-9cd76263cbd0,species,anagalloides,Nesaea,,"(Sond.) Koehne",0,1882,,"Bot. Jahrb. Syst. 3: 327 (1882)",,,Q5732642,,,urn:lsid:ipni.org:names:553887-1,wfo-0001075946,6051503,,
39112330-8fcc-11eb-924d-9cd76263cbd0,species,andongensis,Nesaea,,"Welw. ex Hiern",0,1871,,"Fl. Trop. Afr. 2: 473 (1871)",,,Q3700392,,,urn:lsid:ipni.org:names:553888-1,wfo-0000381493,6051501,,
3911be8a-8fcc-11eb-924d-9cd76263cbd0,species,angolensis,Nesaea,,"A.Fern. & Diniz",0,1955,,"Bol. Soc. Brot. , sér. 2, 29: 95 (1955)",,,,,,urn:lsid:ipni.org:names:553889-1,wfo-0000381497,6051498,,
c493f752-8fd1-11eb-924d-9cd76263cbd0,species,angustifolia,Nesaea,,Immelman,0,1991,,"Bothalia 21(1): 43 (1991).",,Q55792454,,,,urn:lsid:ipni.org:names:959559-1,wfo-0001262498,7690994,,
3910d146-8fcc-11eb-924d-9cd76263cbd0,species,arnhemica,Nesaea,,"(F.Muell.) F.Muell.",0,1869,,"Fragm. 7: 146 (1871)",,,,,,urn:lsid:ipni.org:names:553891-1,wfo-0000381491,,,
3910a540-8fcc-11eb-924d-9cd76263cbd0,species,aspera,Nesaea,,"(Guill. & Perr.) Koehne",0,1882,,"Bot. Jahrb. Syst. 3: 327 (1882)",,,Q5732642,9b72adb4-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:553892-1,wfo-0000381490,6051490,,
ce119ffa-8fd1-11eb-924d-9cd76263cbd0,species,aurita,Nesaea,,Koehne,0,1907,,"Bot. Jahrb. Syst. 41: 101 (1907)",,,Q5732642,,,urn:lsid:ipni.org:names:553893-1,wfo-0001279924,6051488,,
39125b9c-8fcc-11eb-924d-9cd76263cbd0,species,baumii,Nesaea,,Koehne,0,1903,,"Pflanzenr. , IV, 216: 234 (1903)",,,Q5799603,,,urn:lsid:ipni.org:names:553894-1,wfo-0000381501,6051487,,
3912ab10-8fcc-11eb-924d-9cd76263cbd0,species,bequaertii,Nesaea,,"De Wild.",0,1921,,"Ann. Soc. Sci. Bruxelles 40(2): 117 (1921)",,,,,,urn:lsid:ipni.org:names:553895-1,wfo-0000381503,6051484,,
391148d8-8fcc-11eb-924d-9cd76263cbd0,species,brevipes,Nesaea,,Koehne,0,1882,,"Bot. Jahrb. Syst. 3: 326 (1882)",,,Q5732642,,,urn:lsid:ipni.org:names:553896-1,wfo-0000381494,6051482,,
39136ffa-8fcc-11eb-924d-9cd76263cbd0,species,burttii,Nesaea,,Verdc.,0,1994,,"Fl. Trop. E. Africa , Lythrac.: 18 (1994)",,,,,,urn:lsid:ipni.org:names:980195-1,wfo-0000381508,6051479,,
be1ef47a-8fcd-11eb-924d-9cd76263cbd0,species,calcicola,Nesaea,,H.Perrier,0,1952,,"Notul. Syst. (Paris) 14: 307 (1953)",,,Q6045778,,,urn:lsid:ipni.org:names:553897-1,wfo-0001075899,6051478,,
39134494-8fcc-11eb-924d-9cd76263cbd0,species,candollei,Nesaea,,"Guill. & Perr.",0,1833,,"Fl. Seneg. Tent. i. 307.",,,,,,urn:lsid:ipni.org:names:553898-1,wfo-0000381507,6051477,,
39131c44-8fcc-11eb-924d-9cd76263cbd0,species,capitellata,Nesaea,,C.Presl,0,1828,,"Isis (Oken) 21: 273 (1828)",,,,,,urn:lsid:ipni.org:names:553899-1,wfo-0000381506,6051475,,
3912f552-8fcc-11eb-924d-9cd76263cbd0,species,cinerea,Nesaea,,"A.Fern. & Diniz",0,1957,,"Bol. Soc. Brot. , sér. 2, 31: 158 (1957)",,,,,,urn:lsid:ipni.org:names:553900-1,wfo-0000381505,6051473,,
39128572-8fcc-11eb-924d-9cd76263cbd0,species,cordata,Nesaea,,Hiern,0,1871,,"Fl. Trop. Afr. 2: 475 (1871)",,,Q3700392,,,urn:lsid:ipni.org:names:553901-1,wfo-0000381502,7389001,,
6dcba906-1d4d-11ec-82c2-f14daa6f2d93,variety,villosa,Nesaea,cordata,Koehne,,1900,,"Bot. Jahrb. Syst. 29: 166 (1900)",,,Q5732642,,,urn:lsid:ipni.org:names:60461078-2,wfo-0001381222,,,
39139e80-8fcc-11eb-924d-9cd76263cbd0,species,crassicaulis,Nesaea,,"(Guill. & Perr.) Koehne",0,1882,,"Bot. Jahrb. Syst. 3: 324 (1882)",,,Q5732642,9b7a0820-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:553902-1,wfo-0000381509,6051466,,
39123108-8fcc-11eb-924d-9cd76263cbd0,species,crinipes,Nesaea,,"(F.Muell.) Koehne",0,1882,,"Bot. Jahrb. Syst. 3: 337 (1882)",,,Q5732642,,,urn:lsid:ipni.org:names:553903-1,wfo-0000381500,6051463,,
c494463a-8fd1-11eb-924d-9cd76263cbd0,species,cymosa,Nesaea,,Immelman,0,1991,,"Bothalia 21: 42 (1991)",,Q55792454,,,,urn:lsid:ipni.org:names:959557-1,wfo-0001262499,6051461,,
391209c6-8fcc-11eb-924d-9cd76263cbd0,species,dinteri,Nesaea,,Koehne,0,1900,,"Bot. Jahrb. Syst. 29: 166 (1900)",,,Q5732642,,,urn:lsid:ipni.org:names:553904-1,wfo-0000381499,7286060,,
b006618e-8fcd-11eb-924d-9cd76263cbd0,subspecies,elata,Nesaea,dinteri,A.Fern.,0,1974,,"Bol. Soc. Brot. , sér. 2.A, 48: 122 (1974 publ. 1975)",,,,,,urn:lsid:ipni.org:names:886595-1,wfo-0001043740,6051457,,
