id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e7529302-8fd1-11eb-924d-9cd76263cbd0,genus,Nipponobambusa,,,Muroi,,,,"Hyogo-ken J. Nat. Hist. 6: 89 (1940)",,,,,,urn:lsid:ipni.org:names:18595-1,wfo-4000026154,6431209,,
58c324ca-8fcd-11eb-924d-9cd76263cbd0,species,glabra,Nipponobambusa,,Muroi,0,1940,,"Hyogo-ken J. Nat. Hist. 6: 90 (1940)",,,,4a55a192-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:409510-1,wfo-0000881581,4114226,,
58c34310-8fcd-11eb-924d-9cd76263cbd0,species,hisauchii,Nipponobambusa,,"(Makino) Muroi",0,1961,,"New Keys Jap. Trees 453 1961",,,,,,,wfo-0000881582,5940145,,
58c35e2c-8fcd-11eb-924d-9cd76263cbd0,species,ikegamii,Nipponobambusa,,"(Nakai) Sasamura",0,1960,,"Rep. Fuji Bamboo Gard. 5: 56 (1960)",,,,,,urn:lsid:ipni.org:names:409511-1,wfo-0000881583,4114219,,
58c37fc4-8fcd-11eb-924d-9cd76263cbd0,species,koidzumii,Nipponobambusa,,"(Makino ex Koidz.) Muroi",0,1940,,"Hyogo-ken J. Nat. Hist. 6: 89 (1940)",,,,,,urn:lsid:ipni.org:names:409512-1,wfo-0000881584,4114210,,
58c39c5c-8fcd-11eb-924d-9cd76263cbd0,species,komiyamana,Nipponobambusa,,"(Makino & Hisauti) Muroi",0,1957,,"Rep. Fuji Bamboo Gard. 2: 74 (1957)",,,,6113de12-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:409513-1,wfo-0000881585,4114202,,
58c3b660-8fcd-11eb-924d-9cd76263cbd0,species,reikoana,Nipponobambusa,,Muroi,0,1940,,"Hyogo-ken J. Nat. Hist. 6: 90 (1940)",,,,,,urn:lsid:ipni.org:names:409514-1,wfo-0000881586,4114196,,
58c3d2e4-8fcd-11eb-924d-9cd76263cbd0,species,sadoensis,Nipponobambusa,,"(Makino ex Koidz.) Muroi",0,1940,,"Hyogo-ken J. Nat. Hist. 6: 89 (1940)",,,,5d96b19c-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:409515-1,wfo-0000881587,4114189,,
58c3ebbc-8fcd-11eb-924d-9cd76263cbd0,species,sasakiana,Nipponobambusa,,Muroi,0,1958,,"Jap. Bamboos : 331 (1958)",,,,,,urn:lsid:ipni.org:names:409516-1,wfo-0000881588,4114181,,
58c40570-8fcd-11eb-924d-9cd76263cbd0,species,sawadai,Nipponobambusa,,"(Makino) Muroi",0,1940,,"Hyogo-ken J. Nat. Hist. 6: 89 (1940)",,,,5d96ea9a-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:409517-1,wfo-0000881589,5940017,,
58c41fe2-8fcd-11eb-924d-9cd76263cbd0,species,yamakitensis,Nipponobambusa,,"(Makino) Muroi",0,1942,,"Amatores Herb. 10: 212 (1942)",,,,4a8307ea-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:409518-1,wfo-0000881590,4114165,,
