id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e777cbfe-8fd1-11eb-924d-9cd76263cbd0,genus,Odonia,,,,,,,,,,,wfo-4000026569,2945599,
b38fc80e-8fcd-11eb-924d-9cd76263cbd0,species,acapulcensis,Odonia,,"(Rose) Rose",,"Contr. U.S. Natl. Herb. 10(3): 102 1906",,,,,172111-2,wfo-0001051827,5611921,
b38fe42e-8fcd-11eb-924d-9cd76263cbd0,species,brachystachys,Odonia,,"(Benth.) Rose",,"Contr. U.S. Natl. Herb. 10(3): 102 1906",,,,,172112-2,wfo-0001051828,5611479,
b2c9c1ca-8fc0-11eb-924d-9cd76263cbd0,species,incana,Odonia,,Rose,,,,,,,,wfo-0000167570,5361754,
b3900346-8fcd-11eb-924d-9cd76263cbd0,species,multiflora,Odonia,,"(B.L.Rob.) Rose",,"Contr. U.S. Natl. Herb. 10(3): 102 1906",,,,,172114-2,wfo-0001051829,5611487,
ba91d3d6-8fc3-11eb-924d-9cd76263cbd0,species,retusa,Odonia,,Rose,,,,,,,,wfo-0000184374,5361740,
3b80a6fe-8fcc-11eb-924d-9cd76263cbd0,species,speciosa,Odonia,,Spreng.,,"Syst. Veg. 4(2): 279 1827",,,,,509805-1,wfo-0000384237,5628506,
ba9daa6c-8fc3-11eb-924d-9cd76263cbd0,species,tomentosa,Odonia,,Bertol.,,,,,,,172116-2,wfo-0000184375,5361738,
a86cc7e8-8fc7-11eb-924d-9cd76263cbd0,species,trinervia,Odonia,,"(DC.) Spreng.",,,,,,,,wfo-0000203798,5355402,
b3a70f12-8fc0-11eb-924d-9cd76263cbd0,species,viridiflora,Odonia,,Rose,,,,,,,,wfo-0000167590,5361750,
b39022a4-8fcd-11eb-924d-9cd76263cbd0,species,wrightii,Odonia,,"(A.Gray) Rose",,"Contr. U.S. Natl. Herb. 10(3): 102 1906",,,,,172118-2,wfo-0001051830,5611912,
