id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e787d918-8fd1-11eb-924d-9cd76263cbd0,genus,Olmediella,,,Baill.,0,1880,,"Bull. Mens. Soc. Linn. Paris 1: 253 (1880)",,,,,,urn:lsid:ipni.org:names:40916-1,wfo-4000026771,3878799,,
5fc1081e-8fcd-11eb-924d-9cd76263cbd0,species,betschleriana,Olmediella,,"(Göpp.) Loes.",0,1905,,"Notizbl. Königl. Bot. Gart. Berlin 4: 181 (1905)",,Q55776728,,116cdbb6-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:173755-2,wfo-0000895386,3879763,,
b88b0da0-8fcd-11eb-924d-9cd76263cbd0,species,cesatiana,Olmediella,,Baill.,0,1880,,"Bull. Mens. Soc. Linn. Paris 1: 253 (1880)",,,,,,urn:lsid:ipni.org:names:854827-1,wfo-0001063104,3879755,,
b88af2b6-8fcd-11eb-924d-9cd76263cbd0,species,ilicifolia,Olmediella,,Baill.,0,1880,,"Bull. Mens. Soc. Linn. Paris 1: 253 (1880)",,,,,,urn:lsid:ipni.org:names:854828-1,wfo-0001063103,3879748,,
3ef5a32a-8fcc-11eb-924d-9cd76263cbd0,species,calophylla,Olmedioperebea,,"(Poepp. & Endl.) Ducke",0,1939,,"Arq. Serv. Florest. 1(1): 14 (1939)",,,,3eceba9e-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:173756-2,wfo-0000389011,3766348,,
3ef56f72-8fcc-11eb-924d-9cd76263cbd0,species,sclerophylla,Olmedioperebea,,Ducke,0,1922,,"Arch. Jard. Bot. Rio de Janeiro 3: 34 (1922)",,,,,,urn:lsid:ipni.org:names:173757-2,wfo-0000389010,3766337,,
c21a0268-8fcd-11eb-924d-9cd76263cbd0,species,coriacea,Olmediophaena,,H.Karst.,0,1887,,"Bot. Jahrb. Syst. 8: 375 (1887)",,,,,,urn:lsid:ipni.org:names:173758-2,wfo-0001084846,3766316,,
3ef472de-8fcc-11eb-924d-9cd76263cbd0,species,maxima,Olmediophaena,,Ducke,0,1939,,"Arq. Serv. Florest. 1(1): 13 (1939)",,,,,,urn:lsid:ipni.org:names:173759-2,wfo-0000389003,3766308,,
3ef44dfe-8fcc-11eb-924d-9cd76263cbd0,species,obliqua,Olmediophaena,,"(Huber) Ducke",0,1939,,"Arq. Serv. Florest. 1(1): 12 (1939)",,,,3ef72a24-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:173760-2,wfo-0000389002,3766298,,
3ef42cde-8fcc-11eb-924d-9cd76263cbd0,species,lanceolata,Olmediopsis,,H.Karst.,0,1862,,"Fl. Columb. 2: 17 (1862)",,,,,,urn:lsid:ipni.org:names:854829-1,wfo-0000389001,3766276,,
3ef3e120-8fcc-11eb-924d-9cd76263cbd0,species,obliqua,Olmediopsis,,H.Karst.,0,1862,,"Fl. Columb. 2: 17 (1862)",,,,,,urn:lsid:ipni.org:names:854830-1,wfo-0000388999,3766268,,
