id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
0b015f00-9bac-11eb-a8a2-19ed5c03f8d3,genus,Onygena,,,Pers.,Q346451,1800,,"Observ. mycol. (Lipsiae) 2: 77 (1800)",,,,0b015f00-9bac-11eb-a8a2-19ed5c03f8d3,,,,,3574," "
e7676df4-9bac-11eb-a8a2-19ed5c03f8d3,species,alpina,Onygena,,"(Fresen.) Rytz",Q77670,,,,,,,f911edea-9bac-11eb-a8a2-19ed5c03f8d3,,,,,256506," "
84e7fab8-9bac-11eb-a8a2-19ed5c03f8d3,species,apus,Onygena,,"Berk. & Broome","Q662338,Q1932460",,,,,,,84e7fab8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,183812," "
7e86579c-9bab-11eb-a8a2-19ed5c03f8d3,species,arietina,Onygena,,"E. Fisch.",,,,,,,,7e86579c-9bab-11eb-a8a2-19ed5c03f8d3,,,,,183688," "
7a2026b0-9bab-11eb-a8a2-19ed5c03f8d3,species,bommerae,Onygena,,"M. Rousseau & Sacc.",Q707840,,,,,,,7a2026b0-9bab-11eb-a8a2-19ed5c03f8d3,,,,,183504," "
8a90cf30-9bac-11eb-a8a2-19ed5c03f8d3,species,caprina,Onygena,,Fuckel,Q66899,1870,,"Jb. nassau. Ver. Naturk. 23-24: (1870)",,,,8a90cf30-9bac-11eb-a8a2-19ed5c03f8d3,,,,,192463," "
8aba5c4c-9bac-11eb-a8a2-19ed5c03f8d3,species,corvina,Onygena,,"Alb. & Schwein.","Q62241,Q1822110",1805,,"Consp. fung. (Leipzig) 113 (1805)",,,,8aba5c4c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,192740," "
8a7858f6-9bac-11eb-a8a2-19ed5c03f8d3,variety,alliacea,Onygena,corvina,"E. Bommer & M. Rousseau",,,,,,,,8a7858f6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,192300," "
a5e6d842-9bac-11eb-a8a2-19ed5c03f8d3,variety,corvina,Onygena,corvina,"Alb. & Schwein.","Q62241,Q1822110",1805,,"Consp. fung. (Leipzig) 113 (1805)",,,,a5e6d842-9bac-11eb-a8a2-19ed5c03f8d3,,,,,423485," "
e98a5c7c-9bac-11eb-a8a2-19ed5c03f8d3,species,decorticata,Onygena,,Pers.,Q346451,1800,,"Observ. mycol. (Lipsiae) 2: 72, tab. 6:9 (1800)",,,,e98a5c7c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,496136," "
542e9b3e-9bac-11eb-a8a2-19ed5c03f8d3,species,equina,Onygena,,"(Willd.) Pers.","Q76353,Q346451",1800,,"Observ. mycol. (Lipsiae) 2: 71 (1800)",,,,,,,,,192645," "
a0c095e2-9bac-11eb-a8a2-19ed5c03f8d3,variety,equina,Onygena,equina,"(Willd.) Pers.","Q76353,Q346451",1800,,"Observ. mycol. (Lipsiae) 2: 71 (1800)",,,,a0c095e2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,423551," "
7efde102-9bad-11eb-a8a2-19ed5c03f8d3,variety,mougeotii,Onygena,equina,Roum.,Q5756196,,,,,,,7efde102-9bad-11eb-a8a2-19ed5c03f8d3,,,,,192510," "
7be67f6a-9bad-11eb-a8a2-19ed5c03f8d3,species,faginea,Onygena,,Nees,Q76349,1816,,"Syst. Pilze (Würzburg) 25 (1816)",,,,7be67f6a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,192380," "
596af714-9bac-11eb-a8a2-19ed5c03f8d3,species,friesii,Onygena,,"(Weinm.) Weinm.",Q67124,,,,,,,ca21e1e8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,529071," "
8a884720-9bac-11eb-a8a2-19ed5c03f8d3,species,hypsipus,Onygena,,Ditmar,,,,,,,,8a884720-9bac-11eb-a8a2-19ed5c03f8d3,,,,,192561," "
105482a2-9bac-11eb-a8a2-19ed5c03f8d3,species,lycoperdon,Onygena,,Schwein.,Q1822110,,,,,,,105482a2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,192760," "
8349c8c6-9bac-11eb-a8a2-19ed5c03f8d3,species,mutata,Onygena,,Quél.,,,,,,,,8349c8c6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,181066," "
fac4d026-9bac-11eb-a8a2-19ed5c03f8d3,species,piligena,Onygena,,Fr.,Q15405,1829,,"Syst. mycol. (Lundae) 3(1): 208 (1829)",,,,fac4d026-9bac-11eb-a8a2-19ed5c03f8d3,,,,,181160," "
837aadce-9bac-11eb-a8a2-19ed5c03f8d3,variety,murina,Onygena,piligena,Sommerf.,Q4428698,,,,,,,837aadce-9bac-11eb-a8a2-19ed5c03f8d3,,,,,181435," "
7bb025f0-9bad-11eb-a8a2-19ed5c03f8d3,variety,ovina,Onygena,piligena,Schumach.,Q66153,,,,,,,7bb025f0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,181330," "
51cfcde4-9bad-11eb-a8a2-19ed5c03f8d3,variety,piligena,Onygena,piligena,Fr.,Q15405,1829,,"Syst. mycol. (Lundae) 3(1): 208 (1829)",,,,51cfcde4-9bad-11eb-a8a2-19ed5c03f8d3,,,,,423350," "
835c388a-9bac-11eb-a8a2-19ed5c03f8d3,species,ungulina,Onygena,,Rostr.,Q4994146,,,,,,,835c388a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,181232," "
