id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e7a704c8-8fd1-11eb-924d-9cd76263cbd0,genus,Origanum,,,L.,Q1043,1753,,"Sp. Pl. 2: 588. 1753. (1 May 1753)",,,,,,21080-1,wfo-4000027145,2926611,,
ed65f064-8fcb-11eb-924d-9cd76263cbd0,species,aciculare,Origanum,,"(Waldst. & Kit.) Kuntze","Q78816,Q583036,Q62853",1891,,"Revis. Gen. Pl. 2: 528 1891",,,,,,453182-1,wfo-0000260526,3895424,,
ed66428a-8fcb-11eb-924d-9cd76263cbd0,species,acinifolium,Origanum,,"Wallr. ex Benth.","Q71374,Q731808",1835,,"Labiat. Gen. Spec. 728 1835",,,,,,453184-1,wfo-0000260527,3895410,,
ed6665d0-8fcb-11eb-924d-9cd76263cbd0,species,acutidens,Origanum,,"(Hand.-Mazz.) Ietsw.","Q134118,Q5924048",1980,,"Leiden Bot. Ser. 4: 62 1980",,,,8785bf5c-8fcd-11eb-924d-9cd76263cbd0,,453185-1,wfo-0000260528,3895404,,
ed668718-8fcb-11eb-924d-9cd76263cbd0,species,adanense,Origanum,,"Baser & H.Duman",Q16298888,1998,,"Turkish J. Bot. 22: 55 1998",,,,,,,wfo-0000260529,3895399,,
ed66a5a4-8fcb-11eb-924d-9cd76263cbd0,species,adonidis,Origanum,,Mouterde,Q6067241,1935,,"Ann. Fac. Franc. Med. Beyrouth 6(Reimpr.): 4 1935",,,,,,453186-1,wfo-0000260530,3895374,,
ed66c142-8fcb-11eb-924d-9cd76263cbd0,species,aegyptiacum,Origanum,,L.,Q1043,1753,,"Sp. Pl. 588 1753",,,,,,453187-1,wfo-0000260531,3895368,,
ed66dc72-8fcb-11eb-924d-9cd76263cbd0,species,aestivum,Origanum,,"(Reut. ex Willk.) Kuntze","Q2609755,Q64566,Q62853",1891,,"Revis. Gen. Pl. 2: 528 1891",,,,,,453188-1,wfo-0000260532,3895357,,
ed66fa90-8fcb-11eb-924d-9cd76263cbd0,species,akhdarense,Origanum,,"Ietsw. & Boulos","Q5924048,Q5981584",1975,,"Acta Bot. Neerl. 23: 285 1975",,Q55760997,,,,453189-1,wfo-0000260533,3895349,,
ed673578-8fcb-11eb-924d-9cd76263cbd0,species,albicans,Origanum,,"(Hoffmanns. & Link) Kuntze","Q76697,Q215466,Q62853",1891,,"Revis. Gen. Pl. 2: 528 1891",,,,1596ee3a-8fcc-11eb-924d-9cd76263cbd0,,453190-1,wfo-0000260535,3895345,,
ed674f18-8fcb-11eb-924d-9cd76263cbd0,species,albiflorum,Origanum,,K.Koch,Q65130,1849,,"Linnaea 21: 662 1849",,,,,,453191-1,wfo-0000260536,3895337,,
71551444-8fcd-11eb-924d-9cd76263cbd0,variety,congestum,Origanum,albiflorum,K.Koch,Q65130,1849,,"Linnaea 21: 662 1849",,,,,,,wfo-0000915158,7528754,,
ed6768ae-8fcb-11eb-924d-9cd76263cbd0,species,album,Origanum,,Salisb.,Q1358261,1796,,"Prodr. Stirp. Chap. Allerton 85 1796",,,,,,453192-1,wfo-0000260537,3895332,,
