id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
95ab7e1a-1d4d-11ec-82c2-f14daa6f2d93,genus,Ornus,,,Boehm.,,1760,,"Def. Gen. Pl. (ed. 3) 476. 1760.",,,,,,urn:lsid:ipni.org:names:30181753-2,wfo-4000027203,,,
3b0734e4-8fcd-11eb-924d-9cd76263cbd0,species,americana,Ornus,,Bosc.,0,1808,,"Mém. Cl. Sci. Math. Inst. Natl. France 9(2): 216 (1808 publ. 1811)",,,,,,urn:lsid:ipni.org:names:610823-1,wfo-0000817237,3684108,,
3b06f826-8fcd-11eb-924d-9cd76263cbd0,species,cappadocica,Ornus,,A.Dietr.,0,1831,,"Sp. Pl. 1: 249 (1831)",,,,421ab2a6-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:610824-1,wfo-0000817235,3684102,,
3b06dbf2-8fcd-11eb-924d-9cd76263cbd0,species,corymbosa,Ornus,,"hort. ex Lavallée",0,1877,,"Énum. Arbres : 162 (1877)",,,,,,urn:lsid:ipni.org:names:610825-1,wfo-0000817234,3684094,,
3b0682ce-8fcd-11eb-924d-9cd76263cbd0,species,cuspidata,Ornus,,Nieuwl.,0,1914,,"Amer. Midl. Naturalist 3: 187 (1914)",,Q55773085,,4220b408-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:176545-2,wfo-0000817233,3684082,,
3b05373e-8fcd-11eb-924d-9cd76263cbd0,species,dipetala,Ornus,,Nutt.,0,1849,,"N. Amer. Sylv. 3: 66 (1849)",,,,4221fe08-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:610827-1,wfo-0000817222,3683399,,
3b063616-8fcd-11eb-924d-9cd76263cbd0,species,europaea,Ornus,,Pers.,0,1805,,"Syn. Pl. 1: 9 (1805)",,,,,,urn:lsid:ipni.org:names:610828-1,wfo-0000817231,3684074,,
3b05fdc2-8fcd-11eb-924d-9cd76263cbd0,species,floribunda,Ornus,,Sweet,0,1826,,"Hort. Brit. : 271 (1826)",,,,,,urn:lsid:ipni.org:names:610829-1,wfo-0000817229,3684064,,
5aa8f75c-1d4d-11ec-82c2-f14daa6f2d93,species,globifera,Ornus,,"hort. ex Lavallée",,1877,,"Énum. Arbres 163, nomen. 1877",,,,,,urn:lsid:ipni.org:names:610830-1,wfo-0001354627,,,
5aa91d40-1d4d-11ec-82c2-f14daa6f2d93,species,glomerata,Ornus,,"hort. ex Lavallée",,1877,,"Énum. Arbres 163, nomen. 1877",,,,,,urn:lsid:ipni.org:names:610831-1,wfo-0001354628,,,
3b05df68-8fcd-11eb-924d-9cd76263cbd0,species,greggii,Ornus,,Nieuwl.,0,1914,,"Amer. Midl. Naturalist 3: 187 (1914)",,Q55773085,,,,urn:lsid:ipni.org:names:176546-2,wfo-0000817228,3684028,,
3b05c302-8fcd-11eb-924d-9cd76263cbd0,species,lanceolata,Ornus,,"Rouy & Foucaud",0,1897,,"Fl. France 4: 142 (1897)",,,,,,urn:lsid:ipni.org:names:610833-1,wfo-0000817227,3684021,,
3b05a75a-8fcd-11eb-924d-9cd76263cbd0,species,mammifera,Ornus,,Steud.,0,1821,,"Nomencl. Bot. : 575 (1821)",,,,,,urn:lsid:ipni.org:names:610834-1,wfo-0000817226,3684010,,
3b056d26-8fcd-11eb-924d-9cd76263cbd0,species,moorcroftiana,Ornus,,G.Don,0,1837,,"Gen. Hist. 4: 57 (1837)",,,,,,urn:lsid:ipni.org:names:610835-1,wfo-0000817224,3684000,,
3b05534a-8fcd-11eb-924d-9cd76263cbd0,species,nana,Ornus,,"hort. ex Lavallée",0,1877,,"Énum. Arbres : 162 (1877)",,,,,,urn:lsid:ipni.org:names:610836-1,wfo-0000817223,3683993,,
3affc6e6-8fcd-11eb-924d-9cd76263cbd0,species,ornus,Ornus,,H.Karst.,0,1883,,"Deut. Fl. (Karsten) 1045. 1883 [Mar 1883]",,,,42423ba0-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:610838-1,wfo-0000817172,3683977,,
