id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e7c4e808-8fd1-11eb-924d-9cd76263cbd0,genus,Otomeria,,,Benth.,Q731808,1849,,"Niger. Fl. 405. 1849.",,,,,,35035-1,wfo-4000027467,2906091,,
ee0a0000-8fcb-11eb-924d-9cd76263cbd0,species,angolensis,Otomeria,,"(R.D.Good) Verdc.","Q1989490,Q604992",1950,,"J. Linn. Soc., Bot. 53: 383 1950",,Q55760587,,,,758720-1,wfo-0000261578,2906104,,
ee0a1bee-8fcb-11eb-924d-9cd76263cbd0,species,batesii,Otomeria,,Wernham,Q5894710,1916,,"J. Bot. 54: 226 1916",,,,,,758721-1,wfo-0000261579,2906115,,
ee0a364c-8fcb-11eb-924d-9cd76263cbd0,species,blommaertii,Otomeria,,"De Wild.",Q2628388,1932,,"Pl. Bequaert. 5: 429 1932",,,,,,758722-1,wfo-0000261580,2906099,,
ee0a4fe2-8fcb-11eb-924d-9cd76263cbd0,species,calycina,Otomeria,,Hiern,Q3568881,1899,,"J. Bot. 37: 58 1899",,,,,,758723-1,wfo-0000261581,2909088,,
ee0a6ea0-8fcb-11eb-924d-9cd76263cbd0,species,cameronica,Otomeria,,"(Bremek.) Hepper","Q5171231,Q5868529",1960,,"Kew Bull. 14: 253 1960",,Q55783703,,,,758724-1,wfo-0000261582,2906095,,
ee0a8bb0-8fcb-11eb-924d-9cd76263cbd0,species,dilatata,Otomeria,,Hiern,Q3568881,1877,,"Fl. Trop. Afr. 3: 50 1877",,,,,,758725-1,wfo-0000261583,2906108,,
ee0aab22-8fcb-11eb-924d-9cd76263cbd0,species,elatior,Otomeria,,"(A.Rich.) Verdc.","Q340247,Q604992",1953,,"Bull. Jard. Bot. État 23: 18 1953",,Q55775726,,0d5b4662-8fcc-11eb-924d-9cd76263cbd0,,758726-1,wfo-0000261584,2906105,,
ee0ac51c-8fcb-11eb-924d-9cd76263cbd0,form,speciosa,Otomeria,elatior,"(Baker) Verdc.","Q730330,Q604992",1953,,"Bull. Jard. Bot. État 23: 23 1953",,,,,,,wfo-0000261585,2906107,,
ee0ae632-8fcb-11eb-924d-9cd76263cbd0,species,graciliflora,Otomeria,,"K.Schum. ex De Wild.","Q63545,Q2628388",1906,,"Miss. Ém. Laurent 1: 274 1906",,,,,,758727-1,wfo-0000261586,2906103,,
ee0b6742-8fcb-11eb-924d-9cd76263cbd0,species,guineensis,Otomeria,,Benth.,Q731808,1849,,"Niger Fl. 405 1849",,,,,,758728-1,wfo-0000261587,2906094,,
ee0b9a78-8fcb-11eb-924d-9cd76263cbd0,species,heterophylla,Otomeria,,K.Schum.,Q63545,1903,,"Bot. Jahrb. Syst. 33: 336 1903",,,,,,758729-1,wfo-0000261588,2898335,,
ee0bb972-8fcb-11eb-924d-9cd76263cbd0,species,lanceolata,Otomeria,,Hiern,Q3568881,1877,,"Fl. Trop. Afr. 3: 50 1877",,,,,,758730-1,wfo-0000261589,2906100,,
ee0bd47a-8fcb-11eb-924d-9cd76263cbd0,species,leptocarpa,Otomeria,,S.Moore,Q2975984,1906,,"J. Linn. Soc., Bot. 37: 299 1906",,Q55760446,,,,758731-1,wfo-0000261590,2906101,,
ee0c0dbe-8fcb-11eb-924d-9cd76263cbd0,species,linearifolia,Otomeria,,Bremek.,Q5171231,1948,,"Kew Bull. 3: 461 1948 publ. 1949",,Q55779353,,,,758732-1,wfo-0000261592,2908562,,
ee0c2a9c-8fcb-11eb-924d-9cd76263cbd0,species,madiensis,Otomeria,,Oliv.,Q1161960,1873,,"Trans. Linn. Soc. London 29: 83 1873",,Q55808824,,,,758733-1,wfo-0000261593,2906098,,
ee0c473e-8fcb-11eb-924d-9cd76263cbd0,species,micrantha,Otomeria,,K.Schum.,Q63545,1896,,"Bot. Jahrb. Syst. 23: 423 1896",,,,,,758734-1,wfo-0000261594,2906093,,
ee0c61a6-8fcb-11eb-924d-9cd76263cbd0,species,monticola,Otomeria,,K.Krause,Q5961003,1920,,"Bot. Jahrb. Syst. 57: 26 1920",,,,,,758735-1,wfo-0000261595,2898452,,
ee0c7e48-8fcb-11eb-924d-9cd76263cbd0,species,oculata,Otomeria,,S.Moore,Q2975984,1880,,"J. Bot. 18: 4 1880",,,,,,758736-1,wfo-0000261596,2906092,,
ee0c97b6-8fcb-11eb-924d-9cd76263cbd0,species,rupestris,Otomeria,,Hiern,Q3568881,1899,,"J. Bot. 37: 59 1899",,,,,,758737-1,wfo-0000261597,2909086,,
ee0cb46c-8fcb-11eb-924d-9cd76263cbd0,species,speciosa,Otomeria,,"(Baker) Scott-Elliot",Q730330,1896,,"J. Linn. Soc., Bot. 32: 437 1896",,Q55760378,,,,758738-1,wfo-0000261598,2906111,,
ee0cd136-8fcb-11eb-924d-9cd76263cbd0,species,tenuis,Otomeria,,"A.Chev. ex Hutch. & Dalziel","Q766644,Q253917,Q2917982",1931,,"Fl. W. Trop. Afr. 2: 129 1931",,,,,,,wfo-0000261599,2908566,,
ee0ceefa-8fcb-11eb-924d-9cd76263cbd0,species,volubilis,Otomeria,,"(K.Schum.) Verdc.","Q63545,Q604992",1952,,"Kew Bull. 7: 361 1952",,Q55779667,,f181cfa6-8fcb-11eb-924d-9cd76263cbd0,,758741-1,wfo-0000261600,2906112,,
