id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e7d04428-8fd1-11eb-924d-9cd76263cbd0,genus,Oxystelma,,,R.Br.,,1810,,"Prodr. 462. 1810.",,Q7247677,,,,30086246-2,wfo-4000027595,7310412,,
c1754c38-8fd1-11eb-924d-9cd76263cbd0,species,alpini,Oxystelma,,Decne.,,1844,,"Prodr. 8: 543 1844",,,,,,100195-1,wfo-0001256871,8435071,,
3bfc2086-8fcc-11eb-924d-9cd76263cbd0,species,bifidum,Oxystelma,,Llanos,,1851,,"Fragm. Pl. Filip. 64 1851",,,,,,100196-1,wfo-0000384890,3581938,,
3bfbf8fe-8fcc-11eb-924d-9cd76263cbd0,species,bornouense,Oxystelma,,R.Br.,,1826,,"Narr. Travels Africa 239 1826",,,,,,100197-1,wfo-0000384889,3581932,,
b86be4c6-8fd1-11eb-924d-9cd76263cbd0,species,carnosum,Oxystelma,,R.Br.,,1810,,"Prodr. 462 1810",,Q7247677,,,,100198-1,wfo-0001240025,3581907,,
3bfba43a-8fcc-11eb-924d-9cd76263cbd0,species,caudatum,Oxystelma,,"Buch.-Ham. ex Wall.",,,,"Numer. List 8213 D 1847",,,,,,100199-1,wfo-0000384887,3573346,,
cb412416-8fcd-11eb-924d-9cd76263cbd0,species,esculentum,Oxystelma,,"(L.f.) Sm.",,1813,,"Cycl. 25: (unnumbered) 1813",,Q7247677,,,,60458242-2,wfo-0001104832,,,
c17524c4-8fd1-11eb-924d-9cd76263cbd0,variety,alpini,Oxystelma,esculentum,"(Decne.) N.E.Br.",,1904,,"Fl. Trop. Afr. 4: 382 1904",,,,c1754c38-8fd1-11eb-924d-9cd76263cbd0,,,wfo-0001256870,8053492,,
c174f0c6-8fd1-11eb-924d-9cd76263cbd0,variety,wallichii,Oxystelma,esculentum,"(Wight) T.Cooke",,1904,,"Fl. Bombay 2: 153 1904",,,,,,,wfo-0001256869,7543213,,
bcd09250-8fd1-11eb-924d-9cd76263cbd0,species,gilliesii,Oxystelma,,"(Hook. & Arn.) K.Schum.",,1895,,"Nat. Pflanzenfam. 4(Abt. 2): 229 1895",,,,,,179472-2,wfo-0001248163,3581867,,
cb43e886-8fcd-11eb-924d-9cd76263cbd0,species,hooperianum,Oxystelma,,Blume,,,,"Bijdr. Fl. Ned. Ind. 16: 1053 1826",,,,,,100204-1,wfo-0001104858,3581863,,
cb2fcb30-8fcd-11eb-924d-9cd76263cbd0,species,ovatum,Oxystelma,,"P.T.Li & S.Z.Huang",,1985,,"Guihaia 5(2): 81, f. 3 1985",,,,,,906784-1,wfo-0001104677,3581856,,
b1d2b25c-8fd1-11eb-924d-9cd76263cbd0,species,pulchellum,Oxystelma,,"(Roxb.) D.Dietr.",,,,"Syn. Pl. 2: 902",,,,,,100205-1,wfo-0001227912,3581852,,
3c126e9a-8fcc-11eb-924d-9cd76263cbd0,species,secamone,Oxystelma,,K.Schum.,,1895,,"Nat. Pflanzenfam. 4(2): 229 1895",,,,,,100206-1,wfo-0000385018,,,
3c131d36-8fcc-11eb-924d-9cd76263cbd0,species,secamone,Oxystelma,,H.Karst.,,,,"Deut. Fl. 1031 1883",,,,,,100207-1,wfo-0000385023,7312670,,
be6c4e10-8fd1-11eb-924d-9cd76263cbd0,variety,wallichii,Oxystelma,secamone,"(Wight) M.A.Rahman & Wilcock",,1990,,"Blumea 34(2): 520 1990",,Q96032870,,,,956258-1,wfo-0001251119,3581830,,
3c12429e-8fcc-11eb-924d-9cd76263cbd0,species,senegalense,Oxystelma,,Decne.,,1844,,"Prodr. 8: 543 1844",,,,,,100208-1,wfo-0000385017,3581824,,
cb39fdda-8fcd-11eb-924d-9cd76263cbd0,species,solanoides,Oxystelma,,"(Kunth) K.Schum.",,1895,,"Nat. Pflanzenfam. 4(2): 229 1895",,,,,,179473-2,wfo-0001104764,3581803,,
ad6c261c-8fd1-11eb-924d-9cd76263cbd0,species,vailiae,Oxystelma,,Rusby,,1907,,"Bull. New York Bot. Gard. 4: 315–316 1907",,,,,,100210-1,wfo-0001219881,3581790,,
ca011354-8fcd-11eb-924d-9cd76263cbd0,species,violacea,Oxystelma,,"(Phil.) K.Schum.",,1895,,"Nat. Pflanzenfam. 4(2): 229 1895",,,,,,179475-2,wfo-0001101994,3581770,,
cb4140a4-8fcd-11eb-924d-9cd76263cbd0,species,wallichii,Oxystelma,,Wight,,1834,,"Contr. Bot. India 54 1834",,,,,,100212-1,wfo-0001104833,3581762,,
3c11ec36-8fcc-11eb-924d-9cd76263cbd0,species,zippelianum,Oxystelma,,Blume,,,,"Bijdr. 1053 1826",,,,,,100213-1,wfo-0000385015,3581758,,
da8e1d08-8fd1-11eb-924d-9cd76263cbd0,species,nervosus,Oxystemon,,"Planch. & Triana",,1860,,"Ann. Sci. Nat., Bot., sér. 4, 14: 226 1860",,,,,,428980-1,wfo-0001296253,3715226,,
