id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e7d4ca2a-8fd1-11eb-924d-9cd76263cbd0,genus,Pachycereus,,,"(A.Berger) Britton & Rose","Q61805,Q553714,Q1336049",1909,,"Contr. U.S. Natl. Herb. 12(10): 420. 1909.",,Q14624477,,,,296878-2,wfo-4000027642,3084407,,
4648add4-8fcc-11eb-924d-9cd76263cbd0,species,aragonii,Pachycereus,,"(F.A.C.Weber) P.V.Heath","Q1349350,Q6067280",1992,,"Calyx 2: 106 1992",,,,c4dabb06-8fcc-11eb-924d-9cd76263cbd0,,30412462-2,wfo-0000398269,7282384,,
46488b4c-8fcc-11eb-924d-9cd76263cbd0,variety,palmatus,Pachycereus,aragonii,"(F.A.C.Weber) P.V.Heath","Q1349350,Q6067280",1992,,"Calyx 2: 106 1992",,,,c4daef0e-8fcc-11eb-924d-9cd76263cbd0,,970301-1,wfo-0000398268,3951783,,
c4ff2e78-8fd1-11eb-924d-9cd76263cbd0,species,australis,Pachycereus,,"(K.Brandegee) P.V.Heath","Q451753,Q6067280",1992,,"Calyx 2(3): 107 1992",,,,c55b1ce2-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0001263263,8164080,,
46486b6c-8fcc-11eb-924d-9cd76263cbd0,species,calvus,Pachycereus,,"(Engelm. ex J.M.Coult.) Britton & Rose","Q214946,Q1701075,Q553714,Q1336049",1909,,"Contr. U. S. Natl. Herb. 12: 420 1909",,Q14624477,,c4ea4814-8fcc-11eb-924d-9cd76263cbd0,,179817-2,wfo-0000398267,3951767,,
46484b32-8fcc-11eb-924d-9cd76263cbd0,species,chrysomallus,Pachycereus,,"(Hemsl.) Britton & Rose","Q1339247,Q553714,Q1336049",1909,,"Contr. U. S. Natl. Herb. 12: 421 1909",,Q14624477,,,,179818-2,wfo-0000398266,3951750,,
46482562-8fcc-11eb-924d-9cd76263cbd0,species,columna-trajani,Pachycereus,,"(Karw. ex Pfeiff.) Britton & Rose","Q6167458,Q63727,Q553714,Q1336049",1909,,"Contr. U. S. Natl. Herb. 12: 421 1909",,Q14624477,,c4f831b8-8fcc-11eb-924d-9cd76263cbd0,,179819-2,wfo-0000398265,3951732,,
464804ce-8fcc-11eb-924d-9cd76263cbd0,species,foetidus,Pachycereus,,"(T.MacDoug. & Miranda) P.V.Heath","Q6146019,Q5405844,Q6067280",1992,,"Calyx 2: 108 1992",,,,,,969425-1,wfo-0000398264,3951726,,
4647e50c-8fcc-11eb-924d-9cd76263cbd0,species,fulviceps,Pachycereus,,"(F.A.C.Weber ex K.Schum.) D.R.Hunt","Q1349350,Q63545,Q1176320",1991,,"Bradleya 9: 89 1991",,Q96001742,,45d68c5e-8fcc-11eb-924d-9cd76263cbd0,,963233-1,wfo-0000398263,3951717,,
4647a1aa-8fcc-11eb-924d-9cd76263cbd0,species,gatesii,Pachycereus,,"(M.E.Jones) D.R.Hunt","Q680696,Q1176320",1991,,"Bradleya 9: 89 1991",,Q96001742,,,,963234-1,wfo-0000398261,3951702,,
46475628-8fcc-11eb-924d-9cd76263cbd0,species,gaumeri,Pachycereus,,"Britton & Rose","Q553714,Q1336049",1920,,"Cact. 2: 71 1920",,,,,,137221-1,wfo-0000398260,3951692,,
c4fec67c-8fd1-11eb-924d-9cd76263cbd0,species,gibbosus,Pachycereus,,P.V.Heath,Q6067280,1992,,"Calyx 2(3): 107 1992",,,,,,,wfo-0001263262,8077991,,
4650b1a0-8fcc-11eb-924d-9cd76263cbd0,species,gigas,Pachycereus,,"(Backeb.) Backeb.",Q61900,,,"Cactac.: Handb. Kakteenk. 4: 2154 1960",,,,469bbdee-8fcc-11eb-924d-9cd76263cbd0,,179820-2,wfo-0000398316,3951677,,
465a438c-8fcc-11eb-924d-9cd76263cbd0,species,grandis,Pachycereus,,Rose,Q1336049,1909,,"Contr. U. S. Natl. Herb. 12: 421 1909",,Q14624477,,,,179821-2,wfo-0000398353,7282352,,
469bbdee-8fcc-11eb-924d-9cd76263cbd0,variety,gigas,Pachycereus,grandis,Backeb.,Q61900,1941,,"Beitr. Sukkulentenk. Sukkulentenpflege 1941: 2 1941",,,,,,179822-2,wfo-0000398605,3951650,,
464b9a12-8fcc-11eb-924d-9cd76263cbd0,species,hollianus,Pachycereus,,"(F.A.C.Weber ex J.M.Coult.) Buxb.","Q1349350,Q1701075,Q78998",1961,,"Bot. Stud. 12: 19 1961",,,,c5193afc-8fcc-11eb-924d-9cd76263cbd0,,179823-2,wfo-0000398287,7282346,,
46584546-8fcc-11eb-924d-9cd76263cbd0,species,lepidanthus,Pachycereus,,"(Eichlam) Britton & Rose","Q1458938,Q553714,Q1336049",1920,,"Cact. 2: 76 1920",,,,c5281a2c-8fcc-11eb-924d-9cd76263cbd0,,179824-2,wfo-0000398346,3951612,,
d6cbb3e2-8fd1-11eb-924d-9cd76263cbd0,species,marginatus,Pachycereus,,"(DC.) Britton & Rose","Q123057,Q553714,Q1336049",1909,,"Contr. U.S. Natl. Herb. 12(10): 421–422 1909",,Q14624477,,c52da7f8-8fcc-11eb-924d-9cd76263cbd0,,179825-2,wfo-0001289475,7282321,,
465814cc-8fcc-11eb-924d-9cd76263cbd0,variety,gemmatus,Pachycereus,marginatus,"(Otto ex Pfeiff.) P.V.Heath","Q77650,Q63727,Q6067280",1992,,"Calyx 2: 106 1992",,,,,,970302-1,wfo-0000398345,3951587,,
4657ecf4-8fcc-11eb-924d-9cd76263cbd0,form,gibbosus,Pachycereus,marginatus,"(J.A.Purpus) P.V.Heath","Q1706502,Q6067280",1992,,"Calyx 2: 106 1992",,,,c52e1972-8fcc-11eb-924d-9cd76263cbd0,,970303-1,wfo-0000398344,3951577,,
4657bff4-8fcc-11eb-924d-9cd76263cbd0,variety,oaxacensis,Pachycereus,marginatus,"(Backeb.) P.V.Heath","Q61900,Q6067280",1992,,"Calyx 2: 107 1992",,,,36cd332a-8fcc-11eb-924d-9cd76263cbd0,,970304-1,wfo-0000398343,3951568,,
46578da4-8fcc-11eb-924d-9cd76263cbd0,species,militaris,Pachycereus,,"(Audot) D.R.Hunt","Q15041090,Q1176320",1987,,"Bradleya 5: 93 1987",,Q96001728,,c532a654-8fcc-11eb-924d-9cd76263cbd0,,281915-2,wfo-0000398342,8055601,,
c10018a0-8fd1-11eb-924d-9cd76263cbd0,species,militaris,Pachycereus,,"(Audot) P.V.Heath","Q15041090,Q6067280",1992,,"Calyx 2(3): 108 1992",,,,c532a654-8fcc-11eb-924d-9cd76263cbd0,,969424-1,wfo-0001255993,3951547,,
4656acea-8fcc-11eb-924d-9cd76263cbd0,species,orcuttii,Pachycereus,,"(K.Brandegee) Britton & Rose","Q451753,Q553714,Q1336049",1909,,"Contr. U. S. Natl. Herb. 12: 422 1909",,Q14624477,,c53c9ac4-8fcc-11eb-924d-9cd76263cbd0,,179826-2,wfo-0000398341,3951523,,
4655dab8-8fcc-11eb-924d-9cd76263cbd0,species,pecten-aboriginum,Pachycereus,,"(Engelm. ex S.Watson) Britton & Rose","Q214946,Q960820,Q553714,Q1336049",1909,,"Contr. U. S. Natl. Herb. 12: 422 1909",,Q14624477,,c540671c-8fcc-11eb-924d-9cd76263cbd0,,179827-2,wfo-0000398340,7282300,,
4652c6b6-8fcc-11eb-924d-9cd76263cbd0,subspecies,tehuantepecanus,Pachycereus,pecten-aboriginum,"(T.MacDoug. & Bravo) P.V.Heath","Q6146019,Q445147,Q6067280",1992,,"Calyx 2: 107 1992",,,,465c5b86-8fcc-11eb-924d-9cd76263cbd0,,970312-1,wfo-0000398325,3951505,,
46556858-8fcc-11eb-924d-9cd76263cbd0,species,pringlei,Pachycereus,,"(S.Watson) Britton & Rose","Q960820,Q553714,Q1336049",1909,,"Contr. U. S. Natl. Herb. 12: 422 1909",,Q14624477,,,,179828-2,wfo-0000398337,7282285,,
46587f66-8fcc-11eb-924d-9cd76263cbd0,form,calvus,Pachycereus,pringlei,"(Engelm. ex J.M.Coult.) P.V.Heath","Q214946,Q1701075,Q6067280",1992,,"Calyx 2: 107 1992",,,,c4ea4814-8fcc-11eb-924d-9cd76263cbd0,,970313-1,wfo-0000398347,3951486,,
46551baa-8fcc-11eb-924d-9cd76263cbd0,form,constrictus,Pachycereus,pringlei,P.V.Heath,Q6067280,1992,,"Calyx 2: 107 1992",,,,,,969948-1,wfo-0000398335,3951479,,
4654f594-8fcc-11eb-924d-9cd76263cbd0,form,cristatus,Pachycereus,pringlei,P.V.Heath,Q6067280,1992,,"Calyx 2: 107 1992",,,,,,969949-1,wfo-0000398334,3951474,,
4654be26-8fcc-11eb-924d-9cd76263cbd0,form,gibbosus,Pachycereus,pringlei,P.V.Heath,Q6067280,1992,,"Calyx 2: 107 1992",,,,,,969950-1,wfo-0000398333,3951463,,
4654948c-8fcc-11eb-924d-9cd76263cbd0,species,queretarensis,Pachycereus,,"(F.A.C.Weber ex Mathes.) Britton & Rose","Q1349350,Q553714,Q1336049",1909,,"Contr. U. S. Natl. Herb. 12: 422 1909",,Q14624477,,,,179829-2,wfo-0000398332,3951453,,
46547010-8fcc-11eb-924d-9cd76263cbd0,species,ruficeps,Pachycereus,,"(F.A.C.Weber) Britton & Rose","Q1349350,Q553714,Q1336049",1920,,"Cact. 2: 75 1920",,,,45d52e90-8fcc-11eb-924d-9cd76263cbd0,,137231-1,wfo-0000398331,3951424,,
46544b1c-8fcc-11eb-924d-9cd76263cbd0,species,schottii,Pachycereus,,"(Engelm.) D.R.Hunt","Q214946,Q1176320",1987,,"Bradleya 5: 93 1987",,Q96001728,,,,944017-1,wfo-0000398330,3084408,,
46534352-8fcc-11eb-924d-9cd76263cbd0,variety,australis,Pachycereus,schottii,"(K.Brandegee) P.V.Heath","Q451753,Q6067280",1992,,"Calyx 2: 107 1992",,,,c55b1ce2-8fcc-11eb-924d-9cd76263cbd0,,970305-1,wfo-0000398328,3951399,,
46531cb0-8fcc-11eb-924d-9cd76263cbd0,form,mieckleyanus,Pachycereus,schottii,"(Weing.) P.V.Heath","Q13218574,Q6067280",1992,,"Calyx 2: 107 1992",,,,c5326a90-8fcc-11eb-924d-9cd76263cbd0,,970306-1,wfo-0000398327,3951392,,
465a18a8-8fcc-11eb-924d-9cd76263cbd0,form,monstrosus,Pachycereus,schottii,"(H.E.Gates) P.V.Heath","Q5903603,Q6067280",1992,,"Calyx 2: 107 1992",,,,304cd2ee-8fcc-11eb-924d-9cd76263cbd0,,970307-1,wfo-0000398352,3951386,,
4655418e-8fcc-11eb-924d-9cd76263cbd0,form,sargentianus,Pachycereus,schottii,"(Orcutt) P.V.Heath","Q1065962,Q6067280",1992,,"Calyx 2: 107 1992",,,,c5592cd4-8fcc-11eb-924d-9cd76263cbd0,,970308-1,wfo-0000398336,3951369,,
4655922e-8fcc-11eb-924d-9cd76263cbd0,form,spiralis,Pachycereus,schottii,"(A.M.Carter) P.V.Heath","Q21507043,Q6067280",1992,,"Calyx 2: 107 1992",,,,304ba6da-8fcc-11eb-924d-9cd76263cbd0,,970309-1,wfo-0000398338,3951363,,
465cbaea-8fcc-11eb-924d-9cd76263cbd0,variety,tenuis,Pachycereus,schottii,"(G.E.Linds.) P.V.Heath","Q5877802,Q6067280",1992,,"Calyx 2: 107 1992",,,,304b500e-8fcc-11eb-924d-9cd76263cbd0,,970310-1,wfo-0000398363,3951359,,
465c8e62-8fcc-11eb-924d-9cd76263cbd0,species,schumannii,Pachycereus,,"(Mathsson ex K.Schum) C.Nelson","Q14944078,Q5770209",2001,,"Ceiba 42: 16 2001",,Q103981173,,c55b5fea-8fcc-11eb-924d-9cd76263cbd0,,20010988-1,wfo-0000398362,3951351,,
465c5b86-8fcc-11eb-924d-9cd76263cbd0,species,tehuantepecanus,Pachycereus,,"T.MacDoug. & Bravo","Q6146019,Q445147",1956,,"Cact. Suc. Mex. 1: 64 1956",,,,,,179831-2,wfo-0000398361,3950892,,
465c1f2c-8fcc-11eb-924d-9cd76263cbd0,species,tepamo,Pachycereus,,"Gama & S.Arias","Q13218965,Q13218591",1998,,"Novon 8: 359 1998",,Q55774194,,,,1005318-1,wfo-0000398360,3950876,,
465bc8b0-8fcc-11eb-924d-9cd76263cbd0,species,tetetzo,Pachycereus,,"(F.A.C.Weber ex J.M.Coult.) Ochot.","Q1349350,Q1701075,Q6449372",1922,,"Cact. México 17 1922",,,,c56d13ca-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0000398359,3950864,,
465b8fbc-8fcc-11eb-924d-9cd76263cbd0,species,titan,Pachycereus,,"(Engelm. ex J.M.Coult.) Britton & Rose","Q214946,Q1701075,Q553714,Q1336049",1909,,"Contr. U. S. Natl. Herb. 12: 422 1909",,Q14624477,,c56ec238-8fcc-11eb-924d-9cd76263cbd0,,179832-2,wfo-0000398358,3950858,,
465afb74-8fcc-11eb-924d-9cd76263cbd0,species,weberi,Pachycereus,,"(J.M.Coult.) Backeb.","Q1701075,Q61900",,,"Cactac.: Handb. Kakteenk. 4: 2152 1960",,,,c57a09f4-8fcc-11eb-924d-9cd76263cbd0,,179833-2,wfo-0000398357,3960339,,
465ac8c0-8fcc-11eb-924d-9cd76263cbd0,variety,gigas,Pachycereus,weberi,"(Backeb.) P.V.Heath","Q61900,Q6067280",1992,,"Calyx 2: 107 1992",,,,469bbdee-8fcc-11eb-924d-9cd76263cbd0,,970311-1,wfo-0000398356,3960348,,
3b058ab8-8fb4-11eb-924d-9cd76263cbd0,species,eupatorioides,Pachychaeta,,"Sch.Bip. ex Baker","Q65685,Q730330",1876,,"Fl. Bras. (Martius) 6(2): 187 1876",,,,,,236325-1,wfo-0000061894,7417902,,
ee582ba4-8fcb-11eb-924d-9cd76263cbd0,species,chinensis,Pachychilus,,"(Lindl.) Blume","Q378629,Q76816",1856,,"Mus. Bot. 2: 173 1856",,,,,,649572-1,wfo-0000261931,5319557,,
ee5872e4-8fcb-11eb-924d-9cd76263cbd0,species,montanus,Pachychilus,,"(Lindl.) Blume","Q378629,Q76816",1856,,"Mus. Bot. 2: 173 1856",,,,68e3633e-8fcc-11eb-924d-9cd76263cbd0,,649573-1,wfo-0000261932,5319545,,
ee58a386-8fcb-11eb-924d-9cd76263cbd0,species,pantanus,Pachychilus,,Blume,Q76816,1856,,"Mus. Bot. 2: 178 1856",,,,,,649574-1,wfo-0000261933,5319570,,
ee58c154-8fcb-11eb-924d-9cd76263cbd0,species,pubescens,Pachychilus,,"(Blume) Blume",Q76816,1856,,"Mus. Bot. 2: 178 1856",,,,,,649575-1,wfo-0000261934,5319560,,
ee58dcac-8fcb-11eb-924d-9cd76263cbd0,species,senilis,Pachychilus,,"(Lindl.) Blume","Q378629,Q76816",1856,,"Mus. Bot. 2: 178 1856",,,,e2b38104-8fcb-11eb-924d-9cd76263cbd0,,649576-1,wfo-0000261935,5319575,,
ee58fa0c-8fcb-11eb-924d-9cd76263cbd0,species,smithianus,Pachychilus,,"(Lindl.) Blume","Q378629,Q76816",1856,,"Mus. Bot. 2: 178 1856",,,,,,649577-1,wfo-0000261936,5319573,,
ee5917a8-8fcb-11eb-924d-9cd76263cbd0,species,speciosus,Pachychilus,,Blume,Q76816,1858,,"Coll. Orchid. 29 1858",,,,,,649578-1,wfo-0000261937,5319551,,
