id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e7ebaa10-8fd1-11eb-924d-9cd76263cbd0,genus,Paphiopedilum,,,Pfitzer,0,1886,,"Morph. Stud. Orchideenbl. : 11 (1886)",,,,,,urn:lsid:ipni.org:names:327473-2,wfo-4000027919,2825152,,
7d1a7b4e-1d4d-11ec-82c2-f14daa6f2d93,variety,leopardinum,Paphiopedilum,×venusto-insigne,Pradhan,,1976,,"Orchid Digest 40(5): 189, without latin descr. or type. 1976 [16 Aug 1976]",,,,,,urn:lsid:ipni.org:names:887779-1,wfo-0001401100,,,
7d1aa592-1d4d-11ec-82c2-f14daa6f2d93,variety,purpurea,Paphiopedilum,×venusto-insigne,Pradhan,,1976,,"Orchid Digest 40(5): 190, without latin descr. or type. 1976 [16 Aug 1976]",,,,,,urn:lsid:ipni.org:names:887780-1,wfo-0001401101,,,
efa84d54-8fcb-11eb-924d-9cd76263cbd0,species,acmodontum,Paphiopedilum,,M.W.Wood,0,1976,,"Orchid Rev. 84: 350 (1976)",,,,,,urn:lsid:ipni.org:names:649708-1,wfo-0000263884,2825414,,
efa86ce4-8fcb-11eb-924d-9cd76263cbd0,species,adductum,Paphiopedilum,,Asher,0,1983,,"Orchid Digest 47: 224 (1983)",,,,,,urn:lsid:ipni.org:names:902709-1,wfo-0000263885,2825386,,
efa88ac6-8fcb-11eb-924d-9cd76263cbd0,variety,anitum,Paphiopedilum,adductum,"(Golamco) Koop.",0,2000,,"Orchid Digest 64: 157 (2000)",,,,efa92e4a-8fcb-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:1017650-1,wfo-0000263886,2825388,,
42a4b20e-1d4d-11ec-82c2-f14daa6f2d93,form,cynthiae,Paphiopedilum,adductum,"Cootes & M.Leon",,2015,,"OrchideenJ. 22: 85 (2015)",,,,,,urn:lsid:ipni.org:names:77147385-1,wfo-0001322552,,,
82bd4db0-8fcc-11eb-924d-9cd76263cbd0,species,aestivum,Paphiopedilum,,"Z.J.Liu & J.Yong Zhang",0,2001,,"Acta Phytotax. Sin. 39: 568 (2001)",,,Q5656885,,,urn:lsid:ipni.org:names:20003102-1,wfo-0000489061,2825244,,
efa8a5ba-8fcb-11eb-924d-9cd76263cbd0,species,affine,Paphiopedilum,,"De Wild.",0,1906,,"Tribune Hort. 1: 57 (1906)",,,,,,urn:lsid:ipni.org:names:649709-1,wfo-0000263887,2825318,,
48c25998-1d4d-11ec-82c2-f14daa6f2d93,species,agusii,Paphiopedilum,,Cavestro,,2017,,"Internet Orchid Sp. Photo Encycl. Nomencl. Notes 5(1): 1 (2017)",,,,,,urn:lsid:ipni.org:names:60474070-2,wfo-0001330752,,,
