id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e7fa8b84-8fd1-11eb-924d-9cd76263cbd0,genus,Paramignya,,,Wight,0,1840,,"Ill. Ind. Bot. 1: 108 (1838)",,,,,,urn:lsid:ipni.org:names:35874-1,wfo-4000028087,7269296,,
77eb84c4-8fcc-11eb-924d-9cd76263cbd0,species,andamanica,Paramignya,,Tanaka,0,1928,,"Bull. Soc. Bot. France 75: 712 (1928)",,Q55757201,Q5735483,,,urn:lsid:ipni.org:names:774505-1,wfo-0000470434,3835649,,
77ec0476-8fcc-11eb-924d-9cd76263cbd0,species,angulata,Paramignya,,Kurz,0,1875,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 44: 135 (1875)",,,,,,urn:lsid:ipni.org:names:774506-1,wfo-0000470438,3835638,,
77ef05fe-8fcc-11eb-924d-9cd76263cbd0,species,armata,Paramignya,,"(Thwaites) Oliv.",0,1861,,"J. Proc. Linn. Soc., Bot. 5(Suppl. 2): 43 (1861)",,,,,,urn:lsid:ipni.org:names:774507-1,wfo-0000470460,3835631,,
77eba67a-8fcc-11eb-924d-9cd76263cbd0,species,beddomei,Paramignya,,Tanaka,0,1930,,"J. Bot. 68: 230 (1930)",,,,,,urn:lsid:ipni.org:names:774508-1,wfo-0000470435,3835622,,
77ee3f3e-8fcc-11eb-924d-9cd76263cbd0,species,blumei,Paramignya,,Hassk.,0,1843,,"Hoev. & De vriese, Tijdschr. x. (1843) 137.",,,,,,urn:lsid:ipni.org:names:774509-1,wfo-0000470453,3835612,,
ca3f949a-8fd1-11eb-924d-9cd76263cbd0,species,brassii,Paramignya,,C.T.White,0,1926,,"J. Arnold Arbor. 7: 231 (1926)",,,,,,urn:lsid:ipni.org:names:774510-1,wfo-0001273098,3835604,,
77ee954c-8fcc-11eb-924d-9cd76263cbd0,species,citrifolia,Paramignya,,Hook.f.,0,1875,,"Fl. Brit. India [J. D. Hooker] 1(3): 510. 1875 [Feb 1875]",,,Q6144451,,,urn:lsid:ipni.org:names:774511-1,wfo-0000470456,7362768,,
77eeb2a2-8fcc-11eb-924d-9cd76263cbd0,species,citrifolia,Paramignya,,Oliv.,0,1861,,"J. Proc. Linn. Soc., Bot. 5(Suppl. 2): 42 (1861)",,,,,,urn:lsid:ipni.org:names:774512-1,wfo-0000470457,10905433,,
b20ce116-8fd1-11eb-924d-9cd76263cbd0,species,confertifolia,Paramignya,,Swingle,0,1940,,"J. Arnold Arbor. 21: 17 (1940)",,,,,,urn:lsid:ipni.org:names:774513-1,wfo-0001228318,3835577,,
77f092e8-8fcc-11eb-924d-9cd76263cbd0,species,cuspidata,Paramignya,,"(Ridl.) Burkill",0,1931,,"Gard. Bull. Straits Settlem. 5: 213 (1931)",,,,,,urn:lsid:ipni.org:names:774514-1,wfo-0000470468,3835568,,
77eeebdc-8fcc-11eb-924d-9cd76263cbd0,species,dubia,Paramignya,,"Koord. & Valeton ex Moll & Janssonius",0,1908,,"Mikrogr. Holz. 2: 59 (1908)",,,,,,urn:lsid:ipni.org:names:774515-1,wfo-0000470459,,,
77edf7a4-8fcc-11eb-924d-9cd76263cbd0,species,glabra,Paramignya,,Tanaka,0,1932,,"Trans. Nat. Hist. Soc. Formosa 22: 425, in syn. 1932",,,,,,urn:lsid:ipni.org:names:774516-1,wfo-0000470451,3835547,,
77ef2002-8fcc-11eb-924d-9cd76263cbd0,species,grandiflora,Paramignya,,Oliv.,0,1861,,"J. Proc. Linn. Soc., Bot. 5(Suppl. 2): 42 (1861)",,,,,,urn:lsid:ipni.org:names:774517-1,wfo-0000470461,3835540,,
77ef3d58-8fcc-11eb-924d-9cd76263cbd0,species,griffithii,Paramignya,,Hook.f.,0,1875,,"Fl. Brit. India 1: 510 (1875)",,,Q6144451,,,urn:lsid:ipni.org:names:774518-1,wfo-0000470462,,,
77ef5d4c-8fcc-11eb-924d-9cd76263cbd0,species,hainanensis,Paramignya,,Swingle,0,1938,,"J. Wash. Acad. Sci. 1938, xxviii. 533, nomen.",,Q96064021,,,,urn:lsid:ipni.org:names:774519-1,wfo-0000470463,3835523,,
77ef8416-8fcc-11eb-924d-9cd76263cbd0,species,hispida,Paramignya,,"(Pierre ex Guillaumin) Pierre ex Guillaumin",0,1946,,"Fl. Indo-Chine , Suppl. 1: 643 (1946)",,,Q5397579,aa2e8db4-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:774520-1,wfo-0000470464,3835513,,
77f04de2-8fcc-11eb-924d-9cd76263cbd0,species,littoralis,Paramignya,,Miq.,0,1864,,"Ann. Mus. Bot. Lugduno-Batavi 1: 211 (1864)",,,Q5696328,,,urn:lsid:ipni.org:names:774521-1,wfo-0000470466,3835502,,
77f07088-8fcc-11eb-924d-9cd76263cbd0,species,lobata,Paramignya,,Burkill,0,1931,,"Gard. Bull. Straits Settlem. 5: 214 (1931)",,,,,,urn:lsid:ipni.org:names:774522-1,wfo-0000470467,3835492,,
c1b95e0a-8fd1-11eb-924d-9cd76263cbd0,species,longipedunculata,Paramignya,,Merr.,0,1905,,"Publ. Bur. Sci. Gov. Lab. 35: 24–25 1905",,,,,,,wfo-0001257373,4937048,,
77ecb790-8fcc-11eb-924d-9cd76263cbd0,species,longispina,Paramignya,,Hook.f.,0,1875,,"Fl. Brit. India 1: 511 (1875)",,,Q6144451,,,urn:lsid:ipni.org:names:774523-1,wfo-0000470444,4937032,,
77ec7870-8fcc-11eb-924d-9cd76263cbd0,species,micrantha,Paramignya,,Kurz,0,1870,,"Rep. Veg. Andaman Isl. , App. B: 4 (1870)",,,,,,urn:lsid:ipni.org:names:774524-1,wfo-0000470442,3835473,,
77eecf1c-8fcc-11eb-924d-9cd76263cbd0,species,mindanaensis,Paramignya,,Merr.,0,1908,,"Philipp. J. Sci., C 3: 140 (1908)",,,,,,urn:lsid:ipni.org:names:774525-1,wfo-0000470458,3835463,,
77ec2564-8fcc-11eb-924d-9cd76263cbd0,species,missionis,Paramignya,,"(Oliv.) Burkill",0,1931,,"Gard. Bull. Straits Settlem. 5: 213 (1931)",,,,,,urn:lsid:ipni.org:names:774526-1,wfo-0000470439,3835455,,
77ec4062-8fcc-11eb-924d-9cd76263cbd0,species,monophylla,Paramignya,,Wight,0,1838,,"Ill. Ind. Bot. 1: 109 (1838)",,,,,,urn:lsid:ipni.org:names:774527-1,wfo-0000470440,7269299,,
73a31332-1d4d-11ec-82c2-f14daa6f2d93,variety,obtusa,Paramignya,monophylla,B.C.Stone,,1985,,"Revis. Handb. Fl. Ceylon 5: 469 (1985)",,,,,,urn:lsid:ipni.org:names:919050-1,wfo-0001388610,,,
77ec5b88-8fcc-11eb-924d-9cd76263cbd0,species,petelotii,Paramignya,,Guillaumin,0,1945,,"Bull. Soc. Bot. France 111: 216 (1945)",,Q55757449,Q5735483,,,urn:lsid:ipni.org:names:774528-1,wfo-0000470441,3835430,,
b3761766-8fd1-11eb-924d-9cd76263cbd0,species,rectispinosa,Paramignya,,Craib,,1916,,"Bull. Misc. Inform. Kew 1916: 261 (1916)",,,Q5735532,,,urn:lsid:ipni.org:names:774529-1,wfo-0001230850,3835422,,
77edce28-8fcc-11eb-924d-9cd76263cbd0,species,ridleyi,Paramignya,,Burkill,0,1931,,"Gard. Bull. Straits Settlem. 5: 214 1931",,,,,,774530-1,wfo-0000470450,3835410,,
77ec935a-8fcc-11eb-924d-9cd76263cbd0,species,scandens,Paramignya,,Craib,0,1926,,"Fl. Siam. 1: 235 (1926)",,,,,,urn:lsid:ipni.org:names:774531-1,wfo-0000470443,3835401,,
77ebe37e-8fcc-11eb-924d-9cd76263cbd0,species,surasiana,Paramignya,,Craib,0,1916,,"Bull. Misc. Inform. Kew 1916: 261 (1916)",,Q55783295,Q5735532,,,urn:lsid:ipni.org:names:774532-1,wfo-0000470437,3835391,,
77ecf8d6-8fcc-11eb-924d-9cd76263cbd0,species,trimera,Paramignya,,"(Oliv.) Burkill",0,1931,,"Gard. Bull. Straits Settlem. 5: 213 (1931)",,,,,,urn:lsid:ipni.org:names:774533-1,wfo-0000470446,3835370,,
