id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e8092ba8-8fd1-11eb-924d-9cd76263cbd0,genus,Paropsia,,,"Noronha ex Thouars",0,1805,,"Hist. Vég. Îsles Austral. Afriq. : 59 (1808)",,,,,,urn:lsid:ipni.org:names:31795-1,wfo-4000028244,7313335,,
7d7b33e4-8fcc-11eb-924d-9cd76263cbd0,species,adenostegia,Paropsia,,"(Stapf) Engl.",0,1921,,"Veg. Erde 9(III 2): 572 (1921)",,,,,,urn:lsid:ipni.org:names:365803-1,wfo-0000480026,3587243,,
7d7aaac8-8fcc-11eb-924d-9cd76263cbd0,species,argutidens,Paropsia,,Sleumer,0,1938,,"Repert. Spec. Nov. Regni Veg. 45: 13 (1938)",,Q55754560,,,,urn:lsid:ipni.org:names:365804-1,wfo-0000480021,3587963,,
7d7b5284-8fcc-11eb-924d-9cd76263cbd0,species,bakhuisii,Paropsia,,"Boerl. & Koord.",0,1911,,"Syst. Verz. 2: 41 (1911)",,,,,,urn:lsid:ipni.org:names:365805-1,wfo-0000480027,3587673,,
7d7b6e2c-8fcc-11eb-924d-9cd76263cbd0,species,bequaertii,Paropsia,,"De Wild.",0,1921,,"Rev. Zool. Bot. Africaines 9(Suppl. Bot.): 13 (1921)",,,,,,urn:lsid:ipni.org:names:365806-1,wfo-0000480028,3588311,,
c517c284-8fcd-11eb-924d-9cd76263cbd0,species,braunii,Paropsia,,Gilg,0,1908,,"Bot. Jahrb. Syst. 40: 472 (1908)",,,,,,urn:lsid:ipni.org:names:365807-1,wfo-0001091392,3587569,,
7d7bb008-8fcc-11eb-924d-9cd76263cbd0,species,brazzaeana,Paropsia,,Baill.,0,1886,,"Bull. Mens. Soc. Linn. Paris 1: 611 (1886)",,,,,,urn:lsid:ipni.org:names:674730-1,wfo-0000480030,3587747,,
7d7bd722-8fcc-11eb-924d-9cd76263cbd0,species,dewevrei,Paropsia,,"De Wild. & T.Durand",0,1899,,"Bull. Soc. Roy. Bot. Belgique , Compt. Rend. 38: 191 (1899)",,,,,,urn:lsid:ipni.org:names:674731-1,wfo-0000480031,3588274,,
c4e40cb4-8fcd-11eb-924d-9cd76263cbd0,species,edulis,Paropsia,,Thouars,0,1806,,"Hist. Vég. Îsles Austral. Afriq. : 59 (1808)",,,,,,urn:lsid:ipni.org:names:674732-1,wfo-0001090928,3587434,,
c4e3f2a6-8fcd-11eb-924d-9cd76263cbd0,species,fragrans,Paropsia,,Aug.DC.,0,1901,,"Bull. Herb. Boissier , sér. 2, 1: 72 (1900)",,,,,,urn:lsid:ipni.org:names:674733-1,wfo-0001090927,8151165,,
c98acdc6-8fd1-11eb-924d-9cd76263cbd0,species,gabonica,Paropsia,,Breteler,0,2003,,"Adansonia , sér. 3, 25: 247 (2003)",,,,,,urn:lsid:ipni.org:names:60430539-2,wfo-0001271772,3586770,,
c519f3ec-8fcd-11eb-924d-9cd76263cbd0,species,grandiflora,Paropsia,,Sleumer,0,1970,,"Bull. Jard. Bot. Natl. Belg. 40: 59 (1970)",,Q55776291,,,,urn:lsid:ipni.org:names:674734-1,wfo-0001091408,3586631,,
7d794a7a-8fcc-11eb-924d-9cd76263cbd0,species,grewioides,Paropsia,,"Welw. ex Mast.",0,1871,,"Fl. Trop. Afr. 2: 505 (1871)",,,,,,urn:lsid:ipni.org:names:674735-1,wfo-0000480013,3586922,,
0f8e8b4c-1d4d-11ec-82c2-f14daa6f2d93,variety,grewioides,Paropsia,grewioides,,,,,,,,,,,,wfo-0001241352,,,
40d6086a-1d4d-11ec-82c2-f14daa6f2d93,subspecies,grewioides,Paropsia,grewioides,Sleumer,,,,,,,,,,,wfo-0001320107,,,
7d798210-8fcc-11eb-924d-9cd76263cbd0,species,guineensis,Paropsia,,Oliv.,0,1865,,"J. Linn. Soc., Bot. 8: 161 (1865)",,,,,,urn:lsid:ipni.org:names:674736-1,wfo-0000480014,3587782,,
c4e42870-8fcd-11eb-924d-9cd76263cbd0,species,humblotii,Paropsia,,H.Perrier,0,1940,,"Notul. Syst. (Paris) 9: 60 (1940)",,,,,,urn:lsid:ipni.org:names:365808-1,wfo-0001090929,3586551,,
c4e3b912-8fcd-11eb-924d-9cd76263cbd0,species,integrifolia,Paropsia,,Claverie,0,1909,,"Ann. Mus. Colon. Marseille , sér. 2, 7: 66 (1909)",,,,,,urn:lsid:ipni.org:names:365809-1,wfo-0001090925,3586593,,
7d79bea6-8fcc-11eb-924d-9cd76263cbd0,species,laevigata,Paropsia,,Warb.,0,1893,,"Nat. Pflanzenfam. 3(6a): 27 (1893)",,,,8755c5c8-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:674737-1,wfo-0000480015,3586637,,
c4e3d7b2-8fcd-11eb-924d-9cd76263cbd0,species,madagascariensis,Paropsia,,"(Baill.) H.Perrier",0,1940,,"Notul. Syst. (Paris) 9: 59 (1940)",,,,,,urn:lsid:ipni.org:names:365810-1,wfo-0001090926,3586686,,
7d7a31b0-8fcc-11eb-924d-9cd76263cbd0,species,malayana,Paropsia,,"Planch. ex Mast.",0,1871,,"Trans. Linn. Soc. London 27: 639 (1871)",,Q55760784,,,,urn:lsid:ipni.org:names:674738-1,wfo-0000480017,3586733,,
c4e39d7e-8fcd-11eb-924d-9cd76263cbd0,species,obcuneata,Paropsia,,H.Perrier,0,1940,,"Notul. Syst. (Paris) 9: 58 (1940)",,,,,,urn:lsid:ipni.org:names:365811-1,wfo-0001090924,3587511,,
c4e44198-8fcd-11eb-924d-9cd76263cbd0,species,obscura,Paropsia,,O.Hoffm.,0,1881,,"Sert. Pl. Madagasc. : 20 (1881)",,,,,,urn:lsid:ipni.org:names:674739-1,wfo-0001090930,3587266,,
