id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a30a12aa-9bad-11eb-a8a2-19ed5c03f8d3,genus,Phaeospora,,,"Hepp ex Stein","Q2086812,Q5727141",1879,,"in Cohn, Krypt.-Fl. Schlesien (Breslau) 2(2): 350 (1879)",,,,a30a12aa-9bad-11eb-a8a2-19ed5c03f8d3,,,,,3952," "
36d48606-9bad-11eb-a8a2-19ed5c03f8d3,species,arctica,Phaeospora,,"Horáková & Alstrup",,1994,,"Graphis Scripta 6(2): 61 (1994)",,,,36d48606-9bad-11eb-a8a2-19ed5c03f8d3,,,,,362841," "
7f500e3c-9bad-11eb-a8a2-19ed5c03f8d3,species,arnoldii,Phaeospora,,Hepp,Q2086812,,,,,,,7f500e3c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,450766," "
799ba5a6-9bac-11eb-a8a2-19ed5c03f8d3,species,baeomycearia,Phaeospora,,"(Linds.) Arnold","Q18672913,Q2460005",1874,,"Flora, Jena 57: 151 (1874)",,,,87afb61e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,511922," "
0b216d90-9bac-11eb-a8a2-19ed5c03f8d3,species,cacticola,Phaeospora,,"F. Stevens",,,,,,,,0b216d90-9bac-11eb-a8a2-19ed5c03f8d3,,,,,141817," "
1989f8d4-9bac-11eb-a8a2-19ed5c03f8d3,species,caninae,Phaeospora,,"(W. Phillips & Plowr.) anon. ined.",,,,,,,,661dc324-9bac-11eb-a8a2-19ed5c03f8d3,,,,,477193," "
f6ffe8a0-9bab-11eb-a8a2-19ed5c03f8d3,species,cassiopes,Phaeospora,,"Dearn. & House",Q3139666,1940,,"Circ. N.Y. St. Mus. 24: 33 (1940)",,,,f6ffe8a0-9bab-11eb-a8a2-19ed5c03f8d3,,,,,482547," "
cefa278e-9bac-11eb-a8a2-19ed5c03f8d3,species,catolechiae,Phaeospora,,Zopf,,,,,,,,cefa278e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,245277," "
fe677108-9bab-11eb-a8a2-19ed5c03f8d3,species,consocians,Phaeospora,,"(Nyl.) Vouaux",Q932083,,,,,,,,,,,,476132," "
72285282-9bad-11eb-a8a2-19ed5c03f8d3,species,decolorans,Phaeospora,,Rehm,Q4393082,,,,,,,72285282-9bad-11eb-a8a2-19ed5c03f8d3,,,,,141733," "
d1abbac4-9bac-11eb-a8a2-19ed5c03f8d3,species,elongata,Phaeospora,,"(Hara) Hara",Q4390878,,,,,,,245a28ce-9bac-11eb-a8a2-19ed5c03f8d3,,,,,251971," "
5a9c3544-9bac-11eb-a8a2-19ed5c03f8d3,species,endococcoidea,Phaeospora,,"(Nyl.) Arnold","Q932083,Q2460005",1874,,"Flora, Jena 57: 151 (1874)",,,,7729c81c-9bab-11eb-a8a2-19ed5c03f8d3,,,,,511920," "
204eec10-9bac-11eb-a8a2-19ed5c03f8d3,species,epicallopisma,Phaeospora,,"(Wedd.) Arnold","Q983408,Q2460005",,,,,,,80b7f5a0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,245606," "
530d5dde-9bad-11eb-a8a2-19ed5c03f8d3,species,exoriens,Phaeospora,,"(Stirt.) A.L. Sm.",Q4442403,,,,,,,48884838-9bad-11eb-a8a2-19ed5c03f8d3,,,,,433856," "
