id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e8599f66-8fd1-11eb-924d-9cd76263cbd0,genus,Phegopteris,,,"(C.Presl) Fée",0,1852,,"Mém. Foug., 5. Gen. Filic. 242. 1852",,,,,,urn:lsid:ipni.org:names:30000947-2,wfo-4000029166,7953297,,
309e1432-8fbe-11eb-924d-9cd76263cbd0,species,abbreviata,Phegopteris,,Mett.,0,1858,,"Abh. Senckenberg. Naturf. Ges. 2(2): 307 (1858)",,,,,,urn:lsid:ipni.org:names:17172140-1,wfo-0000152508,4082444,,
30abe6e8-8fbe-11eb-924d-9cd76263cbd0,species,acanthocarpa,Phegopteris,,Alderw.,0,1917,,"Mal. Ferns Suppl. 315. 1917. (1917)",,,,,,urn:lsid:ipni.org:names:17344510-1,wfo-0000152509,4082432,,
30b9e68a-8fbe-11eb-924d-9cd76263cbd0,species,acromanes,Phegopteris,,Alderw.,0,1909,,"Malayan Ferns 505. 1909. (1909)",,,,,,urn:lsid:ipni.org:names:17255560-1,wfo-0000152510,4082424,,
d278a4ac-8fcd-11eb-924d-9cd76263cbd0,species,adenochrysa,Phegopteris,,Fée,0,1852,,"Mém. Foug., 5. Gen. Filic. : 245 (1852)",,,,,,urn:lsid:ipni.org:names:17172150-1,wfo-0001120395,4082406,,
30c6a3a2-8fbe-11eb-924d-9cd76263cbd0,species,adnata,Phegopteris,,Fée,,1869,,"Crypt. Vasc. Brésil 1: 103 (1869)",,,,,,urn:lsid:ipni.org:names:17172160-1,wfo-0000152511,4082389,,
30d2ee14-8fbe-11eb-924d-9cd76263cbd0,species,alloeoptera,Phegopteris,,Mett.,0,1858,,"Abh. Senckenberg. Naturf. Ges. 2(2): 303 (1858)",,,,,,urn:lsid:ipni.org:names:17172170-1,wfo-0000152512,4082382,,
cd9d1c6a-8fcd-11eb-924d-9cd76263cbd0,species,alpestris,Phegopteris,,"(Hoppe) Mett.",0,1856,,"Fil. Hort. Bot. Lips. : 83 (1856)",,,,,,urn:lsid:ipni.org:names:30158377-2,wfo-0001110261,7321261,,
69da7304-1d4d-11ec-82c2-f14daa6f2d93,variety,americana,Phegopteris,alpestris,"(Butters) Jeps.",,,,"Man. Fl. Pl. Calif. [Jepson] 29. 1925 , as 'var. americanum'",,,,,,urn:lsid:ipni.org:names:192606-2,wfo-0001375991,,,
30ef39f2-8fbe-11eb-924d-9cd76263cbd0,species,alsophiloides,Phegopteris,,E.Fourn.,0,1873,,"Ann. Sci. Nat., Bot. , sér. 5, 18: 289 (1873)",,,,,,urn:lsid:ipni.org:names:17172190-1,wfo-0000152514,4082354,,
d54c85c2-8fcd-11eb-924d-9cd76263cbd0,species,amaurophylla,Phegopteris,,Christ,0,1899,,"Bull. Herb. Boissier 7. 14. 1899. (1899)",,,,,,urn:lsid:ipni.org:names:17172200-1,wfo-0001126683,4082345,,
cd769f2c-8fcd-11eb-924d-9cd76263cbd0,species,ammifolia,Phegopteris,,Fée,0,1850,,"Mém. Foug., 5. Gen. Filic. : 243 (1852)",,,,,,urn:lsid:ipni.org:names:17172210-1,wfo-0001109898,4082337,,
cdbe1690-8fcd-11eb-924d-9cd76263cbd0,species,ampla,Phegopteris,,Fée,0,1852,,"Mém. Foug., 5. Gen. Filic. : 243 (1852)",,,,,,urn:lsid:ipni.org:names:17172220-1,wfo-0001110559,4082326,,
d27b44be-8fcd-11eb-924d-9cd76263cbd0,species,amplificata,Phegopteris,,Fée,0,1857,,Unknown,,,,,,urn:lsid:ipni.org:names:192607-2,wfo-0001120419,4082307,,
d2a582e2-8fcd-11eb-924d-9cd76263cbd0,species,andreana,Phegopteris,,"(Sodiro) Christ",0,1901,,"Primit. Fl. Costaric. 3: 35 (1901)",,,,,,urn:lsid:ipni.org:names:192608-2,wfo-0001120786,4082279,,
80005a72-1d4d-11ec-82c2-f14daa6f2d93,species,andringitrensis,Phegopteris,,"(Rakotondr.) Christenh.",,,,"Global Fl. 4: 25. 2018 [9 Feb 2018] [epublished]",,,,,,urn:lsid:ipni.org:names:77182726-1,wfo-0001422717,,,
30fc95e8-8fbe-11eb-924d-9cd76263cbd0,species,aneitensis,Phegopteris,,Kuhn,0,1869,,"Verh. K. K. Zool.-Bot. Ges. Wien 19: 577 (1869)",,,,,,urn:lsid:ipni.org:names:17172260-1,wfo-0000152515,4082268,,
311418a8-8fbe-11eb-924d-9cd76263cbd0,species,angelicifolia,Phegopteris,,Mett.,0,1868,,"Filic. Afr. : 121 (1868)",,,,,,urn:lsid:ipni.org:names:17172250-1,wfo-0000152516,,,
d2a60ce4-8fcd-11eb-924d-9cd76263cbd0,species,angustifolia,Phegopteris,,"(Willd.) Mett.",0,1859,,"Fil. Lechl. 2. 22 (1859)",,,,,,urn:lsid:ipni.org:names:17172270-1,wfo-0001120791,4082247,,
31349650-8fbe-11eb-924d-9cd76263cbd0,species,anomala,Phegopteris,,"(Hook. & Arn.) Mett.",0,1883,,"Nomencl. Gefässkrypt. : 273 (1883)",,,,,,urn:lsid:ipni.org:names:17172280-1,wfo-0000152517,,,
3148a690-8fbe-11eb-924d-9cd76263cbd0,species,aortisora,Phegopteris,,Alderw.,0,1909,,"Malayan Ferns 501. 1909. (1909)",,,,,,urn:lsid:ipni.org:names:17255570-1,wfo-0000152518,4082229,,
