id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
fa73891a-9bab-11eb-a8a2-19ed5c03f8d3,genus,Phomopsis,,,"Sacc. & Roum.",0,1884,conserved,"Revue mycol., Toulouse 6: 32 (1884)",,,,fa73891a-9bab-11eb-a8a2-19ed5c03f8d3,,,,,34082," "
23bc4e92-9bac-11eb-a8a2-19ed5c03f8d3,species,abdita,Phomopsis,,"(Sacc.) Traverso",0,1906,,"Fl. ital. crypt. (Florence), Pyrenomycetae 2(1): 237 (1906)",,,,57a9fa24-9bac-11eb-a8a2-19ed5c03f8d3,,,,,101022," "
d3ea2712-9bac-11eb-a8a2-19ed5c03f8d3,species,abietina,Phomopsis,,"(Hartig) Höhn.",0,,,,,,,9d2c61b8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,255549," "
9c0ee972-9bac-11eb-a8a2-19ed5c03f8d3,species,abrotani,Phomopsis,,"(Oudem.) Sacc. & D. Sacc.",0,1906,,"Syll. fung. (Abellini) 18: 265 (1906)",,,,cebb2a7a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,216531," "
c373bac4-9bac-11eb-a8a2-19ed5c03f8d3,species,abutilonis,Phomopsis,,Urries,,1952,,"An. Jard. bot. Madr. 10(2): 211 (1952)",,,,c373bac4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,456769," "
21f8a2bc-9bad-11eb-a8a2-19ed5c03f8d3,species,acaciae,Phomopsis,,"C.C. Chen",,1967,illegitimate,"Botanical Bulletin of Academia Sinica, Taipei, New series 8: 142 (1967)",,,,21f8a2bc-9bad-11eb-a8a2-19ed5c03f8d3,,,,,336569," "
139d5a56-9bac-11eb-a8a2-19ed5c03f8d3,species,acacicola,Phomopsis,,"M.M. Xiang, Z.D. Jiang & P.K. Chi",,,,,,,,139d5a56-9bac-11eb-a8a2-19ed5c03f8d3,,,,,308603," Phomopsis acaciicola"
bcf9fc44-9bac-11eb-a8a2-19ed5c03f8d3,species,acaciicola,Phomopsis,,"(Henn.) Died.",0,1911,,"Annls mycol. 9(1): 19 (1911)",,,Q21385869,5b4a787a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,479309," "
05a20eaa-9bad-11eb-a8a2-19ed5c03f8d3,species,acanthi,Phomopsis,,"(Sacc. & D. Sacc.) Grove",0,1920,,"Bull. Misc. Inf., Kew 427 (1920)",,,,b9b3bd6c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,101577," "
21f8de9e-9bad-11eb-a8a2-19ed5c03f8d3,species,acerina,Phomopsis,,"Pirone & J.C. Carter",,1966,,"Mycologia 58(2): 327 (1966)",,,Q1962302,21f8de9e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,336570," "
9bf91ade-9bac-11eb-a8a2-19ed5c03f8d3,species,aceris,Phomopsis,,"(Höhn.) Sacc. & D. Sacc.",0,,,,,,,8fa45d98-9bac-11eb-a8a2-19ed5c03f8d3,,,,,216378," "
75bcbe08-9bab-11eb-a8a2-19ed5c03f8d3,species,achilleae,Phomopsis,,"(Sacc.) Höhn.",0,1906,,"Sber. Akad. Wiss. Wien, Math.-naturw. Kl., Abt. 1 115: 32 (1906)",,,,77292a2e-9bab-11eb-a8a2-19ed5c03f8d3,,,,,216587," "
67099afa-9bad-11eb-a8a2-19ed5c03f8d3,variety,achilleae,Phomopsis,achilleae,"(Sacc.) Traverso",0,,,,,,,67099afa-9bad-11eb-a8a2-19ed5c03f8d3,,,,,439381," "
5417cc14-9bad-11eb-a8a2-19ed5c03f8d3,variety,asteris,Phomopsis,achilleae,anon.,,,,,,,,5417cc14-9bad-11eb-a8a2-19ed5c03f8d3,,,,,438844," "
2a89995e-9bad-11eb-a8a2-19ed5c03f8d3,variety,senecionis,Phomopsis,achilleae,"(Sacc.) Höhn.",0,,,,,,,,,,,,438845," "
9be84aec-9bac-11eb-a8a2-19ed5c03f8d3,species,achilleicola,Phomopsis,,"Sousa da Câmara",,,,,,,,9be84aec-9bac-11eb-a8a2-19ed5c03f8d3,,,,,216235," "
d425af4e-9bac-11eb-a8a2-19ed5c03f8d3,species,acmella,Phomopsis,,"(Berk.) Petr. & Syd.",0,1924,,"Annls mycol. 22(3-6): 353 (1924)",,,Q21385869,0a2032c8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,255723," "
237c33a2-9bac-11eb-a8a2-19ed5c03f8d3,species,actinidiae,Phomopsis,,"(Henn.) Died.",0,1912,,"Krypt.-Fl. Brandenburg (Leipzig) 9: 243 (1912)",,,,,,,,,100623," "
af619ed8-9bad-11eb-a8a2-19ed5c03f8d3,species,adansoniae,Phomopsis,,"Li Ma, P.K. Chi & Z.D. Jiang",,2004,,"in Ma, Xiang, Chi & Jiang, Mycosystema 23(4): 457 (2004)",,,,af619ed8-9bad-11eb-a8a2-19ed5c03f8d3,,,,,368482," "
c50b287c-9bac-11eb-a8a2-19ed5c03f8d3,species,adinae,Phomopsis,,Petr.,0,,,,,,,c50b287c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,433482," "
30b094d2-9bac-11eb-a8a2-19ed5c03f8d3,species,aegles,Phomopsis,,Traverso,,,,,,,,30b094d2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,119977," "
f8c176d0-9bac-11eb-a8a2-19ed5c03f8d3,species,aesculana,Phomopsis,,"(Sacc.) Petr.",0,1921,,"Annls mycol. 19: 208 (1921)",,,Q21385869,76215f98-9bab-11eb-a8a2-19ed5c03f8d3,,,,,216563," "
ba9d2016-9bac-11eb-a8a2-19ed5c03f8d3,species,aesculans,Phomopsis,,Sacc.,0,,,,,,,ba9d2016-9bac-11eb-a8a2-19ed5c03f8d3,,,,,121861," "
f28a009e-9bab-11eb-a8a2-19ed5c03f8d3,species,agapanthi,Phomopsis,,"Punith. & Spooner",,2005,,"Kew Bull. 60(1): 149 (2005)",,,,f28a009e-9bab-11eb-a8a2-19ed5c03f8d3,,,,,341346," "
6024ec30-9bad-11eb-a8a2-19ed5c03f8d3,species,agrostidis,Phomopsis,,"Punith. & Spooner",,2002,,"Kew Bull. 57(3): 540 (2002)",,,,6024ec30-9bad-11eb-a8a2-19ed5c03f8d3,,,,,461854," "
6c99d288-9bac-11eb-a8a2-19ed5c03f8d3,species,ailanthi,Phomopsis,,"(Sacc.) Died.",0,1912,,"Krypt.-Fl. Brandenburg augr. Gebiete 9(2): 244 (1912)",,,,56ddf50a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,121875," "
6025239e-9bad-11eb-a8a2-19ed5c03f8d3,species,airae,Phomopsis,,"Punith. & Spooner",,2002,,"Kew Bull. 57(3): 542 (2002)",,,,6025239e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,461855," "
6ca70a8e-9bac-11eb-a8a2-19ed5c03f8d3,species,albicans,Phomopsis,,"Roberge ex Desm.",0,1911,,"Annls mycol. 9(5): 556 (1911)",,,Q21385869,6ca70a8e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,121879," "
27388f04-9bac-11eb-a8a2-19ed5c03f8d3,species,albolutea,Phomopsis,,"(Dearn. & Barthol.) Petr.",0,1929,,"Annls mycol. 27: 379 (1929)",,,Q21385869,93c42886-9bac-11eb-a8a2-19ed5c03f8d3,,,,,256278," "
0a28c500-9bac-11eb-a8a2-19ed5c03f8d3,species,algerica,Phomopsis,,Maire,0,,,,,,,0a28c500-9bac-11eb-a8a2-19ed5c03f8d3,,,,,289455," "
23e13fc2-9bac-11eb-a8a2-19ed5c03f8d3,species,alhagi,Phomopsis,,Woron.,0,1915,,"Izvestiya Kavkaz. Muz. 9: 117 (1915)",,,,23e13fc2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,101199," "
