id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e869d1a6-8fd1-11eb-924d-9cd76263cbd0,genus,Phragmotheca,,,Cuatrec.,,"Revista Acad. Colomb. Ci. Exact. 6: 549. 1946.",,,,,295222-2,wfo-4000029336,3234070,
b973d838-8fd1-11eb-924d-9cd76263cbd0,species,amazonica,Phragmotheca,,"(W.S.Alverson) Fern.Alonso",,"Caldasia 18(3): 274 1996",,,,,995578-1,wfo-0001241875,7736965,
aac896e8-8fd1-11eb-924d-9cd76263cbd0,species,ecuadorensis,Phragmotheca,,W.S.Alverson,,"Brittonia 43(2): 84, f. 4F, 6 1991",,,,,282735-2,wfo-0001215035,7546189,
aabe3932-8fd1-11eb-924d-9cd76263cbd0,species,flaviflora,Phragmotheca,,D.R.Simpson,,,,,,,,wfo-0001214958,7798309,
aac91492-8fd1-11eb-924d-9cd76263cbd0,species,fuchsii,Phragmotheca,,Cuatrec.,,"Phytologia 20: 472, f. 3 1971",,,,,194383-2,wfo-0001215040,8378339,
457c868c-8fcc-11eb-924d-9cd76263cbd0,species,hydra,Phragmotheca,,Fern.Alonso,,"Caldasia 18: 270 1996",,,,,313495-2,wfo-0000397261,7453395,
457bc314-8fcc-11eb-924d-9cd76263cbd0,species,lemniscata,Phragmotheca,,Fern.Alonso,,"Caldasia 18: 262 1996",,,,,313493-2,wfo-0000397260,8278190,
aac74cd4-8fd1-11eb-924d-9cd76263cbd0,species,leucoflora,Phragmotheca,,D.R.Simpson,,"Phytologia 51: 308 1982",,,,,194384-2,wfo-0001215027,7642454,
457afbc8-8fcc-11eb-924d-9cd76263cbd0,species,mambitana,Phragmotheca,,"Fern.Alonso & R.Jaram.",,"Caldasia 21: 125 1999",,,,,1012124-1,wfo-0000397259,7429921,
aac833c4-8fd1-11eb-924d-9cd76263cbd0,species,mammosa,Phragmotheca,,W.S.Alverson,,"Brittonia 43(2): 79–83, f. 2C–D, 3, 4C–D, 5 1991",,,,,282736-2,wfo-0001215032,7956081,
457aa862-8fcc-11eb-924d-9cd76263cbd0,species,rubriflora,Phragmotheca,,Fern.Alonso,,"Caldasia 18: 272 1996",,,,,313496-2,wfo-0000397257,5663106,
457cd8d0-8fcc-11eb-924d-9cd76263cbd0,species,sidereotricha,Phragmotheca,,Fern.Alonso,,"Caldasia 18: 279 1996",,,,,313498-2,wfo-0000397263,7856742,
aabe56ba-8fd1-11eb-924d-9cd76263cbd0,species,siderosa,Phragmotheca,,Cuatrec.,,"Revista Acad. Colomb. Ci. Exact. 7: 49 1946",,,,,194385-2,wfo-0001214959,8078176,
