id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
0b3c568c-9bac-11eb-a8a2-19ed5c03f8d3,genus,Phragmothyriella,,,Höhn.,Q4502879,1912,,"Sber. Akad. Wiss. Wien, Math.-naturw. Kl., Abt. 1 121: 348 (1912)",,,,0b3c568c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,4038," "
21d46254-9bac-11eb-a8a2-19ed5c03f8d3,species,albomarginata,Phragmothyriella,,"(Speg.) Speg.",Q648013,1919,,"Boln Acad. nac. Cienc. Córdoba 23: 506 (1919)",,,,ca52900e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,503282," "
178aa4f2-9bac-11eb-a8a2-19ed5c03f8d3,species,bakeri,Phragmothyriella,,Rehm,Q4393082,,,,,,,178aa4f2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,177791," "
fe13c50c-9bac-11eb-a8a2-19ed5c03f8d3,species,dignota,Phragmothyriella,,Bat.,Q4079389,1951,,"Mycopath. Mycol. appl. 5(2-3): 170 (1951)",,,,fe13c50c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,303253," "
fe140698-9bac-11eb-a8a2-19ed5c03f8d3,species,exserta,Phragmothyriella,,Bat.,Q4079389,1951,,"Mycopath. Mycol. appl. 5(2-3): 170 (1951)",,,,fe140698-9bac-11eb-a8a2-19ed5c03f8d3,,,,,303254," "
a33c3a24-9bac-11eb-a8a2-19ed5c03f8d3,species,luzonensis,Phragmothyriella,,"F. Stevens & W. Schneid.",,,,,,,,a33c3a24-9bac-11eb-a8a2-19ed5c03f8d3,,,,,253124," "
c8819b62-9bac-11eb-a8a2-19ed5c03f8d3,species,moelleriana,Phragmothyriella,,"(Sacc.) Höhn.","Q707840,Q4502879",,,,,,,cf47f28e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,177643," molleriana"
e25d6a8e-9bac-11eb-a8a2-19ed5c03f8d3,species,molleriana,Phragmothyriella,,"(Sacc.) Höhn.","Q707840,Q4502879",,,,,,,cf47f28e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,275838," Phragmothyriella moelleriana"
fe144bda-9bac-11eb-a8a2-19ed5c03f8d3,species,muroiana,Phragmothyriella,,"I. Hino & Katum.",,,,,,,,fe144bda-9bac-11eb-a8a2-19ed5c03f8d3,,,,,303255," "
c87e2162-9bac-11eb-a8a2-19ed5c03f8d3,species,orbicularis,Phragmothyriella,,"(Zimm.) Höhn.","Q5663851,Q4502879",,,,,,,f8d1d3ae-9bac-11eb-a8a2-19ed5c03f8d3,,,,,177967," "
c0bd9b74-9bac-11eb-a8a2-19ed5c03f8d3,species,parenchymatica,Phragmothyriella,,"(Doidge) Doidge",,1927,,"Bothalia 2(4): 206 (1927)",,,,c0bdd8dc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,273629," "
fe148c44-9bac-11eb-a8a2-19ed5c03f8d3,species,thujopsidis,Phragmothyriella,,Sawada,Q21607805,1950,,"Bull. Gov. Forest Exp. Sta. 46: 142 (1950)",,,,fe148c44-9bac-11eb-a8a2-19ed5c03f8d3,,,,,303256," "
