id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e87da118-8fd1-11eb-924d-9cd76263cbd0,genus,Phyteuma,,,L.,,"Sp. Pl. 1: 170. 1753. (1 May 1753)",,,,,5788-1,wfo-4000029581,3166599,
3acc915e-8fcd-11eb-924d-9cd76263cbd0,species,abelis,Phyteuma,,Sennen,,"Diagn. Nouv. 22 1936",,,,,144303-1,wfo-0000816729,3166863,
d726d06a-8fd1-11eb-924d-9cd76263cbd0,species,adulterinum,Phyteuma,,Wallr.,,,,,,,,wfo-0001290087,3166834,
3acd0aa8-8fcd-11eb-924d-9cd76263cbd0,species,adulterinum,Phyteuma,,Wallr.,,"Erst. Beitr. Fl. Hercyn. 2: 188 1840",,,,,144304-1,wfo-0000816733,3166834,
3acb88f4-8fcd-11eb-924d-9cd76263cbd0,species,aizoon,Phyteuma,,"(Hausskn. ex Bornm.) Bornm.",,"Mitth. Thüring. Bot. Vereins n.f., 20: 38 1905",,,,,144305-1,wfo-0000816723,3168171,
3acb6b58-8fcd-11eb-924d-9cd76263cbd0,species,alpestre,Phyteuma,,"(Godr.) Prain",,"Index Kew. Suppl. 4: 180 1913",,,,,,wfo-0000816722,3166777,
3acb4d8a-8fcd-11eb-924d-9cd76263cbd0,species,ambigens,Phyteuma,,"(Rouy) Prain",,"Index Kew. Suppl. 4: 180 1913",,,,,,wfo-0000816721,3166882,
3acb2f1c-8fcd-11eb-924d-9cd76263cbd0,species,ambiguum,Phyteuma,,Schur,,"Enum. Pl. Transsilv. 945 1866",,,,,144308-1,wfo-0000816720,3168227,
3acb152c-8fcd-11eb-924d-9cd76263cbd0,species,americanum,Phyteuma,,Hill,,"Veg. Syst. ed. 8: 15 1765",,,,,144309-1,wfo-0000816719,3163311,
3acafb0a-8fcd-11eb-924d-9cd76263cbd0,species,amplexicaule,Phyteuma,,Willd.,,"Sp. Pl. 1: 925 1798",,,,,144310-1,wfo-0000816718,3168304,
3d40f8c6-8fcd-11eb-924d-9cd76263cbd0,variety,majus,Phyteuma,amplexicaule,K.Koch,,"Linnaea 23: 630 1850",,,,,,wfo-0000821870,3168292,
3d411bb2-8fcd-11eb-924d-9cd76263cbd0,variety,minus,Phyteuma,amplexicaule,K.Koch,,"Linnaea 23: 630 1850",,,,,,wfo-0000821871,3168288,
