id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a2a6af8a-9bad-11eb-a8a2-19ed5c03f8d3,genus,Phytophthora,,,"de Bary",0,1876,,"J. Roy. Agric. Soc. England, ser. 2 12: 240 (1876)",,,,a2a6af8a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,20418," "
8f52cb4a-9bac-11eb-a8a2-19ed5c03f8d3,species,agaves,Phytophthora,,Gandara,0,,,,,,,8f52cb4a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,198981," "
f674aafa-9bac-11eb-a8a2-19ed5c03f8d3,species,allii,Phytophthora,,Sawada,0,,,,,,,f674aafa-9bac-11eb-a8a2-19ed5c03f8d3,,,,,199308," "
74ce4ac8-9bad-11eb-a8a2-19ed5c03f8d3,species,alni,Phytophthora,,"Brasier & S.A. Kirk",,2004,,"in Brasier, Kirk, Delcan, Cooke, Jung & Man in't Veld, Mycol. Res. 108(10): 1174 (2004)",,,,74ce4ac8-9bad-11eb-a8a2-19ed5c03f8d3,,,,,488625," "
0085126e-9bad-11eb-a8a2-19ed5c03f8d3,subspecies,alni,Phytophthora,alni,"Brasier & S.A. Kirk",,2004,,"in Brasier, Kirk, Delcan, Cooke, Jung & Man in't Veld, Mycol. Res. 108(10): 1174 (2004)",,,,0085126e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,305732," "
79db64a2-9bac-11eb-a8a2-19ed5c03f8d3,subspecies,multiformis,Phytophthora,alni,"Brasier & S.A. Kirk",,2004,,"in Brasier, Kirk, Delcan, Cooke, Jung & Man in't Veld, Mycol. Res. 108(10): 1177 (2004)",,,,79db64a2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,305747," "
6f048ac2-9bac-11eb-a8a2-19ed5c03f8d3,subspecies,uniformis,Phytophthora,alni,"Brasier & S.A. Kirk",,2004,,"in Brasier, Kirk, Delcan, Cooke, Jung & Man in't Veld, Mycol. Res. 108(10): 1175 (2004)",,,,6f048ac2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,305757," "
c6dd3136-9bac-11eb-a8a2-19ed5c03f8d3,species,alticola,Phytophthora,,"Maseko, Cout. & M.J. Wingf.",0,2007,,"Mycol. Res. 111(11): 1332 (2007)",,,,c6dd3136-9bac-11eb-a8a2-19ed5c03f8d3,,,,,511177," "
5a5849c4-9bac-11eb-a8a2-19ed5c03f8d3,species,andina,Phytophthora,,"Forbes et al.{?}",,2008,,"Mycologia 100(4): (2008)",,,Q1962302,5a5849c4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,529198," "
07037194-9bad-11eb-a8a2-19ed5c03f8d3,species,arecae,Phytophthora,,"(L.C. Coleman) Pethybr.",,1913,,"Scientific Proc. R. Dublin Soc., N.S. 13: 555 (1913)",,,,5136b3c0-9bad-11eb-a8a2-19ed5c03f8d3,,,,,199143," "
