id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e881b0d2-8fd1-11eb-924d-9cd76263cbd0,genus,Picris,,,L.,0,,,"Sp. Pl. : 792 (1753)",,,,,,urn:lsid:ipni.org:names:10533-1,wfo-4000029626,3093268,,
7ba5c814-8fb2-11eb-924d-9cd76263cbd0,species,abyssinica,Picris,,Sch.Bip.,0,1839,,"Flora 22(1): 20 (1839)",,,,,,urn:lsid:ipni.org:names:237776-1,wfo-0000025811,3093313,,
2ef783d6-8fb2-11eb-924d-9cd76263cbd0,species,acaulis,Picris,,Bernh.,0,1800,,"Syst. Verz. : 141 (1800)",,,,,,urn:lsid:ipni.org:names:237777-1,wfo-0000014943,4235605,,
008bde2a-8fb2-11eb-924d-9cd76263cbd0,species,aculeata,Picris,,Vahl,0,1791,,"Symb. Bot. ii. 89. (1791)",,,,,,urn:lsid:ipni.org:names:237778-1,wfo-0000003261,3141846,,
a4e82a64-8fb7-11eb-924d-9cd76263cbd0,subspecies,latisquamea,Picris,aculeata,"(H.Lindb.) Sauvage",0,,,,,,,,,,wfo-0000101700,6299083,,
e88aa52e-8fb4-11eb-924d-9cd76263cbd0,subspecies,maroccana,Picris,aculeata,Sauvage,0,1961,,"Trav. Inst. Sci. Chérifien, Sér. Bot. 22: 202 (1961) (1961)",,,,,,urn:lsid:ipni.org:names:50426402-2,wfo-0000071467,4235596,,
165c8bfa-8fb7-11eb-924d-9cd76263cbd0,species,afghanica,Picris,,"Rech.f. & Köie",0,1955,,"Biol. Skr. 8(2): 186 (1955).",,,,,,urn:lsid:ipni.org:names:237779-1,wfo-0000096231,3093343,,
d46abc5c-8fb2-11eb-924d-9cd76263cbd0,species,albida,Picris,,Ball,0,1873,,"J. Bot. 11: 370 (1873)",,,,,,urn:lsid:ipni.org:names:237780-1,wfo-0000035522,3093320,,
b7776168-1d47-11ec-82c2-f14daa6f2d93,variety,albida,Picris,albida,,,,,,,,,,,,wfo-0000054792,,,
b8c81a30-1d47-11ec-82c2-f14daa6f2d93,subspecies,albida,Picris,albida,,,,,,,,,,,,wfo-0000056446,,,
21e9e3b2-8fb4-11eb-924d-9cd76263cbd0,variety,chevallieri,Picris,albida,"(Batt.) Maire",0,,,,,,,39c94384-8fb3-11eb-924d-9cd76263cbd0,,,wfo-0000060457,6296144,,
5dd05868-8fb7-11eb-924d-9cd76263cbd0,variety,concolor,Picris,albida,Maire,0,,,,,,,,,,wfo-0000099050,6296143,,
953b85c4-8fb8-11eb-924d-9cd76263cbd0,subspecies,saharae,Picris,albida,"(Coss. & Kralik) Maire",0,1932,,"Maire in Bull. Soc. Hist. Nat. Afrique N. 23. 1932. 197 1932",,,,ec614650-8fb2-11eb-924d-9cd76263cbd0,,,wfo-0000110717,6082217,,
fce4da36-8fb8-11eb-924d-9cd76263cbd0,species,algarbiensis,Picris,,Franco,0,1976,,"Bot. J. Linn. Soc. 71(4): 268 (1976)",,Q43295759,,,,urn:lsid:ipni.org:names:237781-1,wfo-0000114396,4235588,,
a41f3776-8fb2-11eb-924d-9cd76263cbd0,species,alpina,Picris,,Lam.,0,1779,,"Fl. Franç. 2: 109 (1779)",,,,,,urn:lsid:ipni.org:names:237782-1,wfo-0000030542,4235583,,
518a5e3c-8fb2-11eb-924d-9cd76263cbd0,species,altissima,Picris,,Delile,0,1812,,"Descr. Egypte, Hist. Nat. : 260 (1813)",,,,,,urn:lsid:ipni.org:names:237784-1,wfo-0000020334,3093322,,
7397b22a-8fb4-11eb-924d-9cd76263cbd0,species,altissima,Picris,,"Ledeb. ex Rchb.",0,,,"Fl. Germ. Excurs. 254. [Jul-Dec 1831 or 1832]",,,,,,urn:lsid:ipni.org:names:237783-1,wfo-0000065260,8147820,,
ac9074e2-8fb2-11eb-924d-9cd76263cbd0,species,altissima,Picris,,Desf.,0,1829,,"Tabl. École Bot. : 149 (1829)",,,,,,urn:lsid:ipni.org:names:237785-1,wfo-0000031471,7636287,,
7199c20e-8fb6-11eb-924d-9cd76263cbd0,species,amalecitana,Picris,,"(Boiss.) Eig",0,1939,,"Palestine J. Bot., Jerusalem Ser. 1: 70 (1938)",,,,a18735b8-8fb2-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:237786-1,wfo-0000089536,3093273,,
5c9e61e4-8fb5-11eb-924d-9cd76263cbd0,species,angustifolia,Picris,,DC.,0,1838,,"Prodr. 7(1): 130 (1838)",,,,,,urn:lsid:ipni.org:names:237787-1,wfo-0000077151,3093314,,
e57f4274-1d47-11ec-82c2-f14daa6f2d93,subspecies,angustifolia,Picris,angustifolia,DC.,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77180716-1,wfo-0000112420,,,
04c9bc28-8fb7-11eb-924d-9cd76263cbd0,subspecies,carolorum-henricorum,Picris,angustifolia,"(Lack) S.Holzapfel",0,1994,,"Willdenowia 24(1-2): 144 (1994)",,,,e0c35dc2-8fb4-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:978563-1,wfo-0000095536,4235551,,
633ecb58-1d4d-11ec-82c2-f14daa6f2d93,subspecies,merxmuelleri,Picris,angustifolia,"Lack & S.Holzapfel",,,,"Willdenowia 23(1-2): 190 (1993)",,,,,,urn:lsid:ipni.org:names:975204-1,wfo-0001366464,,,
07a9122c-8fb2-11eb-924d-9cd76263cbd0,species,angustissima,Picris,,Arv.-Touv.,0,1905,,"Bulletin de l'Herbier Boissier, ser. 2 5: 331 1905",,,,,,,wfo-0000006025,7697857,,
a515dfae-8fb2-11eb-924d-9cd76263cbd0,species,angustissima,Picris,,"Arv.-Touv. ex Chenevard",0,,,"Bull. Herb. Boissier ser. 2, 4(3): 331. 1905 [31 Mar 1905]",,,,,,,wfo-0000030650,,,
f5b9d57c-8fb3-11eb-924d-9cd76263cbd0,species,angustissima,Picris,,Chenevard,0,1905,,"Chenevard in Bull. Herb. Boissier, ser. 2 5. 1905 331 1905",,,,,,,wfo-0000057621,4235543,,
80227878-8fb3-11eb-924d-9cd76263cbd0,species,arvalis,Picris,,"Jord. ex Boreau",0,1857,,"Fl. Centre France 2: 371 (1857)",,,,,,urn:lsid:ipni.org:names:237789-1,wfo-0000049511,4235537,,
0f7ef78c-8fb2-11eb-924d-9cd76263cbd0,species,aspera,Picris,,Dufour,0,1860,,"Dufour in Bull. Soc. Bot. France 7. 1860. 349 1860",,,,,,,wfo-0000008718,8414890,,
1d51cd3a-8fb2-11eb-924d-9cd76263cbd0,species,aspera,Picris,,Poir.,0,1817,,"Encycl. , Suppl. 5: 310 (1817)",,,,,,urn:lsid:ipni.org:names:237790-1,wfo-0000011939,8143382,,
a7365bd4-8fbb-11eb-924d-9cd76263cbd0,species,aspera,Picris,,Gilib.,0,1782,,"Fl. Lit. Inch. i. 227. 1782",,,,,,urn:lsid:ipni.org:names:237791-1,wfo-0000135762,3093288,,
9c6540f2-8fb2-11eb-924d-9cd76263cbd0,species,asperrima,Picris,,Lindl.,0,1838,,"Edwards's Bot. Reg. 24(Misc.): 58 (1838)",,,,,,urn:lsid:ipni.org:names:237792-1,wfo-0000029662,4235522,,
729d584a-8fb2-11eb-924d-9cd76263cbd0,species,asplenioides,Picris,,L.,0,1753,,"Sp. Pl. : 793 (1753)",,,,,,urn:lsid:ipni.org:names:237793-1,wfo-0000024841,3093290,,
df5c1584-1d47-11ec-82c2-f14daa6f2d93,subspecies,asplenioides,Picris,asplenioides,L.,,,,Unknown,,,,,,urn:lsid:ipni.org:names:77180622-1,wfo-0000104375,,,
ffb57ddc-8fb4-11eb-924d-9cd76263cbd0,subspecies,saharae,Picris,asplenioides,"(Coss. & Kralik) Dobignard",0,2007,,"Willdenowia 37(1): 181 (2007)",,Q55790226,,ec614650-8fb2-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:77086110-1,wfo-0000072649,4235514,,
